Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Bo Bichette,FREEAGENT,73.86,59.85,NYM,SS,"SS,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Emilio Pagan,FREEAGENT,54.36,45.96,Cin,RP,"P,RP,BE,IL",ACTIVE
Nick Pivetta,FREEAGENT,51.54,24.65,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Trevor Rogers,FREEAGENT,50.74,32.67,Bal,SP,"P,SP,BE,IL",ACTIVE
Gleyber Torres,FREEAGENT,47.72,36.09,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL,DH",ACTIVE
Cole Ragans,FREEAGENT,46.16,30.93,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Luke Keaschall,FREEAGENT,46.09,37.32,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF,CF",ACTIVE
Bryce Elder,FREEAGENT,45.01,27.39,Atl,SP,"P,SP,BE,IL",ACTIVE
Pete Fairbanks,FREEAGENT,43.61,35.84,Mia,RP,"P,RP,BE,IL",ACTIVE
Nick Lodolo,FREEAGENT,42.93,22.26,Cin,SP,"P,SP,BE,IL",ACTIVE
Brandon Woodruff,FREEAGENT,42.67,25.15,Mil,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Brent Rooker,FREEAGENT,41.48,25.12,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Yainer Diaz,FREEAGENT,41.47,29.97,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Vinnie Pasquantino,FREEAGENT,40.52,20.07,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",TEN_DAY_DL
Brooks Lee,FREEAGENT,39.8,30.91,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Michael Busch,FREEAGENT,39.69,28.94,ChC,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,39.29,33.88,Min,RP,"P,RP,BE,IL",ACTIVE
Kenley Jansen,FREEAGENT,38.78,32.14,Det,RP,"P,RP,BE,IL",ACTIVE
Robert Suarez,FREEAGENT,37.36,14.2,Atl,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Marcus Semien,FREEAGENT,35.34,23.22,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,34.74,16.34,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Alejandro Kirk,FREEAGENT,34.18,18.69,Tor,C,"C,UTIL,BE,IL",ACTIVE
Ryan Helsley,FREEAGENT,34.14,15.78,Bal,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Zac Gallen,FREEAGENT,33.87,22.93,Ari,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Agustin Ramirez,FREEAGENT,32.7,25.44,Mia,C,"C,DH,UTIL,BE,IL",ACTIVE
Jo Adell,FREEAGENT,32.69,21.64,Cle,CF,"CF,RF,OF,UTIL,BE,IL,LF",ACTIVE
Bryan Abreu,FREEAGENT,32.35,27.8,Hou,RP,"P,RP,BE,IL",ACTIVE
Noah Cameron,FREEAGENT,32.18,17.3,KC,SP,"P,SP,BE,IL",ACTIVE
Daniel Palencia,FREEAGENT,31.56,13.46,ChC,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Ryan Pepiot,FREEAGENT,30.85,18.52,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Jack Flaherty,FREEAGENT,30.75,15.83,Det,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Casey Schmitt,FREEAGENT,30.69,8.14,SF,2B,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,DH,1B,LF,OF",TEN_DAY_DL
Hunter Greene,FREEAGENT,29.29,11.03,Cin,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Carson Benge,FREEAGENT,27.86,24.57,NYM,CF,"LF,CF,RF,OF,UTIL,BE,IL",ACTIVE
Jakob Marsee,FREEAGENT,26.13,13.52,Mia,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Ildemaro Vargas,FREEAGENT,25.06,18.13,Ari,2B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Sal Frelick,FREEAGENT,23.95,7.04,Mil,RF,"RF,OF,UTIL,BE,IL",TEN_DAY_DL
Seth Lugo,FREEAGENT,23.8,14.74,KC,SP,"P,SP,BE,IL",ACTIVE
Joey Cantillo,FREEAGENT,23.49,21.43,Cle,RP,"P,SP,RP,BE,IL",ACTIVE
Kris Bubic,FREEAGENT,23.07,7.45,LAD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Spencer Torkelson,FREEAGENT,22.92,15.75,Det,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Brayan Rocchio,FREEAGENT,22.57,15.93,Cle,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Kody Clemens,FREEAGENT,22.31,15.05,Min,1B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL,OF,LF,RF",ACTIVE
Kyle Leahy,FREEAGENT,22.23,14.53,StL,RP,"P,RP,BE,IL,SP",ACTIVE
Sam Antonacci,FREEAGENT,22.04,19.22,ChW,2B,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,LF,OF",ACTIVE
Nick Gonzales,FREEAGENT,21.43,13.91,Pit,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Gregory Soto,FREEAGENT,21.09,19.7,Pit,RP,"P,RP,BE,IL",ACTIVE
Josh Jung,FREEAGENT,20.89,4.52,Tex,3B,"3B,1B/3B,IF,UTIL,BE,IL",TEN_DAY_DL
Ben Brown,FREEAGENT,20.63,1.61,ChC,SP,"P,SP,RP,BE,IL",SIXTY_DAY_DL
Merrill Kelly,FREEAGENT,20.45,10.08,Ari,SP,"P,SP,BE,IL",ACTIVE
J.T. Ginn,FREEAGENT,19.73,16.76,Oak,SP,"P,SP,BE,IL",ACTIVE
Nolan Arenado,FREEAGENT,18.49,14.53,Ari,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Shane Bieber,FREEAGENT,18.39,7.85,Tor,SP,"P,SP,BE,IL",ACTIVE
Andre Pallante,FREEAGENT,18.03,8.5,StL,SP,"P,SP,BE,IL",ACTIVE
Alec Bohm,FREEAGENT,17.76,12.29,Phi,3B,"3B,1B/3B,IF,UTIL,BE,IL,1B",ACTIVE
Carlos Estevez,FREEAGENT,17.71,9.17,KC,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Brandon Young,FREEAGENT,17.54,9.06,Bal,SP,"P,SP,BE,IL",ACTIVE
Keider Montero,FREEAGENT,17.16,13.38,Det,SP,"P,SP,RP,BE,IL",ACTIVE
Chase Meidroth,FREEAGENT,16.95,13.43,ChW,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Adrian Morejon,FREEAGENT,16.8,15.48,SD,RP,"P,RP,BE,IL",ACTIVE
J.T. Realmuto,FREEAGENT,15.76,10.39,Phi,C,"C,UTIL,BE,IL",ACTIVE
Josh Bell,FREEAGENT,15.66,11.26,Min,DH,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Tatsuya Imai,FREEAGENT,15.08,8.55,Hou,SP,"P,SP,BE,IL",ACTIVE
Aaron Ashby,FREEAGENT,14.7,13.84,Mil,RP,"P,RP,BE,IL",ACTIVE
Sean Manaea,FREEAGENT,13.93,12.76,NYM,SP,"P,SP,BE,IL,RP",ACTIVE
Luis Robert Jr.,FREEAGENT,13.21,6.37,NYM,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Randy Vasquez,FREEAGENT,13.09,10.63,SD,SP,"P,SP,BE,IL,RP",ACTIVE
Tommy Edman,FREEAGENT,13.0,10.09,LAD,2B,"2B,2B/SS,IF,CF,OF,UTIL,BE,IL,LF",ACTIVE
Cole Young,FREEAGENT,12.33,8.93,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Zac Thornton,FREEAGENT,11.87,5.34,NYM,SP,"P,SP,BE,IL",ACTIVE
Angel Martinez,FREEAGENT,11.37,6.86,Cle,CF,"2B,2B/SS,IF,CF,OF,UTIL,BE,IL,LF,RF",ACTIVE
Heliot Ramos,FREEAGENT,11.36,6.07,NYY,LF,"LF,OF,UTIL,BE,IL",ACTIVE
