Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID,PlayerType,W,L,QS,ERA,GS,SV,HLD,BS,IP,TBF,ER,K/9,BB/9,K/BB,HR/9,K-BB%,WHIP,LOB%,GB%,HR/FB,FIP,RA9-WAR,FPTS/IP,SPTS/IP
Rowell Arroyo,CHC,1,,,2.0,,,,0.0,1.0,,1.0,0.0,1.0,0.0,,,,,,0.266651,0.119779,0.141183,,,,,,,,0.286122,,,,,,,,,,-0.0224312,999.0,,,,,,,3.620364737510681,,5.635381579399109,,,,,,,,,,,,,,,,,,,,Rowell Arroyo,sa3024614,824634,Pitcher,0.0,0.0,0.0,5.49852,0.0,0.0,0.0,,1.32708,7.0,1.0,6.44072,5.46426,1.1787,1.5015,0.021404355764389,1.78029,0.719589,,,5.88058,-0.0313618,2.7280757663966453,4.2464638332897815
Adam Boucher,WSN,1,,,1.0,,,,0.0,1.0,,1.0,0.0,1.0,0.0,,,,,,0.265647,0.150124,0.143919,,,,,,,,0.284185,,,,,,,,,,-0.0224546,999.0,,,,,,,5.460659122467042,,5.122066974639893,,,,,,,,,,,,,,,,,,,,Adam Boucher,sa3023128,694780,Pitcher,0.0,0.0,0.0,6.08208,0.0,0.0,0.0,,1.22441,6.0,1.0,5.82281,6.07384,0.958669,1.43512,-0.0062047094106674,1.67396,0.645096,,,6.11761,-0.0348441,4.459816549775859,4.183282374937738
Alejandro Pereira,ATH,1,,,3.0,,,,0.0,2.0,,1.0,0.0,1.0,0.0,,,,,,0.282553,0.104143,0.120609,,,,,,,,0.290536,,,,,,,,,,-0.0224631,999.0,,,,,,,7.023059654235841,,9.691256523132324,,,,,,,,,,,,,,,,,,,,Alejandro Pereira,sa3024325,821163,Pitcher,0.0,0.0,0.0,6.04867,1.0,0.0,0.0,,2.13825,11.0,1.0,5.76015,4.97374,1.15811,1.88378,0.0164661705493927,1.87826,0.721795,,,6.42102,-0.0626323,3.2844874870602325,4.532328123529572
Keduar Trujillo,HOU,1,,,1.0,,,,0.0,1.0,,1.0,0.0,1.0,0.0,,,,,,0.271533,0.106306,0.133378,,,,,,,,0.278822,,,,,,,,,,-0.0225447,999.0,,,,,,,4.743368101119996,,4.637410879135132,,,,,,,,,,,,,,,,,,,,Keduar Trujillo,sa3019764,806014,Pitcher,0.0,0.0,0.0,5.94679,0.0,0.0,0.0,,1.12748,6.0,1.0,5.99876,4.78118,1.25466,1.91834,0.0270719602704048,1.72789,0.703894,,,6.34391,-0.0423293,4.207044867596829,4.113068018776897
Shotaro Morii,ATH,1,,,2.0,,,,0.0,1.0,,1.0,0.0,1.0,0.0,,,,,,0.271907,0.102475,0.151139,,,,,,,,0.293376,,,,,,,,,,-0.0225871,999.0,,,,,,,3.605220890045167,,5.625149250030518,,,,,,,,,,,,,,,,,,,,Shotaro Morii,sa3067343,829679,Pitcher,0.0,0.0,0.0,5.49027,0.0,0.0,0.0,,1.32503,8.0,1.0,7.8555,5.32619,1.47488,1.86256,0.0486636981368064,1.9828,0.777591,,,6.05778,-0.030617,2.720860130078247,4.245300020980363
Andrew Dalquist,SDP,1,,,1.0,,,,0.0,1.0,,1.0,0.0,1.0,0.0,,,,,,0.250277,0.147492,0.170372,,,,,,,,0.277413,,,,,,,,,,-0.0225897,999.0,,,,,,,7.272624397277832,,6.346367835998535,,,,,,,,,,,,,,,,,,,,Andrew Dalquist,sa3011841,686643,Pitcher,0.0,0.0,0.0,5.50964,0.0,0.0,0.0,,1.46927,7.0,1.0,6.96343,6.0283,1.15512,1.38512,0.0228794813156127,1.62379,0.678219,,,5.77737,-0.0260804,4.949809592735511,4.319391553537642
Emmanuel Reyes,KCR,1,,,5.0,,,,1.0,3.0,,2.0,0.0,2.0,0.0,,,,,,0.291831,0.0944465,0.0889478,,,,,,,,0.289233,,,,,,,,,,-0.0225981,999.0,,,,,,,6.104502868652343,,7.570610046386719,,,,,,,,,,,,,,,,,,,,Emmanuel Reyes,sa3019071,800539,Pitcher,0.0,0.0,0.0,6.23316,1.0,0.0,0.0,,4.51412,19.0,3.0,3.39336,3.60314,0.941779,1.50556,-0.0054987668991088,1.50642,0.589503,,,5.9021,-0.0119254,1.3523123336291036,1.6770946888071998
Mitch White,SFG,1,,,1.0,,,,0.0,1.0,,1.0,0.0,1.0,0.0,,,,,,0.271834,0.116362,0.127357,,,,,,,,0.28427,,,,,,,,,,-0.0226274,999.0,,,,,,,4.924617910385132,,4.75987696647644,,,,,,,,,,,,,,,,,,,,Mitch White,sa3075808,813266,Pitcher,0.0,0.0,0.0,5.74615,0.0,0.0,0.0,,1.15198,6.0,1.0,5.63057,5.14449,1.09449,1.56685,0.0109946131706237,1.73534,0.695895,,,6.04099,-0.0408502,4.274933248615663,4.13192590239324
Ubert Mejias,SFG,1,,,4.0,,,,1.0,3.0,,1.0,0.0,1.0,0.0,,,,,,0.291132,0.0788483,0.0874779,,,,,,,,0.287463,,,,,,,,,,-0.0226297,999.0,,,,,,,2.125994777679443,,3.4499964714050293,,,,,,,,,,,,,,,,,,,,Ubert Mejias,sa3021562,811229,Pitcher,0.0,0.0,0.0,6.01581,1.0,0.0,0.0,,3.49,15.0,2.0,3.41538,3.07846,1.10945,1.56086,0.0086296275258064,1.49164,0.60983,,,5.79891,-0.0782064,0.6091676812551995,0.9885378707836622
Yenrri Rojas,CHC,1,,,4.0,,,,1.0,3.0,,2.0,0.0,2.0,0.0,,,,,,0.283903,0.104113,0.101759,,,,,,,,0.286581,,,,,,,,,,-0.0226299,999.0,,,,,,,3.8744668006896976,,4.307072162628174,,,,,,,,,,,,,,,,,,,,Yenrri Rojas,sa3018366,805060,Pitcher,0.0,0.0,0.0,6.04565,1.0,0.0,0.0,,3.86141,16.0,3.0,3.89854,3.98875,0.977385,1.43892,-0.0023545622825622,1.51171,0.604114,,,5.8268,-0.0560106,1.0033802039102873,1.1154130792977452
Camilo Hernandez,ATH,1,,,1.0,,,,0.0,1.0,,1.0,0.0,1.0,0.0,,,,,,0.282527,0.133352,0.116065,,,,,,,,0.295618,,,,,,,,,,-0.0226633,999.0,,,,,,,6.244476509094239,,5.651673316955566,,,,,,,,,,,,,,,,,,,,Camilo Hernandez,sa3018899,804876,Pitcher,0.0,0.0,0.0,6.15771,0.0,0.0,0.0,,1.33033,6.0,1.0,4.67485,5.37116,0.870363,1.32273,-0.0172874331474304,1.67652,0.631806,,,5.96792,-0.0303468,4.693914005951439,4.248309446097622
Dariel Polanco,SDP,1,,,3.0,,,,0.0,2.0,,1.0,0.0,1.0,0.0,,,,,,0.281057,0.105594,0.100931,,,,,,,,0.279873,,,,,,,,,,-0.0226634,999.0,,,,,,,7.851388502120973,,10.250938177108765,,,,,,,,,,,,,,,,,,,,Dariel Polanco,sa3022419,811595,Pitcher,0.0,0.0,0.0,6.16476,1.0,0.0,0.0,,2.25019,10.0,2.0,4.18785,4.38136,0.955835,1.68781,-0.0046636089682579,1.63046,0.645013,,,6.26602,-0.0615778,3.48921502301713,4.555592616251946
Michael De La Cruz,TOR,1,,,2.0,,,,0.0,1.0,,1.0,0.0,1.0,0.0,,,,,,0.266536,0.121644,0.14872,,,,,,,,0.288042,,,,,,,,,,-0.0226821,999.0,,,,,,,2.997747683525085,,5.214694380760193,,,,,,,,,,,,,,,,,,,,Michael De La Cruz,sa3068162,833199,Pitcher,0.0,0.0,0.0,5.56144,0.0,0.0,0.0,,1.24294,7.0,1.0,7.62,6.23273,1.22258,1.74251,0.0270754918456077,2.00664,0.767303,,,6.24681,-0.0365772,2.411822287517214,4.195455207664067
Misael Tamarez,SDP,1,,,2.0,,,,0.0,1.0,,1.0,0.0,2.0,0.0,,,,,,0.257243,0.109716,0.17188,,,,,,,,0.281551,,,,,,,,,,-0.0226969,999.0,,,,,,,10.359692978858948,,10.83763039112091,,,,,,,,,,,,,,,,,,,,Misael Tamarez,sa3009632,685377,Pitcher,0.0,0.0,0.0,5.2929,0.0,0.0,0.0,,1.96753,9.0,1.0,7.06439,4.50943,1.56658,1.547,0.0621632039546966,1.53291,0.68916,,,5.46641,2.82149e-05,5.265339602618753,5.508252475566963
Kleiber Olmedo,SDP,1,,,2.0,,,,0.0,2.0,,1.0,0.0,1.0,0.0,,,,,,0.274705,0.124673,0.11497,,,,,,,,0.279803,,,,,,,,,,-0.0226983,999.0,,,,,,,9.459837436676027,,9.580971240997314,,,,,,,,,,,,,,,,,,,,Kleiber Olmedo,sa3022420,811598,Pitcher,0.0,0.0,0.0,6.14874,1.0,0.0,0.0,,2.11619,10.0,1.0,4.81645,5.22293,0.922174,1.61536,-0.0097028091549873,1.68372,0.654494,,,6.31257,-0.0691922,4.470212242909559,4.5274535875660575
Andres Galan,TBR,1,,,4.0,,,,1.0,3.0,,2.0,0.0,1.0,0.0,,,,,,0.288382,0.0999862,0.0878061,,,,,,,,0.281354,,,,,,,,,,-0.0227225,999.0,,,,,,,2.5278602600097653,,2.748554229736328,,,,,,,,,,,,,,,,,,,,Andres Galan,sa3031833,800883,Pitcher,0.0,0.0,0.0,6.4251,1.0,0.0,0.0,,3.94971,16.0,3.0,3.25028,3.70114,0.878183,1.59412,-0.0121800526976585,1.46498,0.563059,,,6.09243,-0.0497508,0.6400114739041117,0.6958874552947528
Adonys Perez,ARI,1,,,4.0,,,,1.0,3.0,,2.0,0.0,2.0,0.0,,,,,,0.294963,0.100559,0.0890447,,,,,,,,0.300801,,,,,,,,,,-0.0227342,999.0,,,,,,,2.7387779235839838,,3.539714813232422,,,,,,,,,,,,,,,,,,,,Adonys Perez,sa3020114,806583,Pitcher,0.0,0.0,0.0,5.96037,1.0,0.0,0.0,,3.70794,17.0,2.0,3.66281,4.13647,0.885493,1.27088,-0.0115147307515144,1.6565,0.639675,,,5.69516,-0.0572921,0.7386246097025249,0.9546303297788614
Leandro Alsinois,CHW,1,,,2.0,,,,0.0,1.0,,1.0,0.0,1.0,0.0,,,,,,0.272958,0.110015,0.127201,,,,,,,,0.281634,,,,,,,,,,-0.0227559,999.0,,,,,,,4.670097041130066,,6.34466016292572,,,,,,,,,,,,,,,,,,,,Leandro Alsinois,sa3018624,802098,Pitcher,0.0,0.0,0.0,5.87815,0.0,0.0,0.0,,1.46893,7.0,1.0,5.46299,4.72491,1.15621,1.68632,0.017185591161251,1.66869,0.679288,,,6.10283,-0.0242724,3.179246512114829,4.319233308405618
