Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Steven Kwan,FREEAGENT,56.91,44.94,Cle,LF,"LF,OF,UTIL,BE,IL,CF",ACTIVE
Nick Pivetta,FREEAGENT,54.82,25.15,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Teoscar Hernandez,FREEAGENT,52.9,32.41,LAD,RF,"RF,OF,UTIL,BE,IL,LF",ACTIVE
Willy Adames,FREEAGENT,51.63,38.3,SF,SS,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Cole Ragans,FREEAGENT,50.8,31.83,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Gleyber Torres,FREEAGENT,47.3,24.07,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Trevor Rogers,FREEAGENT,47.19,26.35,Bal,SP,"P,SP,BE,IL",ACTIVE
Emilio Pagan,FREEAGENT,46.91,36.88,Cin,RP,"P,RP,BE,IL",ACTIVE
Brent Rooker,FREEAGENT,46.49,26.37,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Luke Keaschall,FREEAGENT,46.03,37.39,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF",ACTIVE
Brooks Lee,FREEAGENT,43.2,36.07,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Jack Flaherty,FREEAGENT,41.89,31.02,Det,SP,"P,SP,BE,IL",ACTIVE
Yainer Diaz,FREEAGENT,41.06,28.82,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Pete Fairbanks,FREEAGENT,40.93,33.13,Mia,RP,"P,RP,BE,IL",ACTIVE
Bryce Elder,FREEAGENT,40.54,31.37,Atl,SP,"P,SP,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,40.45,35.08,Tor,RP,"P,RP,BE,IL",ACTIVE
Bryson Stott,FREEAGENT,40.19,27.24,Phi,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,39.81,11.79,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",TEN_DAY_DL
Isaac Paredes,FREEAGENT,38.57,31.48,Hou,3B,"3B,1B/3B,IF,UTIL,BE,IL,1B",ACTIVE
Kenley Jansen,FREEAGENT,37.8,31.01,Det,RP,"P,RP,BE,IL",ACTIVE
Marcus Semien,FREEAGENT,36.52,21.76,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Konnor Griffin,FREEAGENT,36.0,5.72,Pit,SS,"SS,2B/SS,IF,UTIL,BE,IL",SIXTY_DAY_DL
Caleb Durbin,FREEAGENT,35.36,27.06,Bos,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Jo Adell,FREEAGENT,34.29,22.28,LAA,CF,"CF,RF,OF,UTIL,BE,IL",ACTIVE
Agustin Ramirez,FREEAGENT,33.48,25.87,Mia,C,"C,DH,UTIL,BE,IL",ACTIVE
Daniel Palencia,FREEAGENT,32.68,14.02,ChC,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Alejandro Kirk,FREEAGENT,32.56,15.11,Tor,C,"C,UTIL,BE,IL",ACTIVE
Brayan Rocchio,FREEAGENT,32.17,26.52,Cle,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Ryan Jeffers,FREEAGENT,32.14,21.34,Min,C,"C,DH,UTIL,BE,IL",ACTIVE
Ryan Pepiot,FREEAGENT,32.07,19.0,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Bryan Abreu,FREEAGENT,30.77,26.08,Hou,RP,"P,RP,BE,IL",ACTIVE
Ildemaro Vargas,FREEAGENT,29.25,20.18,Ari,2B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Jakob Marsee,FREEAGENT,28.65,14.42,Mia,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Ben Brown,FREEAGENT,28.5,2.4,ChC,SP,"P,SP,RP,BE,IL",FIFTEEN_DAY_DL
Trent Grisham,FREEAGENT,27.76,22.38,NYY,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Kris Bubic,FREEAGENT,27.74,8.02,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Sal Frelick,FREEAGENT,26.39,10.15,Mil,RF,"RF,OF,UTIL,BE,IL",TEN_DAY_DL
Gregory Soto,FREEAGENT,26.19,24.62,Pit,RP,"P,RP,BE,IL",ACTIVE
Seth Lugo,FREEAGENT,23.39,13.62,KC,SP,"P,SP,BE,IL",ACTIVE
J.T. Ginn,FREEAGENT,23.13,16.16,Oak,SP,"P,SP,BE,IL",ACTIVE
Merrill Kelly,FREEAGENT,21.15,10.41,Ari,SP,"P,SP,BE,IL",ACTIVE
Spencer Torkelson,FREEAGENT,20.08,12.52,Det,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Bubba Chandler,FREEAGENT,19.92,13.63,Pit,SP,"P,SP,BE,IL",ACTIVE
Carlos Estevez,FREEAGENT,19.68,9.58,KC,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Andre Pallante,FREEAGENT,19.4,13.53,StL,SP,"P,SP,BE,IL",ACTIVE
Shane Bieber,FREEAGENT,18.55,6.53,Tor,SP,"P,SP,BE,IL",ACTIVE
Nick Gonzales,FREEAGENT,18.11,16.19,Pit,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Tatsuya Imai,FREEAGENT,17.64,7.76,Hou,SP,"P,SP,BE,IL",ACTIVE
Aaron Ashby,FREEAGENT,17.46,16.52,Mil,RP,"P,RP,BE,IL",ACTIVE
Alec Bohm,FREEAGENT,17.29,11.73,Phi,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Clay Holmes,FREEAGENT,16.95,3.26,NYM,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Josh Bell,FREEAGENT,16.07,12.04,Min,DH,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Brandon Young,FREEAGENT,15.83,8.95,Bal,SP,"P,SP,BE,IL",ACTIVE
Nolan Arenado,FREEAGENT,15.7,11.72,Ari,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Luis Robert Jr.,FREEAGENT,15.55,4.51,NYM,CF,"CF,OF,UTIL,BE,IL",SIXTY_DAY_DL
Kyle Leahy,FREEAGENT,14.47,13.29,StL,RP,"P,RP,BE,IL,SP",ACTIVE
J.T. Realmuto,FREEAGENT,14.2,8.83,Phi,C,"C,UTIL,BE,IL",ACTIVE
Angel Martinez,FREEAGENT,14.04,2.6,Cle,CF,"2B,2B/SS,IF,CF,OF,UTIL,BE,IL,LF,RF",TEN_DAY_DL
Heliot Ramos,FREEAGENT,13.94,8.26,SF,LF,"LF,OF,UTIL,BE,IL",ACTIVE
Willi Castro,FREEAGENT,13.89,10.0,Col,RF,"2B,3B,2B/SS,1B/3B,IF,LF,RF,OF,UTIL,BE,IL,SS,1B",ACTIVE
Seranthony Dominguez,FREEAGENT,13.64,11.94,ChW,RP,"P,RP,BE,IL",ACTIVE
Tommy Edman,FREEAGENT,13.57,10.88,LAD,2B,"2B,2B/SS,IF,CF,OF,UTIL,BE,IL,LF",ACTIVE
Randy Vasquez,FREEAGENT,13.46,6.91,SD,SP,"P,SP,BE,IL",ACTIVE
Noah Cameron,FREEAGENT,13.35,8.97,KC,SP,"P,SP,BE,IL",ACTIVE
Dalton Rushing,FREEAGENT,13.16,9.31,LAD,C,"C,UTIL,BE,IL",ACTIVE
Rico Garcia,FREEAGENT,13.13,12.34,Bal,RP,"P,RP,BE,IL",ACTIVE
A.J. Ewing,FREEAGENT,12.67,9.58,NYM,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Walbert Urena,FREEAGENT,12.51,7.19,LAA,SP,"P,SP,BE,IL",ACTIVE
Alex Vesia,FREEAGENT,11.58,10.84,LAD,RP,"P,RP,BE,IL",ACTIVE
Adrian Morejon,FREEAGENT,11.55,10.67,SD,RP,"P,RP,BE,IL",ACTIVE
Jack Leiter,FREEAGENT,11.36,4.33,Tex,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Nasim Nunez,FREEAGENT,11.06,9.26,Wsh,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Trevor Story,FREEAGENT,10.48,3.72,Bos,SS,"SS,2B/SS,IF,UTIL,BE,IL",SIXTY_DAY_DL
Keibert Ruiz,FREEAGENT,10.18,7.34,Wsh,C,"C,UTIL,BE,IL",ACTIVE
Lucas Erceg,FREEAGENT,10.03,8.59,KC,RP,"P,RP,BE,IL",ACTIVE
Jeffrey Springs,FREEAGENT,10.01,7.48,Oak,SP,"P,SP,BE,IL",ACTIVE
Keider Montero,FREEAGENT,9.98,8.46,Det,SP,"P,SP,RP,BE,IL",ACTIVE
Paul Goldschmidt,FREEAGENT,9.94,5.72,NYY,1B,"1B,1B/3B,IF,UTIL,BE,IL,DH",ACTIVE
Daulton Varsho,FREEAGENT,9.83,6.39,Tor,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Jake Burger,FREEAGENT,9.82,6.94,Tex,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Ryan Walker,FREEAGENT,9.77,7.05,SF,RP,"P,RP,BE,IL",ACTIVE
Royce Lewis,FREEAGENT,9.41,5.42,Min,3B,"3B,1B/3B,IF,UTIL,BE,IL,1B",ACTIVE
Christian Scott,FREEAGENT,9.24,3.55,NYM,SP,"P,SP,BE,IL",ACTIVE
Chase Meidroth,FREEAGENT,9.18,5.92,ChW,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Lawrence Butler,FREEAGENT,9.16,4.43,Oak,RF,"CF,RF,OF,UTIL,BE,IL",ACTIVE
Andres Gimenez,FREEAGENT,9.14,5.76,Tor,2B,"2B,2B/SS,IF,UTIL,BE,IL,SS",ACTIVE
Jordan Westburg,FREEAGENT,9.08,3.38,Bal,3B,"3B,1B/3B,IF,UTIL,BE,IL",SIXTY_DAY_DL
TJ Friedl,FREEAGENT,8.85,3.08,Cin,CF,"CF,OF,UTIL,BE,IL,LF",ACTIVE
Spencer Horwitz,FREEAGENT,8.73,0.61,Pit,1B,"1B,1B/3B,IF,UTIL,BE,IL",TEN_DAY_DL
Carlos Correa,FREEAGENT,8.43,3.32,Hou,SS,"3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",SIXTY_DAY_DL
Brady Singer,FREEAGENT,8.25,4.5,Cin,SP,"P,SP,BE,IL",ACTIVE
Joe Musgrove,FREEAGENT,8.22,0.97,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Kyle Karros,FREEAGENT,8.17,6.22,Col,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Garrett Mitchell,FREEAGENT,8.07,6.91,Mil,CF,"CF,OF,UTIL,BE,IL",ACTIVE
JoJo Romero,FREEAGENT,8.03,3.87,StL,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Troy Johnston,FREEAGENT,7.74,5.71,Col,RF,"1B,1B/3B,IF,LF,RF,OF,UTIL,BE,IL,DH",ACTIVE
Dennis Santana,FREEAGENT,7.64,6.49,Pit,RP,"P,RP,BE,IL",ACTIVE
Zebby Matthews,FREEAGENT,7.47,4.89,Min,SP,"P,SP,BE,IL",ACTIVE
Luke Weaver,FREEAGENT,7.42,6.91,NYM,RP,"P,RP,BE,IL",ACTIVE
Yusei Kikuchi,FREEAGENT,7.17,2.93,LAA,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Cam Smith,FREEAGENT,6.96,4.5,Hou,RF,"RF,OF,UTIL,BE,IL",ACTIVE
Jeremiah Estrada,FREEAGENT,6.76,2.62,SD,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Hunter Gaddis,FREEAGENT,6.68,6.04,Cle,RP,"P,RP,BE,IL",ACTIVE
Jorge Polanco,FREEAGENT,6.63,2.11,NYM,DH,"2B,2B/SS,IF,DH,UTIL,BE,IL",ACTIVE
Luke Raley,FREEAGENT,6.51,3.93,Sea,RF,"1B,1B/3B,IF,RF,OF,UTIL,BE,IL",ACTIVE
Kyle Teel,FREEAGENT,6.5,2.84,ChW,C,"C,UTIL,BE,IL",ACTIVE
Jorge Soler,FREEAGENT,6.45,3.8,LAA,RF,"RF,OF,DH,UTIL,BE,IL",ACTIVE
Masyn Winn,FREEAGENT,6.36,4.15,StL,SS,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Martin Perez,FREEAGENT,6.35,1.13,Atl,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Jeremiah Jackson,FREEAGENT,6.31,4.06,Bal,RF,"3B,1B/3B,IF,RF,OF,UTIL,BE,IL,2B,2B/SS",ACTIVE
Dylan Crews,FREEAGENT,6.22,4.02,Wsh,RF,"RF,OF,UTIL,BE,IL,CF",ACTIVE
Fernando Cruz,FREEAGENT,6.09,5.8,NYY,RP,"P,RP,BE,IL",ACTIVE
Javier Sanoja,FREEAGENT,6.06,4.7,Mia,LF,"2B,3B,2B/SS,1B/3B,IF,LF,OF,UTIL,P,RP,BE,IL",ACTIVE
Trevor Larnach,FREEAGENT,6.06,4.3,Min,DH,"RF,OF,DH,UTIL,BE,IL,LF",ACTIVE
Austin Wells,FREEAGENT,6.05,3.27,NYY,C,"C,UTIL,BE,IL",ACTIVE
J.P. Crawford,FREEAGENT,6.05,3.71,Sea,SS,"SS,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Matt McLain,FREEAGENT,6.05,2.36,Cin,2B,"2B,2B/SS,IF,UTIL,BE,IL,SS",TEN_DAY_DL
Dean Kremer,FREEAGENT,6.04,2.31,Bal,SP,"P,SP,BE,IL",ACTIVE
Brandon Sproat,FREEAGENT,5.69,3.57,Mil,SP,"P,SP,BE,IL",ACTIVE
Stephen Kolek,FREEAGENT,5.59,1.13,KC,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Eduard Bazardo,FREEAGENT,5.52,5.28,Sea,RP,"P,RP,BE,IL",ACTIVE
Luis Lara,FREEAGENT,5.5,2.28,Mil,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Jake Mangum,FREEAGENT,5.44,4.57,Pit,LF,"LF,CF,RF,OF,UTIL,BE,IL",ACTIVE
Addison Barger,FREEAGENT,5.37,1.15,Tor,3B,"3B,1B/3B,IF,RF,OF,UTIL,BE,IL",TEN_DAY_DL
Colt Keith,FREEAGENT,5.36,3.41,Det,DH,"2B,3B,2B/SS,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Blaze Alexander,FREEAGENT,5.3,0.73,Bal,3B,"3B,1B/3B,IF,UTIL,BE,IL,2B,2B/SS,OF,SS",TEN_DAY_DL
Tyler Wells,FREEAGENT,5.19,4.84,Bal,SP,"P,SP,BE,IL,RP",ACTIVE
Andrew Painter,FREEAGENT,5.15,3.69,Phi,SP,"P,SP,BE,IL",ACTIVE
Jeff McNeil,FREEAGENT,5.13,3.32,Oak,2B,"2B,2B/SS,IF,CF,OF,UTIL,BE,IL",ACTIVE
Jasson Dominguez,FREEAGENT,5.11,3.44,NYY,LF,"LF,OF,UTIL,BE,IL,RF,DH",ACTIVE
Jurickson Profar,FREEAGENT,4.87,3.39,Atl,LF,"LF,OF,UTIL,BE,IL",SUSPENSION
Walker Buehler,FREEAGENT,4.81,2.21,SD,SP,"P,SP,BE,IL",ACTIVE
Adolis Garcia,FREEAGENT,4.76,1.83,Phi,RF,"RF,OF,UTIL,BE,IL",SIXTY_DAY_DL
Chad Patrick,FREEAGENT,4.76,4.08,Mil,SP,"P,SP,BE,IL,RP",ACTIVE
Tristan Peters,FREEAGENT,4.7,3.61,ChW,CF,"LF,CF,RF,OF,UTIL,BE,IL",ACTIVE
Brandon Pfaadt,FREEAGENT,4.56,2.97,Ari,SP,"P,SP,BE,IL,RP",ACTIVE
Ramon Laureano,FREEAGENT,4.56,1.72,SD,LF,"LF,RF,OF,UTIL,BE,IL",SIXTY_DAY_DL
Nolan Schanuel,FREEAGENT,4.48,3.14,LAA,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Eric Lauer,FREEAGENT,4.41,2.83,LAD,SP,"P,SP,RP,BE,IL",ACTIVE
Lane Thomas,FREEAGENT,4.31,3.73,KC,CF,"CF,OF,UTIL,BE,IL,RF,LF",ACTIVE
Bryan King,FREEAGENT,4.28,3.94,Hou,RP,"P,RP,BE,IL",ACTIVE
Jacob Webb,FREEAGENT,4.28,4.08,ChC,RP,"P,RP,BE,IL",ACTIVE
Lars Nootbaar,FREEAGENT,4.21,2.57,StL,LF,"LF,RF,OF,UTIL,BE,IL",ACTIVE
Antonio Senzatela,FREEAGENT,4.19,3.78,Col,SP,"P,SP,BE,IL,RP",ACTIVE
Zac Thornton,FREEAGENT,4.15,1.71,NYM,SP,"P,SP,BE,IL",ACTIVE
Ryne Nelson,FREEAGENT,4.13,1.67,Ari,SP,"P,SP,RP,BE,IL",SIXTY_DAY_DL
Javier Assad,FREEAGENT,4.07,2.87,ChC,SP,"P,SP,BE,IL,RP",ACTIVE
Jameson Taillon,FREEAGENT,4.05,2.06,ChC,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Robert Garcia,FREEAGENT,3.99,1.81,Tex,RP,"P,RP,BE,IL",SIXTY_DAY_DL
