Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Owen Murphy","ATL",0,0,0,4.70917,1,1,0,0,,4.91507,20,4,3,3,1,2,0,0,4,8.2081,3.51268,2.33671,1.42618,0.221093,0.0946172,0.12647553533315659,0.244429,1.29164,0.283858,0.673168,,,4.68352,0.0318059,0.011352,999,,,,,,,15.671504306793212,3.1884612440572018,13.575340747833252,2.7619842359724265,,,,,,,,,,,,,,,,,,,"Owen Murphy","sa3020330",702566
"Cole Winn","TEX",1,1,0,4.19212,25,0,0,4,,25,111,24,13,12,3,10,,1,24,8.52686,3.7016,2.30356,1.17796,0.21548,0.0935423,0.12193787842988968,0.24154,1.36185,0.286891,0.723823,,,4.29651,0.0317947,0.00562378,999,,,,,,,116.69999999999999,4.667999999999999,117,4.68,,,,,,,,,,,,,,,,,,,"Cole Winn","22113",668390
"Anderson Brito","TBR",0,0,0,4.51943,1,1,0,0,,4.01756,17,4,2,2,1,2,0,0,4,8.46277,4.78654,1.76804,1.18632,0.216263,0.122318,0.0939449742436409,0.23681,1.42283,0.282185,0.706104,,,4.72464,0.0317576,0.0492238,999,,,,,,,9.02991580963135,2.2476140672293607,9.087780952453613,2.262017137175022,,,,,,,,,,,,,,,,,,,"Anderson Brito","sa3024232",820901
"Thomas Pannone","MIL",0,0,0,4.74265,1,1,0,0,,4,16,4,2,2,1,1,,0,3,6.34929,2.56108,2.47915,1.41876,0.166488,0.0671554,0.09933295100927353,0.260848,1.30401,0.283015,0.672432,,,4.73155,0.0315087,0.0486153,999,,,,,,,9.9,2.475,10,2.5,,,,,,,,,,,,,,,,,,,"Thomas Pannone","17281",623381
"Gage Ziehl","BOS",0,0,0,5.21758,1,1,0,0,,4.86808,21,5,3,3,1,1,0,0,3,5.42418,2.58314,2.09984,1.28601,0.141226,0.0672553,0.07397028803825378,0.286114,1.41305,0.308192,0.642914,,,4.7832,0.0314374,0.0120569,999,,,,,,,13.723775386810306,2.819136438974684,14.340388774871826,2.9458010937106205,,,,,,,,,,,,,,,,,,,"Gage Ziehl","sa3045855",695721
"Santiago Suarez","TBR",0,0,0,4.91689,1,1,0,0,,4.42493,18,4,3,2,1,1,0,0,3,6.25695,2.45447,2.5492,1.47937,0.169445,0.06647,0.10297541320323944,0.263298,1.26985,0.284461,0.647429,,,4.82902,0.0314255,-0.022772,999,,,,,,,13.044496822357177,2.9479541862904783,12.124660015106201,2.7400782671525272,,,,,,,,,,,,,,,,,,,"Santiago Suarez","sa3019386",800571
"Jovani Morán","BOS",1,1,0,3.8596,16,0,0,0,,16,71,15,8,7,2,7,,1,18,9.91538,3.59974,2.75447,1.08686,0.255754,0.0928505,0.1629033237695694,0.233962,1.30277,0.296645,0.735976,,,3.81906,0.0312948,0.0153992,999,,,,,,,66.80000000000001,4.175000000000001,66,4.125,,,,,,,,,,,,,,,,,,,"Jovani Moran","20422",663558
"Bruce Zimmermann","STL",0,1,1,4.77498,7,1,0,0,,10,43,11,6,5,1,3,,0,7,6.09696,2.31409,2.63471,1.29,0.159093,0.0603835,0.09870967268943787,0.272887,1.33697,0.2986,0.666629,,,4.51711,0.0312935,0.0126932,999,,,,,,,38.1,3.81,42,4.2,,,,,,,,,,,,,,,,,,,"Bruce Zimmermann","20370",669145
"Jaxon Wiggins","CHC",0,0,0,4.36947,1,1,0,0,,3.68547,15,3,2,2,0,2,0,0,3,8.2162,4.3569,1.88579,1.07344,0.221408,0.117409,0.10399915277957916,0.236954,1.3345,0.285966,0.688838,,,4.46285,0.0307835,0.0279137,999,,,,,,,19.472473478317266,5.283580305032115,18.42734694480896,5,,,,,,,,,,,,,,,,,,,"Jaxon Wiggins","sa3023635",694393
"Nolan Perry","TOR",0,0,0,4.6958,1,1,0,0,,3.99989,17,4,2,2,1,2,0,0,4,8.04364,4.29609,1.87232,1.23442,0.215493,0.115094,0.10039858520030975,0.242398,1.35479,0.285941,0.675044,,,4.71338,0.0306974,0.0450632,999,,,,,,,8.899177837371825,2.224856256426304,8.999444484710693,2.2499236145260553,,,,,,,,,,,,,,,,,,,"Nolan Perry","sa3021476",804526
"Kiefer Lord","BAL",0,0,0,4.39335,1,1,0,0,,3.55428,16,3,2,2,0,2,0,0,4,9.61672,4.82997,1.99105,1.1995,0.232845,0.116946,0.11589917540550232,0.238584,1.49016,0.293492,0.734133,,,4.50821,0.0306823,0.0156871,999,,,,,,,20.50168290138245,5.768165255397248,19.77140736579895,5.562701636069915,,,,,,,,,,,,,,,,,,,"Kiefer Lord","sa3023135",811296
"Trey Faltine","CIN",0,0,0,4.77572,1,1,0,0,,2.32581,7,2,1,1,0,1,0,0,1,5.41234,2.77986,1.94698,0.913169,0.199534,0.102484,0.09705012291669846,0.251244,0.979638,0.289435,0.477644,,,4.28375,0.0306602,0.0516468,999,,,,,,,11.010967206954959,4.734257892173552,10.629031896591187,4.570041595511863,,,,,,,,,,,,,,,,,,,"Trey Faltine","sa3020118",683104
"Logan Workman","TBR",0,0,0,4.92336,1,1,0,0,,4.605,19,4,3,3,1,2,0,0,4,7.13205,3.11275,2.29124,1.49705,0.189409,0.0826667,0.10674259811639786,0.255972,1.31645,0.283888,0.663509,,,4.88876,0.030633,-0.0123579,999,,,,,,,13.376993083953858,2.904885081186073,12.02499532699585,2.6112915890360773,,,,,,,,,,,,,,,,,,,"Logan Workman","sa3017313",694312
"Cam Leiter","LAD",0,0,0,4.13684,1,1,0,0,,2.46722,10,2,1,1,0,1,0,0,2,8.61614,4.27944,2.01338,1.02726,0.224983,0.111744,0.11323922872543335,0.235376,1.35313,0.287334,0.713208,,,4.28389,0.0305664,0.0554453,999,,,,,,,14.057454967498781,5.697681683710714,13.336118221282959,5.4053138848307825,,,,,,,,,,,,,,,,,,,"Cam Leiter","sa3036203",804942
"Wei-En Lin","ATH",0,0,0,4.7392,1,1,0,0,,3.83428,16,4,2,2,1,1,0,0,3,7.50293,3.06433,2.44847,1.40312,0.204364,0.0834659,0.12089791893959045,0.252157,1.27187,0.28678,0.661283,,,4.65139,0.0303331,0.0387418,999,,,,,,,8.67365798950195,2.262135856647826,9.171390533447266,2.3919471353542265,,,,,,,,,,,,,,,,,,,"Wei-En Lin","sa3067072",827734
"Aidan Cremarosa","TBR",0,0,0,4.96731,1,1,0,0,,4.74172,18,4,3,3,1,1,0,0,3,6.50211,2.75123,2.36335,1.53012,0.188854,0.0799095,0.10894418507814407,0.249734,1.17424,0.270182,0.610349,,,4.9431,0.0302969,-0.00437827,999,,,,,,,15.388722419738771,3.245388776024713,13.708596229553223,2.8910602923983313,,,,,,,,,,,,,,,,,,,"Aidan Cremarosa","sa3029549",809093
"Ben Jacobs","DET",0,0,0,4.50523,1,1,0,0,,3.7194,16,3,2,2,1,2,0,0,4,8.94192,4.28541,2.0866,1.32861,0.235669,0.112944,0.12272484600543976,0.232554,1.33404,0.278774,0.69835,,,4.64785,0.0302789,0.0292755,999,,,,,,,9.423541831970219,2.533620490498764,7.596987724304199,2.042531789805878,,,,,,,,,,,,,,,,,,,"Ben Jacobs","sa3034527",800624
"Braden Shewmake","HOU",0,0,0,4.53191,1,1,0,0,,2.32581,7,1,1,1,0,1,0,0,1,5.10312,2.35257,2.16916,0.832116,0.200927,0.0926289,0.10829843580722809,0.249086,0.891213,0.287506,0.447945,,,4.08348,0.0301085,0.04333,999,,,,,,,13.610967206954959,5.852149743842708,10.629031896591187,4.570041595511863,,,,,,,,,,,,,,,,,,,"Braden Shewmake","25817",669699
"Shinnosuke Ogasawara",,0,0,0,4.8421,1,1,0,0,,4.01026,17,4,2,2,1,1,0,0,3,6.47938,2.93378,2.20855,1.28658,0.173571,0.0785908,0.0949806421995163,0.264745,1.3258,0.294087,0.655768,,,4.66727,0.0299354,0.0520874,999,,,,,,,9.975914192199712,2.48759868168381,10.05129337310791,2.5063952698902585,,,,,,,,,,,,,,,,,,,"Shinnosuke Ogasawara","35324",829272
"Cole Gabrielson","NYY",0,0,0,4.48354,1,1,0,0,,2.32581,7,2,1,1,0,1,0,0,1,5.66435,2.66947,2.1219,0.929234,0.208572,0.0982951,0.11027722805738449,0.241028,0.944021,0.278568,0.500218,,,4.21303,0.0298158,0.0427378,999,,,,,,,11.010967206954959,4.734257892173552,10.629031896591187,4.570041595511863,,,,,,,,,,,,,,,,,,,"Cole Gabrielson","sa3022811",702068
"Jedixson Paez","BOS",0,0,0,5.07366,1,1,0,0,,3.56476,15,4,2,2,1,1,0,0,2,5.81776,2.48431,2.3418,1.34594,0.158723,0.0677781,0.09094489365816116,0.274975,1.30819,0.298413,0.630188,,,4.74341,0.0291707,0.0197419,999,,,,,,,4.679192018508912,1.312626289412908,5.823778390884399,1.6337103904587509,,,,,,,,,,,,,,,,,,,"Jedixson Paez","29114",699151
"Harrison Bodendorf","CLE",0,0,0,4.52536,1,1,0,0,,3.64464,15,3,2,2,0,1,0,0,3,7.23179,3.64521,1.98392,1.16972,0.193795,0.0976828,0.09611194580793381,0.2481,1.32137,0.284923,0.677704,,,4.5762,0.0289801,0.0217582,999,,,,,,,22.170318126678463,6.082996624913208,21.223187923431396,5.823127109429245,,,,,,,,,,,,,,,,,,,"Harrison Bodendorf","sa3027303",823746
"Colton Shaw","SEA",0,0,0,4.57246,1,1,0,0,,4.70803,20,5,3,2,1,1,0,0,3,6.0395,2.62816,2.298,1.22386,0.160588,0.0698819,0.0907064825296402,0.260464,1.29281,0.284917,0.669346,,,4.56997,0.0288918,-0.0280057,999,,,,,,,12.539398956298829,2.663408527598464,13.54013442993164,2.875967949595724,,,,,,,,,,,,,,,,,,,"Colton Shaw","sa3042084",823764
"Caden Scarborough","TEX",0,0,0,4.74484,1,1,0,0,,3.67155,15,3,2,2,1,1,0,0,3,7.00361,3.32591,2.10577,1.27151,0.195733,0.092951,0.10278243571519852,0.251539,1.26526,0.285612,0.645862,,,4.65973,0.0288654,0.022963,999,,,,,,,10.069443798065187,2.742561999410114,8.35773229598999,2.2763520464386633,,,,,,,,,,,,,,,,,,,"Caden Scarborough","sa3025060",807291
"Josh Fleming","TOR",0,0,0,4.64627,1,1,0,0,,3.06956,13,3,2,2,0,1,0,0,2,5.1833,2.50539,2.06886,1.09998,0.133941,0.0647412,0.06919953972101212,0.271186,1.35676,0.291656,0.668746,,,4.54204,0.0288216,-0.0118908,999,,,,,,,15.91471438407898,5.1846958958343805,16.347779989242554,5.325780015318474,,,,,,,,,,,,,,,,,,,"Josh Fleming","20418",676596
"Isaac Mattson","PIT",1,1,0,4.21406,26,0,0,5,,26,114,24,13,12,3,12,,1,25,8.64972,4.11613,2.10142,1.14081,0.222055,0.105669,0.11638578772544861,0.236723,1.36156,0.284587,0.717974,,,4.35656,0.0286732,0.0555601,999,,,,,,,124.1,4.773076923076923,122,4.6923076923076925,,,,,,,,,,,,,,,,,,,"Isaac Mattson","20385",676755
"Jamie Arnold","ATH",0,0,0,4.89996,1,1,0,0,,4.99223,23,5,3,3,1,2,0,0,4,6.79457,4.02386,1.68857,1.15243,0.166213,0.0984342,0.0677788183093071,0.267805,1.52969,0.302122,0.692408,,,4.78863,0.0285361,0.0117207,999,,,,,,,13.642490959167478,2.7327456940958377,13.961142539978027,2.796575220388593,,,,,,,,,,,,,,,,,,,"Jamie Arnold","sa3026225",701364
"Jake Woodford","MIL",0,0,0,4.41278,1,1,0,0,,3.08897,14,3,2,2,0,1,0,0,3,7.57799,2.98114,2.54198,1.31696,0.188326,0.0740864,0.11423952132463455,0.254015,1.37058,0.28776,0.716344,,,4.49139,0.0284927,-0.0066053,999,,,,,,,18.05834231376648,5.846081543778089,18.444825887680054,5.971199035138695,,,,,,,,,,,,,,,,,,,"Jake Woodford","18674",663765
"Bryce Mayer","HOU",0,0,0,4.59164,1,1,0,0,,3.87908,17,4,2,2,1,2,0,0,4,8.72802,4.0836,2.13733,1.36491,0.226472,0.10596,0.12051220238208771,0.239218,1.35746,0.283116,0.698804,,,4.67998,0.0284291,0.037543,999,,,,,,,8.005210065841675,2.0636864998149056,8.39541220664978,2.1642778501431863,,,,,,,,,,,,,,,,,,,"Bryce Mayer","sa3025558",809343
"Bennett Sousa","HOU",1,1,0,3.50887,12,0,0,0,,12,49,10,5,5,1,5,,1,14,10.3415,3.43586,3.00987,1.08408,0.275773,0.091623,0.184150330722332,0.218447,1.19825,0.282003,0.750204,,,3.66041,0.028417,0.0338049,999,,,,,,,60.500000000000014,5.041666666666668,57,4.75,,,,,,,,,,,,,,,,,,,"Bennett Sousa","21345",656986
"Noah Mendlinger","STL",0,0,0,4.39258,1,1,0,0,,2.32581,7,2,1,1,0,1,0,0,1,5.31895,2.44892,2.17196,0.826526,0.195854,0.0901739,0.10568022727966309,0.249061,0.947397,0.287625,0.505998,,,4.06549,0.0283166,0.0444319,999,,,,,,,11.010967206954959,4.734257892173552,10.629031896591187,4.570041595511863,,,,,,,,,,,,,,,,,,,"Noah Mendlinger","sa3017001",702331
"Danny Coulombe","BOS",1,1,0,4.50568,27,0,0,5,,27,115,27,15,14,3,10,,1,23,7.4472,3.36961,2.21011,1.1103,0.197016,0.0891431,0.1078728437423706,0.257075,1.34572,0.299894,0.68109,,,4.31947,0.0282113,-0.00499315,999,,,,,,,125.7,4.655555555555556,129,4.777777777777778,,,,,,,,,,,,,,,,,,,"Danny Coulombe","13293",543056
"Cole Hertzler","HOU",0,0,0,4.68171,1,1,0,0,,4.20607,17,4,2,2,1,2,0,0,4,7.91927,4.22367,1.87497,1.25093,0.215219,0.114785,0.10043389350175858,0.239967,1.32591,0.281332,0.669794,,,4.73846,0.028192,0.0581885,999,,,,,,,10.424924659729003,2.4785423041299115,10.030354499816895,2.384732625383045,,,,,,,,,,,,,,,,,,,"Cole Hertzler","sa3025638",826315
"Brett Sears","ATL",0,0,0,5.00167,1,1,0,0,,4.68053,19,5,3,3,1,1,0,0,4,7.01921,2.76882,2.53509,1.44724,0.189865,0.0748946,0.11497009545564651,0.265438,1.30458,0.297017,0.646243,,,4.72158,0.0278112,-0.00262863,999,,,,,,,14.33590488433838,3.062882188248349,15.40263843536377,3.2907910101471325,,,,,,,,,,,,,,,,,,,"Brett Sears","sa3041892",822412
"Thomas Hatch",,0,0,0,4.74192,1,1,0,0,,4.15287,18,4,2,2,1,1,0,0,3,6.01554,2.74155,2.19421,1.17759,0.157567,0.0718102,0.08575664460659027,0.270138,1.356,0.29764,0.66552,,,4.54908,0.0277293,0.0633211,999,,,,,,,11.031225204467775,2.656290661043798,10.764341354370117,2.592025716265887,,,,,,,,,,,,,,,,,,,"Thomas Hatch","19264",641672
"Jake Miller","DET",0,0,0,4.7555,1,1,0,0,,3.37451,14,3,2,2,0,1,0,0,2,6.62074,3.16239,2.09359,1.21132,0.181838,0.0868549,0.09498345106840134,0.259347,1.29773,0.292132,0.64961,,,4.60332,0.0275224,0.00810655,999,,,,,,,18.171365547180176,5.384891939332399,17.872544288635254,5.296339420686412,,,,,,,,,,,,,,,,,,,"Jake Miller","sa3020408",805725
"Cole Sulser","TBR",1,1,0,4.04765,26,0,0,4,,26,110,24,13,12,3,9,,1,24,8.4418,3.22488,2.61771,1.17429,0.219777,0.0839578,0.1358194500207901,0.239611,1.28376,0.284545,0.719782,,,4.14274,0.0273877,0.010936,999,,,,,,,127.1,4.888461538461538,125,4.8076923076923075,,,,,,,,,,,,,,,,,,,"Cole Sulser","15256",642121
"Calvin Ziegler","NYM",0,0,0,4.00658,1,1,0,0,,2.023,7,1,1,1,0,1,0,0,2,6.99736,3.22304,2.17105,0.859142,0.225413,0.103827,0.1215858906507492,0.232591,1.06765,0.281993,0.622504,,,4.01693,0.0273643,0.0237051,999,,,,,,,13.37019648551941,6.609095217190184,11.114997625350952,5.494315489256135,,,,,,,,,,,,,,,,,,,"Calvin Ziegler","sa3018142",683349
"Braylon Owens","MIL",0,0,0,4.76195,1,1,0,0,,4.50788,19,4,3,2,1,2,0,0,4,7.87027,3.6027,2.18455,1.43286,0.210133,0.0961906,0.11394216120243073,0.245394,1.31156,0.28064,0.673905,,,4.80015,0.0272658,-0.0161885,999,,,,,,,12.658320617675779,2.808042216644636,11.539405822753906,2.559829197250773,,,,,,,,,,,,,,,,,,,"Braylon Owens","sa3039298",823182
"Ryan Rolison","CHC",1,1,0,4.2026,27,0,1,5,,27,119,26,14,13,3,11,,1,25,8.13767,3.73068,2.18128,1.09775,0.207329,0.0950491,0.11228004097938538,0.244242,1.36625,0.289063,0.716221,,,4.27625,0.0271499,-0.0118453,999,,,,,,,134.3,4.974074074074075,135,5,,,,,,,,,,,,,,,,,,,"Ryan Rolison","22200",669020
"Zach McCambley","CIN",1,1,0,4.2231,22,0,0,0,,22,93,19,11,10,3,10,,1,22,9.22857,4.32576,2.1334,1.1072,0.239929,0.112463,0.12746549397706985,0.235135,1.36045,0.291823,0.713628,,,4.25021,0.0270214,0.0168085,999,,,,,,,87.5,3.977272727272727,82,3.727272727272727,,,,,,,,,,,,,,,,,,,"Zach McCambley","27666",685112
"Julian Aguiar","CIN",0,0,1,5.10536,8,1,0,0,,10,44,11,6,6,2,4,,0,8,6.76354,3.13331,2.15859,1.48363,0.175351,0.0812339,0.09411705285310745,0.265993,1.38298,0.29252,0.662569,,,4.93143,0.0269772,0.0502805,999,,,,,,,24.799999999999997,2.4799999999999995,28,2.8,,,,,,,,,,,,,,,,,,,"Julian Aguiar","30031",687924
"Isaiah Coupet","COL",0,0,0,5.29805,1,1,0,0,,4.14632,18,4,3,2,1,2,0,0,3,7.20476,3.87309,1.86021,1.4151,0.180799,0.0971926,0.08360593765974045,0.270694,1.49861,0.304832,0.669272,,,5.02213,0.0269574,-0.00189166,999,,,,,,,7.982802295684815,1.9252718972274425,7.73162317276001,1.8646931570025,,,,,,,,,,,,,,,,,,,"Isaiah Coupet","sa3023156",694549
"Jack Wenninger","NYM",0,0,0,4.72075,1,1,0,0,,4,16,3,2,2,1,2,,0,3,7.13318,3.8136,1.87046,1.25085,0.185671,0.0992647,0.08640598505735397,0.252117,1.38065,0.285595,0.681031,,,4.74686,0.0267532,0.0429395,999,,,,,,,9.5,2.375,7,1.75,,,,,,,,,,,,,,,,,,,"Jack Wenninger","sa3023282",811307
"Xavier Cruz","STL",0,0,0,4.25241,1,1,0,0,,2.90279,13,3,1,1,0,1,0,0,3,9.17723,4.4513,2.0617,1.13404,0.232432,0.112738,0.11969384551048279,0.235973,1.40065,0.289555,0.72256,,,4.3759,0.0265072,0.0826116,999,,,,,,,16.680667686462403,5.746420115125868,17.513964653015137,6.033487428046333,,,,,,,,,,,,,,,,,,,"Xavier Cruz","sa3024203",808081
"Randy Dobnak","KCR",0,0,0,5.27523,1,1,0,0,,5,21,6,3,3,1,2,,0,3,4.87744,3.30348,1.47645,1.07748,0.126032,0.0853613,0.04067068547010422,0.28735,1.48344,0.309192,0.64085,,,4.82285,0.0264232,0.0262451,999,,,,,,,9.1,1.8199999999999998,12,2.4,,,,,,,,,,,,,,,,,,,"Randy Dobnak","23798",677976
"Izack Tiger","TEX",0,0,0,4.41204,1,1,0,0,,2.80693,12,3,2,1,0,1,0,0,3,8.58597,4.05414,2.11783,1.23286,0.221823,0.104741,0.11708220839500427,0.240078,1.36267,0.286202,0.706502,,,4.51113,0.0264186,-0.0289372,999,,,,,,,15.971310710906984,5.689949031413386,17.034669399261475,6.068781855366634,,,,,,,,,,,,,,,,,,,"Izack Tiger","sa3022875",806094
"Tucker Davidson","PHI",0,0,0,5.16883,1,1,0,0,,5,20,5,3,3,1,2,,0,3,6.58751,3.74185,1.7605,1.38616,0.167302,0.0950311,0.07227075099945068,0.266201,1.45638,0.293267,0.668227,,,5.04153,0.0263462,0.0177955,999,,,,,,,11.7,2.34,12,2.4,,,,,,,,,,,,,,,,,,,"Tucker Davidson","19871",656353
"Landon Harmon","WSN",0,0,0,4.95347,1,1,0,0,,3.51651,13,3,2,2,0,1,0,0,2,4.91288,3.12649,1.57137,0.974885,0.147355,0.0937745,0.05358017981052399,0.26813,1.2362,0.293345,0.585552,,,4.62046,0.0260149,0.02099,999,,,,,,,19.222154664993287,5.466263126639019,18.582536935806274,5.284373069611909,,,,,,,,,,,,,,,,,,,"Landon Harmon","sa3069265",816102
"Jordan Wicks","CHC",1,1,1,4.49696,17,1,0,0,,19,80,19,10,9,3,6,,1,15,6.89802,2.95608,2.3335,1.18584,0.181735,0.0778806,0.1038539931178093,0.257833,1.31932,0.291732,0.681656,,,4.40868,0.0259547,-0.0499709,999,,,,,,,63.29999999999999,3.3315789473684205,65,3.4210526315789473,,,,,,,,,,,,,,,,,,,"Jordan Wicks","30094",696136
"Trevor Richards","CHW",1,1,0,4.26668,22,0,0,2,,22,91,19,11,10,3,8,,1,21,8.80719,3.41362,2.58001,1.3519,0.233502,0.0905041,0.1429976224899292,0.234813,1.26318,0.278389,0.707949,,,4.38117,0.0258221,0.0283393,999,,,,,,,99.5,4.5227272727272725,94,4.2727272727272725,,,,,,,,,,,,,,,,,,,"Trevor Richards","19309",670950
"Sem Robberse","STL",0,0,0,4.85799,1,1,0,0,,4.37323,19,5,3,2,1,1,0,0,3,6.46554,3.02381,2.13821,1.2779,0.164768,0.0770589,0.0877092033624649,0.269388,1.40726,0.2982,0.676644,,,4.69411,0.0257004,-0.0279137,999,,,,,,,10.061866569519044,2.3007885671394233,11.86612606048584,2.7133581018562434,,,,,,,,,,,,,,,,,,,"Sem Robberse","sa3011735",691828
"Daviel Hurtado","NYM",0,0,0,4.65254,1,1,0,0,,3.52054,14,3,2,2,0,1,0,0,2,6.25652,3.4447,1.81627,1.07758,0.174134,0.0958742,0.0782594308257103,0.25552,1.29332,0.287714,0.647332,,,4.58695,0.0256896,0.0145507,999,,,,,,,19.252011871337892,5.468479307912436,18.602710723876953,5.284047160601112,,,,,,,,,,,,,,,,,,,"Daviel Hurtado","sa3023674",808064
"Tanner McDougal","CHW",0,0,0,4.80947,1,1,0,0,,4,18,4,2,2,1,2,,0,4,7.89615,4.77111,1.65499,1.25731,0.195429,0.118084,0.07734431326389313,0.248278,1.49951,0.287348,0.702374,,,4.92185,0.0256842,0.0547057,999,,,,,,,8.9,2.225,9,2.25,,,,,,,,,,,,,,,,,,,"Tanner McDougal","sa3017471",701780
"Mason Barnett","ATH",2,1,2,4.68556,31,2,3,6,,36,156,34,21,19,5,16,,2,33,8.164,4.00637,2.03776,1.27762,0.211138,0.103613,0.10752500593662262,0.24893,1.39128,0.292245,0.689831,,,4.62353,0.0256487,0.00257213,999,,,,,,,167.50000000000003,4.652777777777779,166,4.611111111111111,,,,,,,,,,,,,,,,,,,"Mason Barnett","31741",686930
"Allen Facundo","NYY",0,0,0,4.77763,1,1,0,0,,4.58785,20,4,3,2,1,2,0,0,4,8.00992,4.88871,1.63845,1.2352,0.208546,0.127282,0.08126378059387207,0.239808,1.42353,0.281072,0.685186,,,4.92906,0.025639,-0.0189293,999,,,,,,,13.25008716583252,2.888082276437839,11.939248085021973,2.602362562358272,,,,,,,,,,,,,,,,,,,"Allen Facundo","sa3016071",702098
"Kyson Witherspoon","BOS",0,0,0,5.0178,1,1,0,0,,4.37817,18,4,3,2,1,2,0,0,3,6.61447,4.04215,1.63637,1.1643,0.174543,0.106664,0.06787855178117752,0.263129,1.42579,0.297566,0.656269,,,4.84383,0.0256263,-0.0167717,999,,,,,,,9.698447513580321,2.2151836618224214,8.890842914581299,2.030721920867466,,,,,,,,,,,,,,,,,,,"Kyson Witherspoon","sa3045487",804817
"David Morgan","SDP",1,1,0,3.80299,20,0,0,0,,20,87,18,9,9,2,9,,1,21,9.19434,3.88139,2.36883,1.02452,0.23701,0.100054,0.13695600628852844,0.229546,1.31021,0.284045,0.73745,,,3.98629,0.0253588,0.0214687,999,,,,,,,88.60000000000001,4.430000000000001,86,4.3,,,,,,,,,,,,,,,,,,,"David Morgan","31616",688158
"José Rodríguez","LAD",0,0,0,4.3273,1,1,0,0,,2.32556,10,2,1,1,0,1,0,0,2,9.26272,4.03585,2.29511,1.31559,0.241736,0.105327,0.13640974462032318,0.231734,1.31949,0.280581,0.712514,,,4.47287,0.0252994,0.0461826,999,,,,,,,13.009116458892823,5.593980494336222,12.627781391143799,5.4300046442056615,,,,,,,,,,,,,,,,,,,"Jose Rodriguez","sa3015437",692064
"Luis De León","BAL",0,0,0,4.69183,1,1,0,0,,3.91423,17,4,2,2,0,2,0,0,3,7.6613,4.8397,1.58301,1.00417,0.190692,0.120462,0.07023020833730698,0.255228,1.52585,0.301355,0.698327,,,4.66084,0.0252776,0.0379393,999,,,,,,,18.565315151214598,4.743029081567826,19.57115888595581,5,,,,,,,,,,,,,,,,,,,"Luis De Leon","sa3019283",801725
"AJ Russell","TEX",0,0,0,4.33464,1,1,0,0,,2.40639,10,2,1,1,0,1,0,0,2,8.86714,3.87948,2.28565,1.27011,0.241517,0.105666,0.13585013896226883,0.231254,1.26362,0.2795,0.691881,,,4.43679,0.0252428,0.0476355,999,,,,,,,13.607296228408813,5.654648004876977,13.031956911087036,5.415559998838815,,,,,,,,,,,,,,,,,,,"AJ Russell","sa3041324",805706
"Cal Quantrill","TEX",2,3,2,4.99143,22,3,0,0,,31,139,33,19,17,5,12,,2,24,7.12964,3.36512,2.11869,1.5161,0.176041,0.0830893,0.09295126050710678,0.262284,1.44306,0.289084,0.693588,,,4.98213,0.0251753,0.00910114,999,,,,,,,88.09999999999998,2.841935483870967,96,3.096774193548387,,,,,,,,,,,,,,,,,,,"Cal Quantrill","19312",615698
"Mitch Spence","KCR",1,1,1,4.92879,14,1,0,0,,18,76,19,11,10,2,5,,1,12,5.95615,2.77651,2.1452,1.24933,0.15346,0.0715364,0.08192315697669983,0.275212,1.39778,0.301032,0.664459,,,4.65023,0.025157,-0.00690409,999,,,,,,,65.20000000000002,3.622222222222223,70,3.888888888888889,,,,,,,,,,,,,,,,,,,"Mitch Spence","27707",687765
"Briggs McKenzie","ATL",0,0,0,4.67316,1,1,0,0,,3.60851,15,4,2,2,0,2,0,0,3,7.36648,3.814,1.93143,1.14199,0.191667,0.0992359,0.09243136644363403,0.256899,1.39927,0.297569,0.681178,,,4.56742,0.0250946,0.027688,999,,,,,,,16.302952957153323,4.517921747325569,18.04253578186035,5,,,,,,,,,,,,,,,,,,,"Briggs McKenzie","sa3069273",828987
"Antwone Kelly","PIT",1,2,1,4.64202,17,2,0,0,,22,95,21,12,11,3,10,,1,17,6.84343,3.93734,1.73808,1.18908,0.177629,0.102198,0.07543080300092697,0.249705,1.38467,0.280988,0.684609,,,4.76493,0.0250712,0.0558855,999,,,,,,,72.30000000000001,3.286363636363637,72,3.272727272727273,,,,,,,,,,,,,,,,,,,"Antwone Kelly","29000",699008
"Félix Bautista","BAL",1,0,0,3.35404,6,0,0,0,,6,26,5,3,2,1,3,,0,9,12.2981,4.09938,3,0.931677,0.336735,0.112245,0.22448978573083878,0.196532,1.15942,0.284314,0.755102,,,3.14708,0.0249686,0.000617625,999,,,,,,,28.10000000000001,4.6833333333333345,26,4.333333333333333,,,,,,,,,,,,,,,,,,,"Felix Bautista","20666",642585
