Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Yoshinobu Yamamoto","LAD",6,3,7,3.34755,12,12,0,0,,72,293,61,29,27,8,21,,3,77,9.54297,2.65464,3.59483,0.976399,0.262123,0.0729167,0.1892063096165657,0.225974,1.13261,0.287294,0.740635,,,3.4103,1.68686,1.65292,26.639999389648438,,,,,,,357.80000000000007,4.969444444444445,338,4.694444444444445,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Framber Valdez","DET",6,4,8,3.7341,14,14,0,0,,91,379,85,41,38,8,30,,4,80,7.94035,3.01577,2.63294,0.794385,0.211613,0.0803712,0.1312413439154625,0.246787,1.27002,0.300461,0.712513,,,3.63097,1.64801,1.68131,81.13999938964844,,,,,,,412,4.527472527472527,409,4.4945054945054945,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Chase Burns","CIN",5,2,7,3.26134,17,12,0,0,,70,290,56,28,25,9,23,,3,88,11.3962,2.98483,3.81805,1.16233,0.305154,0.0799242,0.22523005306720734,0.210674,1.12641,0.280014,0.772651,,,3.38332,1.62785,1.66158,109.72000122070312,,,,,,,359.70000000000005,5.138571428571429,331,4.728571428571429,,,,,,,,,,,,,,,,,,,"Chase Burns","35333",695505
"Logan Gilbert","SEA",6,4,9,3.18306,14,14,0,0,,80,325,66,31,28,10,19,,3,89,10.0146,2.14931,4.65947,1.13019,0.274396,0.0588901,0.2155064046382904,0.218777,1.06466,0.276076,0.763198,,,3.35388,1.61556,1.77667,37.150001525878906,,,,,,,409.4,5.1175,382,4.775,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Sonny Gray","BOS",5,4,8,3.76188,14,14,0,0,,81,338,76,37,34,10,22,,4,83,9.23609,2.41068,3.83132,1.09291,0.244865,0.0639114,0.18095380067825317,0.244349,1.2158,0.302551,0.726023,,,3.56642,1.61431,1.61774,138.08999633789062,,,,,,,366.79999999999995,4.528395061728395,363,4.481481481481482,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Ranger Suarez","BOS",6,5,8,3.96934,15,15,0,0,,86,364,85,42,38,10,25,,4,80,8.35543,2.6128,3.19788,0.999093,0.220051,0.0688115,0.15123969316482544,0.254352,1.27821,0.308266,0.709392,,,3.6969,1.57674,1.44047,183.97999572753906,,,,,,,365.4,4.248837209302326,373,4.337209302325581,,,,,,,,,,,,,,,,,,,"Ranger Suarez","17277",624133
"Nathan Eovaldi","TEX",5,4,8,3.73017,14,14,0,0,,82,337,76,37,34,10,21,,3,78,8.55846,2.32011,3.68882,1.05976,0.230087,0.0623743,0.1677132286131382,0.243576,1.19125,0.29516,0.719571,,,3.63649,1.56811,1.47181,132.50999450683594,,,,,,,370.20000000000005,4.514634146341464,364,4.439024390243903,,,,,,,,,,,,,,,,,,,"Nathan Eovaldi","9132",543135
"Joe Ryan","MIN",5,4,8,3.56053,14,14,0,0,,78,319,68,34,31,11,18,,3,85,9.85636,2.12165,4.64561,1.27452,0.266993,0.0574721,0.2095208317041397,0.22901,1.11152,0.283743,0.743951,,,3.58917,1.56419,1.60076,78.52999877929688,,,,,,,372.1000000000001,4.770512820512821,354,4.538461538461538,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Bryan Woo","SEA",6,4,8,3.28769,13,13,0,0,,78,314,66,31,28,10,17,,3,80,9.25731,1.92337,4.81306,1.1513,0.254537,0.0528846,0.2016521506011486,0.22425,1.06287,0.274219,0.751188,,,3.47451,1.47299,1.64078,34.77000045776367,,,,,,,382.6,4.9051282051282055,360,4.615384615384615,,,,,,,,,,,,,,,,,,,"Bryan Woo","30279",693433
"Shohei Ohtani","LAD",5,3,7,3.05201,11,11,0,0,,57,233,45,21,19,6,18,,3,67,10.4196,2.86729,3.63397,0.94665,0.285133,0.0784633,0.20666974037885666,0.212502,1.10431,0.279531,0.766861,,,3.24611,1.4491,1.52856,1.2699999809265137,,,,,,,301.99999999999994,5.298245614035086,278,4.87719298245614,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
