Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Bo Bichette,FREEAGENT,75.71,62.3,NYM,SS,"SS,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Adley Rutschman,FREEAGENT,69.76,51.64,Bos,C,"C,UTIL,BE,IL,DH",ACTIVE
Ian Happ,FREEAGENT,69.22,56.0,ChC,LF,"LF,OF,UTIL,BE,IL",ACTIVE
Austin Riley,FREEAGENT,58.78,47.65,Atl,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Kyle Bradish,FREEAGENT,56.36,41.5,Bal,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Trevor Rogers,FREEAGENT,56.35,37.56,Bal,SP,"P,SP,BE,IL",ACTIVE
Jung Hoo Lee,FREEAGENT,49.89,34.74,SF,CF,"CF,OF,UTIL,BE,IL,RF",ACTIVE
Edwin Diaz,FREEAGENT,49.61,28.48,LAD,RP,"P,RP,BE,IL",ACTIVE
Gleyber Torres,FREEAGENT,45.82,33.73,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL,DH",ACTIVE
Cole Ragans,FREEAGENT,44.35,30.18,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Vinnie Pasquantino,FREEAGENT,43.91,31.52,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Willy Adames,FREEAGENT,43.78,25.27,SF,SS,"SS,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Emmet Sheehan,FREEAGENT,43.27,30.64,LAD,SP,"P,SP,BE,IL",ACTIVE
Kenley Jansen,FREEAGENT,42.27,35.69,Det,RP,"P,RP,BE,IL",ACTIVE
Alejandro Kirk,FREEAGENT,41.0,25.21,Tor,C,"C,UTIL,BE,IL",ACTIVE
Yainer Diaz,FREEAGENT,40.6,29.73,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,40.37,35.14,Min,RP,"P,RP,BE,IL",ACTIVE
Tyler Mahle,FREEAGENT,40.05,20.47,Atl,SP,"P,SP,BE,IL",ACTIVE
Brandon Woodruff,FREEAGENT,39.96,24.44,Mil,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Brent Rooker,FREEAGENT,39.58,23.94,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Michael Busch,FREEAGENT,39.21,28.75,ChC,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Jonathan Aranda,FREEAGENT,38.73,31.6,TB,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Nick Lodolo,FREEAGENT,38.55,23.17,Cin,SP,"P,SP,BE,IL",ACTIVE
Javier Sanoja,FREEAGENT,36.99,33.88,Mia,LF,"2B,3B,2B/SS,1B/3B,IF,LF,OF,UTIL,P,RP,BE,IL,RF,SS",ACTIVE
Pete Fairbanks,FREEAGENT,35.12,22.9,Mia,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Bryan Abreu,FREEAGENT,34.73,30.08,Hou,RP,"P,RP,BE,IL",ACTIVE
Marcus Semien,FREEAGENT,34.7,23.37,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Davis Martin,FREEAGENT,34.68,25.09,ChW,SP,"P,SP,BE,IL",ACTIVE
Cal Quantrill,FREEAGENT,32.62,26.53,Tex,SP,"P,SP,BE,IL,RP",DAY_TO_DAY
Robert Suarez,FREEAGENT,32.58,12.95,Atl,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Brendan Donovan,FREEAGENT,32.47,11.96,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",SEVEN_DAY_DL
Zac Gallen,FREEAGENT,32.4,23.05,Ari,SP,"P,SP,BE,IL",ACTIVE
