Team,Wins,Losses,Ties
Jazz Hands,8,6,2
Shitty Mike,8,6,2
Jobu's Rum Runners,6,8,2
Mookie Monstahs,10,3,3
Master Bader,6,8,2
Houck Tuah,9,7,0
George Clooneys,8,7,1
Team Quinn,4,10,2
Mayor of Titty-City,6,9,1
yahtzee BEEZNUTZ,7,8,1
