Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Bo Bichette,FREEAGENT,74.47,60.67,NYM,SS,"SS,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Nick Pivetta,FREEAGENT,51.34,24.62,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Trevor Rogers,FREEAGENT,50.71,38.43,Bal,SP,"P,SP,BE,IL",ACTIVE
Gleyber Torres,FREEAGENT,48.4,36.79,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL,DH",ACTIVE
Luke Keaschall,FREEAGENT,46.5,38.15,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF,CF",ACTIVE
Cole Ragans,FREEAGENT,46.09,30.96,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Bryce Elder,FREEAGENT,45.7,39.87,Atl,SP,"P,SP,BE,IL",ACTIVE
Pete Fairbanks,FREEAGENT,43.65,35.76,Mia,RP,"P,RP,BE,IL",ACTIVE
Nick Lodolo,FREEAGENT,43.25,27.49,Cin,SP,"P,SP,BE,IL",ACTIVE
Brandon Woodruff,FREEAGENT,42.49,25.13,Mil,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Brent Rooker,FREEAGENT,41.36,25.13,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Yainer Diaz,FREEAGENT,41.2,30.06,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Vinnie Pasquantino,FREEAGENT,40.47,20.12,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",TEN_DAY_DL
Brooks Lee,FREEAGENT,40.36,32.36,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Michael Busch,FREEAGENT,39.52,27.64,ChC,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,39.11,33.79,Min,RP,"P,RP,BE,IL",ACTIVE
Kenley Jansen,FREEAGENT,38.99,32.28,Det,RP,"P,RP,BE,IL",ACTIVE
Robert Suarez,FREEAGENT,37.02,14.15,Atl,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Noah Cameron,FREEAGENT,36.41,31.02,KC,SP,"P,SP,BE,IL",ACTIVE
Alejandro Kirk,FREEAGENT,35.32,19.76,Tor,C,"C,UTIL,BE,IL",ACTIVE
Marcus Semien,FREEAGENT,35.15,22.55,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,34.65,16.52,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Ryan Helsley,FREEAGENT,34.07,15.83,Bal,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Zac Gallen,FREEAGENT,33.78,22.91,Ari,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Jo Adell,FREEAGENT,32.61,21.65,Cle,CF,"CF,RF,OF,UTIL,BE,IL,LF",ACTIVE
Bryan Abreu,FREEAGENT,32.16,27.52,Hou,RP,"P,RP,BE,IL",ACTIVE
Daniel Palencia,FREEAGENT,31.51,13.53,ChC,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Ryan Pepiot,FREEAGENT,30.77,18.51,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Jack Flaherty,FREEAGENT,30.64,15.8,Det,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Casey Schmitt,FREEAGENT,29.98,8.05,SF,2B,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,DH,1B,LF,OF",TEN_DAY_DL
Carson Benge,FREEAGENT,28.93,25.5,NYM,CF,"LF,CF,RF,OF,UTIL,BE,IL",ACTIVE
Hunter Greene,FREEAGENT,28.48,11.23,Cin,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Jakob Marsee,FREEAGENT,26.14,13.73,Mia,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Ildemaro Vargas,FREEAGENT,25.19,17.07,Ari,2B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Andre Pallante,FREEAGENT,24.58,10.46,StL,SP,"P,SP,BE,IL",ACTIVE
Sal Frelick,FREEAGENT,23.87,7.01,Mil,RF,"RF,OF,UTIL,BE,IL",TEN_DAY_DL
Seth Lugo,FREEAGENT,23.19,13.66,KC,SP,"P,SP,BE,IL",ACTIVE
Kyle Leahy,FREEAGENT,23.12,14.15,StL,RP,"P,RP,BE,IL,SP",ACTIVE
Joey Cantillo,FREEAGENT,23.07,19.23,Cle,RP,"P,SP,RP,BE,IL",ACTIVE
Kris Bubic,FREEAGENT,22.9,7.45,LAD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Spencer Torkelson,FREEAGENT,22.76,15.66,Det,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Brayan Rocchio,FREEAGENT,22.39,16.42,Cle,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Sam Antonacci,FREEAGENT,22.34,19.72,ChW,2B,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,LF,OF",ACTIVE
Kody Clemens,FREEAGENT,22.28,17.81,Min,1B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL,OF,LF,RF",ACTIVE
Gregory Soto,FREEAGENT,20.84,19.47,Pit,RP,"P,RP,BE,IL",ACTIVE
Josh Jung,FREEAGENT,20.66,4.51,Tex,3B,"3B,1B/3B,IF,UTIL,BE,IL",TEN_DAY_DL
Nick Gonzales,FREEAGENT,20.65,13.19,Pit,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",DAY_TO_DAY
Ben Brown,FREEAGENT,20.32,1.58,ChC,SP,"P,SP,RP,BE,IL",SIXTY_DAY_DL
Merrill Kelly,FREEAGENT,20.25,9.9,Ari,SP,"P,SP,BE,IL",ACTIVE
Alec Bohm,FREEAGENT,20.23,13.69,Phi,3B,"3B,1B/3B,IF,UTIL,BE,IL,1B",ACTIVE
Brandon Young,FREEAGENT,19.25,11.92,Bal,SP,"P,SP,BE,IL",ACTIVE
Chase Meidroth,FREEAGENT,18.78,15.12,ChW,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Nolan Arenado,FREEAGENT,18.7,15.11,Ari,3B,"3B,1B/3B,IF,UTIL,BE,IL",DAY_TO_DAY
Shane Bieber,FREEAGENT,18.43,7.05,Tor,SP,"P,SP,BE,IL",ACTIVE
J.T. Ginn,FREEAGENT,18.32,12.99,Oak,SP,"P,SP,BE,IL",ACTIVE
Carlos Estevez,FREEAGENT,17.66,9.2,KC,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Keider Montero,FREEAGENT,17.41,12.92,Det,SP,"P,SP,RP,BE,IL",ACTIVE
Adrian Morejon,FREEAGENT,17.08,15.75,SD,RP,"P,RP,BE,IL",ACTIVE
Josh Bell,FREEAGENT,15.79,11.91,Min,DH,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
J.T. Realmuto,FREEAGENT,15.67,10.65,Phi,C,"C,UTIL,BE,IL",ACTIVE
Martin Perez,FREEAGENT,15.43,7.09,Atl,SP,"P,SP,BE,IL",ACTIVE
Tatsuya Imai,FREEAGENT,15.01,8.4,Hou,SP,"P,SP,BE,IL",ACTIVE
Aaron Ashby,FREEAGENT,14.78,13.66,Mil,RP,"P,RP,BE,IL",ACTIVE
Luis Robert Jr.,FREEAGENT,13.14,6.75,NYM,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Tommy Edman,FREEAGENT,12.88,9.95,LAD,2B,"2B,2B/SS,IF,CF,OF,UTIL,BE,IL,LF",ACTIVE
Randy Vasquez,FREEAGENT,12.44,9.6,SD,SP,"P,SP,BE,IL,RP",ACTIVE
Cole Young,FREEAGENT,12.4,9.35,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Jacob Webb,FREEAGENT,12.04,10.79,ChC,RP,"P,RP,BE,IL",ACTIVE
Sean Manaea,FREEAGENT,12.0,8.67,NYM,SP,"P,SP,BE,IL,RP",ACTIVE
Zac Thornton,FREEAGENT,11.56,4.7,NYM,SP,"P,SP,BE,IL",ACTIVE
Lawrence Butler,FREEAGENT,11.48,6.24,Oak,RF,"CF,RF,OF,UTIL,BE,IL",ACTIVE
Heliot Ramos,FREEAGENT,11.2,5.89,NYY,LF,"LF,OF,UTIL,BE,IL",ACTIVE
Angel Martinez,FREEAGENT,10.91,5.83,Cle,CF,"2B,2B/SS,IF,CF,OF,UTIL,BE,IL,LF,RF",ACTIVE
Keibert Ruiz,FREEAGENT,10.58,8.18,Wsh,C,"C,UTIL,BE,IL",ACTIVE
Seranthony Dominguez,FREEAGENT,9.96,8.11,Sea,RP,"P,RP,BE,IL",ACTIVE
Trevor Story,FREEAGENT,9.76,3.54,Bos,SS,"SS,2B/SS,IF,UTIL,BE,IL",SIXTY_DAY_DL
Brent Headrick,FREEAGENT,9.73,8.98,NYY,RP,"P,RP,BE,IL",ACTIVE
Jason Adam,FREEAGENT,9.63,5.05,SD,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Brady Singer,FREEAGENT,9.2,5.68,Cin,SP,"P,SP,BE,IL",ACTIVE
Ryan Walker,FREEAGENT,9.11,6.5,SF,RP,"P,RP,BE,IL",ACTIVE
Andres Gimenez,FREEAGENT,9.08,6.39,Tor,2B,"2B,2B/SS,IF,UTIL,BE,IL,SS",ACTIVE
Alex Vesia,FREEAGENT,8.91,8.14,LAD,RP,"P,RP,BE,IL",ACTIVE
Cam Smith,FREEAGENT,8.9,6.36,Hou,RF,"RF,OF,UTIL,BE,IL",ACTIVE
Jake Burger,FREEAGENT,8.85,6.38,Tex,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
A.J. Ewing,FREEAGENT,8.76,7.02,NYM,CF,"CF,OF,UTIL,BE,IL,LF",ACTIVE
Daulton Varsho,FREEAGENT,8.7,5.71,Hou,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Rico Garcia,FREEAGENT,8.7,8.07,Bal,RP,"P,RP,BE,IL",ACTIVE
Gavin Sheets,FREEAGENT,8.63,6.24,SD,LF,"LF,OF,DH,UTIL,BE,IL,1B,1B/3B,IF",ACTIVE
Jordan Westburg,FREEAGENT,8.59,3.25,Bal,3B,"3B,1B/3B,IF,UTIL,BE,IL",SIXTY_DAY_DL
Andrew Painter,FREEAGENT,8.56,7.35,Phi,SP,"P,SP,BE,IL",ACTIVE
TJ Friedl,FREEAGENT,8.49,3.03,Cin,CF,"CF,OF,UTIL,BE,IL,LF",ACTIVE
Andruw Monasterio,FREEAGENT,8.44,7.13,Bos,SS,"SS,2B/SS,IF,UTIL,BE,IL,DH,2B",ACTIVE
Dalton Rushing,FREEAGENT,8.27,3.07,LAD,C,"C,UTIL,BE,IL",TEN_DAY_DL
Curtis Mead,FREEAGENT,8.11,0.83,Bos,1B,"1B,3B,1B/3B,IF,UTIL,BE,IL",TEN_DAY_DL
Nasim Nunez,FREEAGENT,8.06,4.96,Wsh,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Eduardo Valencia,FREEAGENT,8.03,4.5,Det,1B,"C,1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Jacob Lopez,FREEAGENT,7.94,7.17,Oak,SP,"P,SP,BE,IL",ACTIVE
Gage Jump,FREEAGENT,7.91,3.84,Oak,SP,"P,SP,BE,IL",ACTIVE
Griffin Conine,FREEAGENT,7.78,4.65,Mia,LF,"LF,RF,OF,UTIL,BE,IL,DH",ACTIVE
Lucas Erceg,FREEAGENT,7.74,6.43,KC,RP,"P,RP,BE,IL",ACTIVE
Carlos Correa,FREEAGENT,7.73,3.06,Hou,SS,"3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",SIXTY_DAY_DL
Zac Veen,FREEAGENT,7.71,5.63,Col,LF,"LF,RF,OF,UTIL,BE,IL",ACTIVE
Jeffrey Springs,FREEAGENT,7.51,4.43,Oak,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Erik Sabrowski,FREEAGENT,7.22,6.15,Cle,RP,"P,RP,BE,IL",ACTIVE
Kerry Carpenter,FREEAGENT,7.12,2.28,Det,RF,"LF,RF,OF,DH,UTIL,BE,IL",TEN_DAY_DL
Jake Mangum,FREEAGENT,7.05,6.28,Pit,LF,"LF,CF,RF,OF,UTIL,BE,IL",ACTIVE
Jeremiah Estrada,FREEAGENT,6.92,4.69,SD,RP,"P,RP,BE,IL",ACTIVE
Yusei Kikuchi,FREEAGENT,6.87,2.84,LAA,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Jeff McNeil,FREEAGENT,6.57,4.43,Oak,2B,"2B,2B/SS,IF,CF,OF,UTIL,BE,IL,1B,1B/3B",ACTIVE
Dennis Santana,FREEAGENT,6.55,5.14,Ari,RP,"P,RP,BE,IL",ACTIVE
Hayden Wesneski,FREEAGENT,6.46,4.11,Hou,SP,"P,SP,BE,IL",ACTIVE
Dylan Crews,FREEAGENT,6.39,4.34,Wsh,RF,"RF,OF,UTIL,BE,IL,CF",ACTIVE
Austin Wells,FREEAGENT,6.1,3.68,NYY,C,"C,UTIL,BE,IL",ACTIVE
Abimelec Ortiz,FREEAGENT,6.07,4.04,Wsh,1B,"1B,1B/3B,IF,RF,OF,DH,UTIL,BE,IL",ACTIVE
Matt McLain,FREEAGENT,6.06,3.32,Cin,2B,"2B,2B/SS,IF,UTIL,BE,IL,SS",ACTIVE
David Peterson,FREEAGENT,6.04,4.25,ChC,SP,"P,SP,BE,IL,RP",ACTIVE
JoJo Romero,FREEAGENT,5.98,1.84,Mil,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Tyler Stephenson,FREEAGENT,5.98,3.74,Cin,C,"C,UTIL,BE,IL",ACTIVE
Walker Buehler,FREEAGENT,5.75,2.31,SD,SP,"P,SP,BE,IL",ACTIVE
Masyn Winn,FREEAGENT,5.74,3.52,StL,SS,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Jorge Polanco,FREEAGENT,5.68,2.17,NYM,DH,"2B,2B/SS,IF,DH,UTIL,BE,IL",ACTIVE
