Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Nick Pivetta,FREEAGENT,53.99,25.21,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Jung Hoo Lee,FREEAGENT,52.62,34.76,SF,CF,"CF,OF,UTIL,BE,IL,RF",ACTIVE
Trevor Rogers,FREEAGENT,52.4,41.86,Bal,SP,"P,SP,BE,IL",ACTIVE
Emilio Pagan,FREEAGENT,48.83,40.11,Cin,RP,"P,RP,BE,IL",ACTIVE
Cole Ragans,FREEAGENT,48.6,31.82,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Brandon Woodruff,FREEAGENT,47.78,26.01,Mil,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Gleyber Torres,FREEAGENT,46.25,31.58,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Luke Keaschall,FREEAGENT,44.23,34.62,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF,CF",ACTIVE
Brent Rooker,FREEAGENT,44.12,26.02,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Vinnie Pasquantino,FREEAGENT,43.7,26.4,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",DAY_TO_DAY
Nick Lodolo,FREEAGENT,41.6,19.47,Cin,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Brooks Lee,FREEAGENT,40.94,32.66,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Robert Suarez,FREEAGENT,40.73,15.5,Atl,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Yainer Diaz,FREEAGENT,40.28,28.76,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,39.1,33.87,Tor,RP,"P,RP,BE,IL",ACTIVE
Bryson Stott,FREEAGENT,39.07,27.36,Phi,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Pete Fairbanks,FREEAGENT,38.61,30.97,Mia,RP,"P,RP,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,38.45,11.79,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",TEN_DAY_DL
Bryce Elder,FREEAGENT,38.44,24.65,Atl,SP,"P,SP,BE,IL",ACTIVE
