Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Jung Hoo Lee,FREEAGENT,60.86,46.67,SF,CF,"CF,OF,UTIL,BE,IL,RF",ACTIVE
Emilio Pagan,FREEAGENT,52.67,44.2,Cin,RP,"P,RP,BE,IL",ACTIVE
Nick Pivetta,FREEAGENT,52.57,24.97,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Trevor Rogers,FREEAGENT,49.4,28.44,Bal,SP,"P,SP,BE,IL",ACTIVE
Gleyber Torres,FREEAGENT,48.03,35.84,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL,DH",ACTIVE
Cole Ragans,FREEAGENT,47.07,31.35,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Luke Keaschall,FREEAGENT,45.21,36.73,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF,CF",ACTIVE
Brandon Woodruff,FREEAGENT,44.14,25.42,Mil,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Yainer Diaz,FREEAGENT,42.91,31.71,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Bryce Elder,FREEAGENT,42.83,28.87,Atl,SP,"P,SP,BE,IL",ACTIVE
Brent Rooker,FREEAGENT,42.48,25.49,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Caleb Durbin,FREEAGENT,42.35,34.17,Bos,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Bryson Stott,FREEAGENT,41.97,30.58,Phi,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Pete Fairbanks,FREEAGENT,41.67,33.97,Mia,RP,"P,RP,BE,IL",ACTIVE
Vinnie Pasquantino,FREEAGENT,41.03,20.67,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",TEN_DAY_DL
Nick Lodolo,FREEAGENT,41.01,18.91,Cin,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Jeff Hoffman,FREEAGENT,39.94,34.67,Min,RP,"P,RP,BE,IL",ACTIVE
