Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Bo Bichette,FREEAGENT,75.03,63.39,NYM,SS,"SS,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Nick Pivetta,FREEAGENT,51.18,24.65,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Trevor Rogers,FREEAGENT,49.56,35.1,Bal,SP,"P,SP,BE,IL",ACTIVE
Gleyber Torres,FREEAGENT,49.13,38.44,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL,DH",ACTIVE
Luke Keaschall,FREEAGENT,46.75,39.85,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF,CF",ACTIVE
Cole Ragans,FREEAGENT,45.92,30.96,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Bryce Elder,FREEAGENT,44.23,36.19,Atl,SP,"P,SP,BE,IL",ACTIVE
Pete Fairbanks,FREEAGENT,43.71,36.12,Mia,RP,"P,RP,BE,IL",ACTIVE
Nick Lodolo,FREEAGENT,42.47,26.07,Cin,SP,"P,SP,BE,IL",ACTIVE
Brandon Woodruff,FREEAGENT,42.13,25.1,Mil,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Brooks Lee,FREEAGENT,41.35,36.27,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Brent Rooker,FREEAGENT,41.19,25.14,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Yainer Diaz,FREEAGENT,40.9,29.14,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Vinnie Pasquantino,FREEAGENT,40.35,21.46,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Michael Busch,FREEAGENT,39.3,29.23,ChC,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Kenley Jansen,FREEAGENT,39.12,32.67,Det,RP,"P,RP,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,38.97,33.87,Min,RP,"P,RP,BE,IL",ACTIVE
Noah Cameron,FREEAGENT,37.18,29.73,KC,SP,"P,SP,BE,IL",ACTIVE
Robert Suarez,FREEAGENT,36.68,14.25,Atl,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Dansby Swanson,FREEAGENT,36.62,20.49,ChC,SS,"SS,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Alejandro Kirk,FREEAGENT,35.52,18.89,Tor,C,"C,UTIL,BE,IL",ACTIVE
Marcus Semien,FREEAGENT,35.01,23.53,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,34.45,15.55,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Ryan Helsley,FREEAGENT,33.93,15.89,Bal,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Zac Gallen,FREEAGENT,33.64,22.92,Ari,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Bryan Abreu,FREEAGENT,31.95,26.5,Hou,RP,"P,RP,BE,IL",ACTIVE
Daniel Palencia,FREEAGENT,31.25,13.72,ChC,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Ryan Pepiot,FREEAGENT,30.73,18.51,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Jack Flaherty,FREEAGENT,30.5,15.87,Det,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Carson Benge,FREEAGENT,29.69,27.35,NYM,CF,"LF,CF,RF,OF,UTIL,BE,IL",ACTIVE
Casey Schmitt,FREEAGENT,29.08,8.07,SF,2B,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,DH,1B,LF,OF",TEN_DAY_DL
Kyle Leahy,FREEAGENT,28.69,17.75,StL,RP,"P,RP,BE,IL,SP",ACTIVE
Hunter Greene,FREEAGENT,27.47,10.81,Cin,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Jakob Marsee,FREEAGENT,26.13,14.06,Mia,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Andre Pallante,FREEAGENT,26.11,22.24,StL,SP,"P,SP,BE,IL",ACTIVE
