Team,Wins,Losses,Ties
Jazz Hands,8,9,2
Shitty Mike,9,8,2
Jobu's Rum Runners,7,10,2
Mookie Monstahs,12,4,3
Master Bader,8,9,2
Houck Tuah,12,7,0
George Clooneys,10,8,1
Team Quinn,5,11,3
Mayor of Titty-City,7,11,1
yahtzee BEEZNUTZ,8,9,2
