Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Jung Hoo Lee,FREEAGENT,54.59,39.88,SF,CF,"CF,OF,UTIL,BE,IL,RF",ACTIVE
Nick Pivetta,FREEAGENT,53.76,25.17,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Emilio Pagan,FREEAGENT,50.21,41.22,Cin,RP,"P,RP,BE,IL",ACTIVE
Cole Ragans,FREEAGENT,48.1,31.74,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Casey Schmitt,FREEAGENT,46.69,15.96,SF,2B,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,DH,1B,LF,OF",TEN_DAY_DL
Brandon Woodruff,FREEAGENT,46.35,25.76,Mil,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Trevor Rogers,FREEAGENT,46.12,24.23,Bal,SP,"P,SP,BE,IL",ACTIVE
Gleyber Torres,FREEAGENT,46.03,31.73,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL,DH",ACTIVE
Luke Keaschall,FREEAGENT,43.99,34.91,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF,CF",ACTIVE
Brent Rooker,FREEAGENT,43.62,25.91,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Vinnie Pasquantino,FREEAGENT,42.0,22.27,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",TEN_DAY_DL
Brooks Lee,FREEAGENT,41.51,34.42,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Nick Lodolo,FREEAGENT,41.2,19.2,Cin,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Yainer Diaz,FREEAGENT,40.81,29.72,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Robert Suarez,FREEAGENT,40.13,15.44,Atl,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Pete Fairbanks,FREEAGENT,39.59,31.64,Mia,RP,"P,RP,BE,IL",ACTIVE
Bryce Elder,FREEAGENT,39.38,27.47,Atl,SP,"P,SP,BE,IL",ACTIVE
Bryson Stott,FREEAGENT,39.21,27.25,Phi,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,38.89,33.53,Tor,RP,"P,RP,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,38.14,11.73,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",TEN_DAY_DL
Kenley Jansen,FREEAGENT,37.49,30.86,Det,RP,"P,RP,BE,IL",ACTIVE
Zac Gallen,FREEAGENT,35.91,24.48,Ari,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Caleb Durbin,FREEAGENT,35.85,27.39,Bos,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Marcus Semien,FREEAGENT,35.51,22.61,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Jo Adell,FREEAGENT,33.63,22.53,LAA,CF,"CF,RF,OF,UTIL,BE,IL",ACTIVE
Kyle Stowers,FREEAGENT,33.03,19.94,Mia,LF,"LF,RF,OF,UTIL,BE,IL,1B,1B/3B,IF",ACTIVE
Agustin Ramirez,FREEAGENT,32.65,25.41,Mia,C,"C,DH,UTIL,BE,IL",ACTIVE
Alejandro Kirk,FREEAGENT,32.37,16.11,Tor,C,"C,UTIL,BE,IL",ACTIVE
Konnor Griffin,FREEAGENT,32.29,4.8,Pit,SS,"SS,2B/SS,IF,UTIL,BE,IL",SIXTY_DAY_DL
Jack Flaherty,FREEAGENT,32.25,16.93,Det,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Ryan Pepiot,FREEAGENT,31.5,18.8,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Daniel Palencia,FREEAGENT,31.21,13.38,ChC,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Bryan Abreu,FREEAGENT,30.52,25.98,Hou,RP,"P,RP,BE,IL",ACTIVE
Brayan Rocchio,FREEAGENT,29.0,22.7,Cle,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Ildemaro Vargas,FREEAGENT,27.51,19.72,Ari,2B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Nick Gonzales,FREEAGENT,27.1,24.25,Pit,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Merrill Kelly,FREEAGENT,27.02,11.99,Ari,SP,"P,SP,BE,IL",ACTIVE
Jakob Marsee,FREEAGENT,26.73,13.05,Mia,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Seth Lugo,FREEAGENT,26.63,14.15,KC,SP,"P,SP,BE,IL",ACTIVE
Kris Bubic,FREEAGENT,25.37,7.76,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Ben Brown,FREEAGENT,24.68,1.91,ChC,SP,"P,SP,RP,BE,IL",FIFTEEN_DAY_DL
Sal Frelick,FREEAGENT,24.66,7.67,Mil,RF,"RF,OF,UTIL,BE,IL",TEN_DAY_DL
Gregory Soto,FREEAGENT,24.09,22.62,Pit,RP,"P,RP,BE,IL",ACTIVE
Josh Jung,FREEAGENT,23.86,6.15,Tex,3B,"3B,1B/3B,IF,UTIL,BE,IL",TEN_DAY_DL
Joey Cantillo,FREEAGENT,23.61,18.54,Cle,RP,"P,SP,RP,BE,IL",ACTIVE
Carson Benge,FREEAGENT,21.38,17.94,NYM,CF,"LF,CF,RF,OF,UTIL,BE,IL",ACTIVE
Kyle Leahy,FREEAGENT,20.75,16.64,StL,RP,"P,RP,BE,IL,SP",ACTIVE
Brandon Young,FREEAGENT,20.4,13.72,Bal,SP,"P,SP,BE,IL",ACTIVE
Spencer Torkelson,FREEAGENT,20.14,12.81,Det,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Walbert Urena,FREEAGENT,18.83,10.25,LAA,SP,"P,SP,BE,IL",ACTIVE
Shane Bieber,FREEAGENT,18.82,6.22,Tor,SP,"P,SP,BE,IL",ACTIVE
Clay Holmes,FREEAGENT,18.45,3.36,NYM,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Carlos Estevez,FREEAGENT,18.36,9.29,KC,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Tommy Edman,FREEAGENT,18.16,14.37,LAD,2B,"2B,2B/SS,IF,CF,OF,UTIL,BE,IL,LF",ACTIVE
Alec Bohm,FREEAGENT,17.41,12.38,Phi,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
J.T. Ginn,FREEAGENT,16.66,2.48,Oak,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Nolan Arenado,FREEAGENT,16.5,12.39,Ari,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
J.T. Realmuto,FREEAGENT,16.35,11.2,Phi,C,"C,UTIL,BE,IL",ACTIVE
Andre Pallante,FREEAGENT,16.21,8.72,StL,SP,"P,SP,BE,IL",ACTIVE
Aaron Ashby,FREEAGENT,15.2,14.25,Mil,RP,"P,RP,BE,IL",ACTIVE
Dalton Rushing,FREEAGENT,14.36,10.77,LAD,C,"C,UTIL,BE,IL",ACTIVE
Luis Robert Jr.,FREEAGENT,14.29,6.25,NYM,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Noah Cameron,FREEAGENT,12.59,8.14,KC,SP,"P,SP,BE,IL",ACTIVE
Heliot Ramos,FREEAGENT,12.28,7.14,SF,LF,"LF,OF,UTIL,BE,IL",ACTIVE
Josh Bell,FREEAGENT,12.18,6.91,Min,DH,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Seranthony Dominguez,FREEAGENT,11.79,10.09,ChW,RP,"P,RP,BE,IL",ACTIVE
Adrian Morejon,FREEAGENT,11.51,10.59,SD,RP,"P,RP,BE,IL",ACTIVE
Randy Vasquez,FREEAGENT,11.35,7.91,SD,SP,"P,SP,BE,IL",ACTIVE
Robert Gasser,FREEAGENT,11.16,10.15,Mil,SP,"P,SP,BE,IL",ACTIVE
Curtis Mead,FREEAGENT,11.09,2.67,Bos,1B,"1B,3B,1B/3B,IF,UTIL,BE,IL",TEN_DAY_DL
Nasim Nunez,FREEAGENT,11.07,8.69,Wsh,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Angel Martinez,FREEAGENT,10.86,5.33,Cle,CF,"2B,2B/SS,IF,CF,OF,UTIL,BE,IL,LF,RF",ACTIVE
