Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Bo Bichette,FREEAGENT,75.63,62.17,NYM,SS,"SS,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Adley Rutschman,FREEAGENT,69.55,51.94,Bos,C,"C,UTIL,BE,IL,DH",ACTIVE
Ian Happ,FREEAGENT,69.19,57.0,ChC,LF,"LF,OF,UTIL,BE,IL",ACTIVE
Austin Riley,FREEAGENT,58.31,46.24,Atl,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Trevor Rogers,FREEAGENT,56.11,35.02,Bal,SP,"P,SP,BE,IL",ACTIVE
Kyle Bradish,FREEAGENT,55.82,41.17,Bal,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Edwin Diaz,FREEAGENT,49.45,30.06,LAD,RP,"P,RP,BE,IL",ACTIVE
Jung Hoo Lee,FREEAGENT,47.56,30.38,SF,CF,"CF,OF,UTIL,BE,IL,RF",TEN_DAY_DL
Gleyber Torres,FREEAGENT,46.2,34.95,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL,DH",ACTIVE
Kenley Jansen,FREEAGENT,44.59,37.97,Det,RP,"P,RP,BE,IL",ACTIVE
Cole Ragans,FREEAGENT,44.52,30.38,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Vinnie Pasquantino,FREEAGENT,44.17,30.91,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Emmet Sheehan,FREEAGENT,43.75,32.08,LAD,SP,"P,SP,BE,IL",ACTIVE
Willy Adames,FREEAGENT,43.75,25.34,SF,SS,"SS,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Jeff Hoffman,FREEAGENT,41.8,36.48,Min,RP,"P,RP,BE,IL",ACTIVE
Tyler Mahle,FREEAGENT,41.64,19.29,Atl,SP,"P,SP,BE,IL",ACTIVE
Alejandro Kirk,FREEAGENT,41.47,25.52,Tor,C,"C,UTIL,BE,IL",ACTIVE
Yainer Diaz,FREEAGENT,41.0,30.42,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Brandon Woodruff,FREEAGENT,40.04,24.63,Mil,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Brent Rooker,FREEAGENT,39.68,24.04,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
