Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Steven Kwan,FREEAGENT,56.06,42.95,Cle,LF,"LF,OF,UTIL,BE,IL,CF",ACTIVE
Nick Pivetta,FREEAGENT,55.01,25.66,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Teoscar Hernandez,FREEAGENT,53.61,32.04,LAD,RF,"RF,OF,UTIL,BE,IL,LF",ACTIVE
Cole Ragans,FREEAGENT,52.21,32.65,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Willy Adames,FREEAGENT,50.85,36.64,SF,SS,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Brent Rooker,FREEAGENT,48.52,27.25,Oak,DH,"RF,OF,DH,UTIL,BE,IL",TEN_DAY_DL
Gleyber Torres,FREEAGENT,47.3,25.09,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Emilio Pagan,FREEAGENT,47.28,34.75,Cin,RP,"P,RP,BE,IL",ACTIVE
Luke Keaschall,FREEAGENT,45.9,36.79,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF",ACTIVE
Trevor Rogers,FREEAGENT,43.99,25.0,Bal,SP,"P,SP,BE,IL",ACTIVE
Brooks Lee,FREEAGENT,43.89,37.57,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Pete Fairbanks,FREEAGENT,41.34,32.06,Mia,RP,"P,RP,BE,IL",ACTIVE
Yainer Diaz,FREEAGENT,41.11,28.39,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Bryson Stott,FREEAGENT,40.53,28.03,Phi,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,40.36,33.53,Tor,RP,"P,RP,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,39.78,12.28,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",TEN_DAY_DL
Isaac Paredes,FREEAGENT,38.24,31.02,Hou,3B,"3B,1B/3B,IF,UTIL,BE,IL,1B",ACTIVE
Jack Flaherty,FREEAGENT,37.98,24.06,Det,SP,"P,SP,BE,IL",ACTIVE
Kenley Jansen,FREEAGENT,37.3,28.79,Det,RP,"P,RP,BE,IL",ACTIVE
Konnor Griffin,FREEAGENT,37.12,8.11,Pit,SS,"SS,2B/SS,IF,UTIL,BE,IL",SIXTY_DAY_DL
Marcus Semien,FREEAGENT,36.82,20.62,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Jake Bennett,FREEAGENT,35.56,20.77,Bos,SP,"P,SP,BE,IL",ACTIVE
Jo Adell,FREEAGENT,34.73,23.47,LAA,CF,"CF,RF,OF,UTIL,BE,IL",ACTIVE
Caleb Durbin,FREEAGENT,34.3,25.65,Bos,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Agustin Ramirez,FREEAGENT,33.73,25.99,Mia,C,"C,DH,UTIL,BE,IL",ACTIVE
Daniel Palencia,FREEAGENT,32.83,14.34,ChC,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Alejandro Kirk,FREEAGENT,32.75,15.27,Tor,C,"C,UTIL,BE,IL",ACTIVE
Ryan Pepiot,FREEAGENT,32.31,19.12,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Bryan Abreu,FREEAGENT,30.88,25.12,Hou,RP,"P,RP,BE,IL",ACTIVE
Brayan Rocchio,FREEAGENT,30.51,24.91,Cle,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Ildemaro Vargas,FREEAGENT,30.07,20.8,Ari,2B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Ryan Jeffers,FREEAGENT,30.03,15.2,Min,C,"C,DH,UTIL,BE,IL",ACTIVE
Jakob Marsee,FREEAGENT,28.94,14.4,Mia,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Ben Brown,FREEAGENT,28.77,2.92,ChC,SP,"P,SP,RP,BE,IL",FIFTEEN_DAY_DL
Kris Bubic,FREEAGENT,28.01,8.37,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Sal Frelick,FREEAGENT,27.14,13.34,Mil,RF,"RF,OF,UTIL,BE,IL",ACTIVE
Gregory Soto,FREEAGENT,26.28,22.88,Pit,RP,"P,RP,BE,IL",ACTIVE
Ezequiel Duran,FREEAGENT,25.77,20.96,Tex,SS,"1B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL,OF,2B,LF,3B,RF",ACTIVE
