Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Bo Bichette,FREEAGENT,77.07,65.66,NYM,SS,"SS,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Adley Rutschman,FREEAGENT,69.91,50.28,Bos,C,"C,UTIL,BE,IL,DH",ACTIVE
Ian Happ,FREEAGENT,69.64,58.52,ChC,LF,"LF,OF,UTIL,BE,IL",ACTIVE
Austin Riley,FREEAGENT,59.5,49.73,Atl,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Jung Hoo Lee,FREEAGENT,51.27,37.43,SF,CF,"CF,OF,UTIL,BE,IL,RF",ACTIVE
Edwin Diaz,FREEAGENT,50.87,25.59,LAD,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Emmet Sheehan,FREEAGENT,48.21,37.32,LAD,SP,"P,SP,BE,IL",ACTIVE
Gleyber Torres,FREEAGENT,46.33,35.11,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL,DH",ACTIVE
Cole Ragans,FREEAGENT,44.5,30.27,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Vinnie Pasquantino,FREEAGENT,44.2,29.67,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Willy Adames,FREEAGENT,43.89,25.58,SF,SS,"SS,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Alejandro Kirk,FREEAGENT,40.9,25.45,Tor,C,"C,UTIL,BE,IL",ACTIVE
Yainer Diaz,FREEAGENT,40.32,29.52,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Brandon Woodruff,FREEAGENT,40.05,24.5,Mil,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Kenley Jansen,FREEAGENT,39.82,33.43,Det,RP,"P,RP,BE,IL",ACTIVE
Brent Rooker,FREEAGENT,39.71,24.03,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Michael Busch,FREEAGENT,39.22,29.69,ChC,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Nick Lodolo,FREEAGENT,38.63,23.88,Cin,SP,"P,SP,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,38.45,33.4,Min,RP,"P,RP,BE,IL",ACTIVE
Jonathan Aranda,FREEAGENT,37.63,28.08,TB,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Pete Fairbanks,FREEAGENT,37.24,26.36,Mia,RP,"P,RP,BE,IL",ACTIVE
Cal Quantrill,FREEAGENT,36.66,27.03,Tex,SP,"P,SP,BE,IL,RP",DAY_TO_DAY
Marcus Semien,FREEAGENT,34.62,23.42,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Bryan Abreu,FREEAGENT,33.96,28.76,Hou,RP,"P,RP,BE,IL",ACTIVE
Robert Suarez,FREEAGENT,32.85,13.05,Atl,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Zac Gallen,FREEAGENT,32.77,22.71,Ari,SP,"P,SP,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,32.6,12.15,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",SEVEN_DAY_DL
Ryan Helsley,FREEAGENT,32.51,15.31,Bal,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Tyler Mahle,FREEAGENT,31.9,18.06,Atl,SP,"P,SP,BE,IL",ACTIVE
Dansby Swanson,FREEAGENT,31.54,9.72,ChC,SS,"SS,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Javier Sanoja,FREEAGENT,31.28,29.74,Mia,LF,"2B,3B,2B/SS,1B/3B,IF,LF,OF,UTIL,P,RP,BE,IL,RF,SS",ACTIVE
Davis Martin,FREEAGENT,30.79,18.38,ChW,SP,"P,SP,BE,IL",ACTIVE
Ryan Pepiot,FREEAGENT,30.33,18.28,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Michael Soroka,FREEAGENT,29.49,11.48,Ari,SP,"P,SP,BE,IL",ACTIVE
Jack Flaherty,FREEAGENT,29.39,15.03,Det,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Kyle Stowers,FREEAGENT,27.73,15.04,Mia,LF,"LF,RF,OF,UTIL,BE,IL,1B,1B/3B,IF,DH",ACTIVE
Jakob Marsee,FREEAGENT,26.78,14.9,Mia,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Daniel Palencia,FREEAGENT,26.65,17.35,ChC,RP,"P,RP,BE,IL",ACTIVE
