Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Steven Kwan,FREEAGENT,56.49,43.91,Cle,LF,"LF,OF,UTIL,BE,IL,CF",ACTIVE
Nick Pivetta,FREEAGENT,55.5,25.72,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Teoscar Hernandez,FREEAGENT,54.76,32.68,LAD,RF,"RF,OF,UTIL,BE,IL,LF",ACTIVE
Cole Ragans,FREEAGENT,53.68,32.73,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Willy Adames,FREEAGENT,51.05,37.67,SF,SS,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Gleyber Torres,FREEAGENT,47.54,24.51,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Emilio Pagan,FREEAGENT,47.41,36.27,Cin,RP,"P,RP,BE,IL",ACTIVE
Luke Keaschall,FREEAGENT,46.15,37.47,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF",ACTIVE
Trevor Rogers,FREEAGENT,44.96,27.32,Bal,SP,"P,SP,BE,IL",ACTIVE
Brooks Lee,FREEAGENT,43.85,37.78,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Pete Fairbanks,FREEAGENT,41.2,33.58,Mia,RP,"P,RP,BE,IL",ACTIVE
Yainer Diaz,FREEAGENT,40.75,28.01,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,40.46,34.86,Tor,RP,"P,RP,BE,IL",ACTIVE
Bryson Stott,FREEAGENT,40.4,28.55,Phi,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,39.83,11.99,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",TEN_DAY_DL
Isaac Paredes,FREEAGENT,38.22,30.13,Hou,3B,"3B,1B/3B,IF,UTIL,BE,IL,1B",ACTIVE
Jack Flaherty,FREEAGENT,37.84,28.7,Det,SP,"P,SP,BE,IL",ACTIVE
Marcus Semien,FREEAGENT,37.09,20.78,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Kenley Jansen,FREEAGENT,36.96,30.05,Det,RP,"P,RP,BE,IL",ACTIVE
Jo Adell,FREEAGENT,34.82,24.1,LAA,CF,"CF,RF,OF,UTIL,BE,IL",ACTIVE
Agustin Ramirez,FREEAGENT,34.05,26.52,Mia,C,"C,DH,UTIL,BE,IL",ACTIVE
Caleb Durbin,FREEAGENT,33.88,25.5,Bos,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Alejandro Kirk,FREEAGENT,33.12,15.48,Tor,C,"C,UTIL,BE,IL",ACTIVE
Daniel Palencia,FREEAGENT,32.83,14.41,ChC,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Ryan Pepiot,FREEAGENT,32.56,19.21,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Ildemaro Vargas,FREEAGENT,31.43,22.93,Ari,2B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Bryan Abreu,FREEAGENT,31.01,26.19,Hou,RP,"P,RP,BE,IL",ACTIVE
Ben Brown,FREEAGENT,29.95,2.77,ChC,SP,"P,SP,RP,BE,IL",FIFTEEN_DAY_DL
Jake Bennett,FREEAGENT,29.44,16.69,Bos,SP,"P,SP,BE,IL",ACTIVE
Jakob Marsee,FREEAGENT,29.15,15.49,Mia,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Brayan Rocchio,FREEAGENT,29.13,23.8,Cle,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Kris Bubic,FREEAGENT,28.58,8.25,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Sal Frelick,FREEAGENT,27.29,13.63,Mil,RF,"RF,OF,UTIL,BE,IL",ACTIVE
Ryan Jeffers,FREEAGENT,27.12,3.29,Min,C,"C,DH,UTIL,BE,IL",ACTIVE
Gregory Soto,FREEAGENT,26.28,24.7,Pit,RP,"P,RP,BE,IL",ACTIVE
Seth Lugo,FREEAGENT,23.23,13.16,KC,SP,"P,SP,BE,IL",ACTIVE
Ezequiel Duran,FREEAGENT,23.07,18.31,Tex,SS,"1B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL,OF,2B,LF,3B,RF",ACTIVE
J.T. Ginn,FREEAGENT,21.92,14.02,Oak,SP,"P,SP,BE,IL",ACTIVE
Esmerlyn Valdez,FREEAGENT,21.18,18.74,Pit,RF,"RF,OF,DH,UTIL,BE,IL",ACTIVE
Andre Pallante,FREEAGENT,20.85,13.36,StL,SP,"P,SP,BE,IL",ACTIVE
Merrill Kelly,FREEAGENT,20.82,10.96,Ari,SP,"P,SP,BE,IL",ACTIVE
Bubba Chandler,FREEAGENT,20.46,13.94,Pit,SP,"P,SP,BE,IL",ACTIVE
Brandon Young,FREEAGENT,20.05,18.36,Bal,SP,"P,SP,BE,IL",ACTIVE
Carlos Estevez,FREEAGENT,19.96,9.59,KC,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Spencer Torkelson,FREEAGENT,19.83,12.35,Det,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Shane Bieber,FREEAGENT,18.58,10.73,Tor,SP,"P,SP,BE,IL",ACTIVE
Alec Bohm,FREEAGENT,18.03,13.08,Phi,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
