Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Bryan Woo,FREEAGENT,95.78,75.46,Sea,SP,"P,SP,BE,IL",ACTIVE
Aaron Judge,FREEAGENT,91.19,39.89,NYY,RF,"RF,OF,DH,UTIL,BE,IL",TEN_DAY_DL
Bo Bichette,FREEAGENT,75.71,62.44,NYM,SS,"SS,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Adley Rutschman,FREEAGENT,69.58,52.34,Bos,C,"C,UTIL,BE,IL,DH",ACTIVE
Ian Happ,FREEAGENT,69.27,57.33,ChC,LF,"LF,OF,UTIL,BE,IL",ACTIVE
Robbie Ray,FREEAGENT,65.31,54.09,SD,SP,"P,SP,BE,IL",ACTIVE
Austin Riley,FREEAGENT,58.23,46.48,Atl,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Trevor Rogers,FREEAGENT,56.46,33.56,Bal,SP,"P,SP,BE,IL",ACTIVE
Kyle Bradish,FREEAGENT,55.73,41.01,Bal,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Edwin Diaz,FREEAGENT,49.38,30.44,LAD,RP,"P,RP,BE,IL",ACTIVE
Jung Hoo Lee,FREEAGENT,46.37,27.59,SF,CF,"CF,OF,UTIL,BE,IL,RF",TEN_DAY_DL
Vinnie Pasquantino,FREEAGENT,46.16,33.48,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Gleyber Torres,FREEAGENT,45.92,34.56,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL,DH",ACTIVE
Kenley Jansen,FREEAGENT,44.58,37.93,Det,RP,"P,RP,BE,IL",ACTIVE
Cole Ragans,FREEAGENT,44.53,30.41,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Abner Uribe,FREEAGENT,44.23,35.56,Mil,RP,"P,RP,BE,IL",ACTIVE
Willy Adames,FREEAGENT,43.77,25.34,SF,SS,"SS,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Emmet Sheehan,FREEAGENT,43.43,32.08,LAD,SP,"P,SP,BE,IL",ACTIVE
Tyler Mahle,FREEAGENT,43.08,18.11,Atl,SP,"P,SP,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,41.67,36.29,Min,RP,"P,RP,BE,IL",ACTIVE
Alejandro Kirk,FREEAGENT,41.25,24.83,Tor,C,"C,UTIL,BE,IL",ACTIVE
Yainer Diaz,FREEAGENT,41.2,30.7,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
