Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Bryan Woo,FREEAGENT,92.76,77.97,Sea,SP,"P,SP,BE,IL",ACTIVE
Aaron Judge,FREEAGENT,90.24,38.82,NYY,RF,"RF,OF,DH,UTIL,BE,IL",TEN_DAY_DL
Bo Bichette,FREEAGENT,75.57,62.26,NYM,SS,"SS,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Ian Happ,FREEAGENT,69.87,57.91,ChC,LF,"LF,OF,UTIL,BE,IL",ACTIVE
Adley Rutschman,FREEAGENT,69.74,53.12,Bos,C,"C,UTIL,BE,IL,DH",ACTIVE
Trevor Rogers,FREEAGENT,63.21,48.95,Bal,SP,"P,SP,BE,IL",ACTIVE
Robbie Ray,FREEAGENT,61.84,49.75,SD,SP,"P,SP,BE,IL",ACTIVE
Austin Riley,FREEAGENT,58.24,46.93,Atl,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Kyle Bradish,FREEAGENT,55.52,40.82,Bal,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Vinnie Pasquantino,FREEAGENT,50.83,37.75,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Edwin Diaz,FREEAGENT,50.21,31.72,LAD,RP,"P,RP,BE,IL",ACTIVE
Jung Hoo Lee,FREEAGENT,45.45,25.95,SF,CF,"CF,OF,UTIL,BE,IL,RF",TEN_DAY_DL
Abner Uribe,FREEAGENT,45.41,36.6,Mil,RP,"P,RP,BE,IL",ACTIVE
Gleyber Torres,FREEAGENT,45.39,33.47,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL,DH",ACTIVE
Cole Ragans,FREEAGENT,44.47,30.38,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Kenley Jansen,FREEAGENT,44.25,37.03,Det,RP,"P,RP,BE,IL",ACTIVE
Willy Adames,FREEAGENT,43.66,25.27,SF,SS,"SS,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Yainer Diaz,FREEAGENT,43.03,32.47,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Emmet Sheehan,FREEAGENT,42.83,31.88,LAD,SP,"P,SP,BE,IL",ACTIVE
