Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Jung Hoo Lee,FREEAGENT,61.67,48.1,SF,CF,"CF,OF,UTIL,BE,IL,RF",ACTIVE
Trevor Rogers,FREEAGENT,53.81,29.46,Bal,SP,"P,SP,BE,IL",ACTIVE
Emilio Pagan,FREEAGENT,53.0,43.91,Cin,RP,"P,RP,BE,IL",ACTIVE
Nick Pivetta,FREEAGENT,52.21,24.91,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Gleyber Torres,FREEAGENT,47.67,35.08,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL,DH",ACTIVE
Cole Ragans,FREEAGENT,46.85,31.27,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Luke Keaschall,FREEAGENT,45.28,37.09,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF,CF",ACTIVE
Bryson Stott,FREEAGENT,44.94,32.53,Phi,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Caleb Durbin,FREEAGENT,44.81,31.01,Bos,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Brandon Woodruff,FREEAGENT,43.72,25.38,Mil,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Yainer Diaz,FREEAGENT,42.72,31.56,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Brent Rooker,FREEAGENT,42.22,25.47,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Pete Fairbanks,FREEAGENT,41.58,33.51,Mia,RP,"P,RP,BE,IL",ACTIVE
Nick Lodolo,FREEAGENT,41.29,18.91,Cin,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Vinnie Pasquantino,FREEAGENT,40.89,20.63,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",TEN_DAY_DL
Jeff Hoffman,FREEAGENT,39.55,34.24,Min,RP,"P,RP,BE,IL",ACTIVE
Brooks Lee,FREEAGENT,38.65,30.41,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Robert Suarez,FREEAGENT,38.37,14.59,Atl,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Kenley Jansen,FREEAGENT,37.52,30.64,Det,RP,"P,RP,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,36.15,15.08,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Marcus Semien,FREEAGENT,35.69,23.5,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Ryan Helsley,FREEAGENT,34.56,15.9,Bal,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Casey Schmitt,FREEAGENT,34.54,9.32,SF,2B,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,DH,1B,LF,OF",TEN_DAY_DL
Zac Gallen,FREEAGENT,34.51,23.53,Ari,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Alejandro Kirk,FREEAGENT,33.31,17.68,Tor,C,"C,UTIL,BE,IL",ACTIVE
Jo Adell,FREEAGENT,32.87,21.65,Cle,CF,"CF,RF,OF,UTIL,BE,IL",ACTIVE
Agustin Ramirez,FREEAGENT,32.72,25.49,Mia,C,"C,DH,UTIL,BE,IL",ACTIVE
Bryan Abreu,FREEAGENT,31.81,27.1,Hou,RP,"P,RP,BE,IL",ACTIVE
Daniel Palencia,FREEAGENT,31.42,13.24,ChC,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Jack Flaherty,FREEAGENT,31.17,16.14,Det,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Ryan Pepiot,FREEAGENT,31.07,18.64,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Ildemaro Vargas,FREEAGENT,26.12,18.62,Ari,2B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Jakob Marsee,FREEAGENT,26.04,13.09,Mia,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Joey Cantillo,FREEAGENT,25.8,23.12,Cle,RP,"P,SP,RP,BE,IL",ACTIVE
Kody Clemens,FREEAGENT,24.68,20.99,Min,1B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL,OF,LF,RF",ACTIVE
Carson Benge,FREEAGENT,24.57,17.59,NYM,CF,"LF,CF,RF,OF,UTIL,BE,IL",ACTIVE
Brayan Rocchio,FREEAGENT,24.36,17.83,Cle,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Sal Frelick,FREEAGENT,24.19,7.32,Mil,RF,"RF,OF,UTIL,BE,IL",TEN_DAY_DL
Kris Bubic,FREEAGENT,23.88,7.59,LAD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Royce Lewis,FREEAGENT,23.82,18.67,Min,3B,"3B,1B/3B,IF,UTIL,BE,IL,1B,2B,2B/SS",ACTIVE
Nick Gonzales,FREEAGENT,23.49,20.15,Pit,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Seth Lugo,FREEAGENT,23.09,14.47,KC,SP,"P,SP,BE,IL",ACTIVE
Gregory Soto,FREEAGENT,22.35,20.53,Pit,RP,"P,RP,BE,IL",ACTIVE
Josh Jung,FREEAGENT,21.89,5.03,Tex,3B,"3B,1B/3B,IF,UTIL,BE,IL",TEN_DAY_DL
Spencer Torkelson,FREEAGENT,21.8,14.2,Det,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Ben Brown,FREEAGENT,21.68,1.68,ChC,SP,"P,SP,RP,BE,IL",SIXTY_DAY_DL
Merrill Kelly,FREEAGENT,21.26,10.57,Ari,SP,"P,SP,BE,IL",DAY_TO_DAY
Kyle Leahy,FREEAGENT,21.17,14.68,StL,RP,"P,RP,BE,IL,SP",ACTIVE
Shane Bieber,FREEAGENT,19.76,12.11,Tor,SP,"P,SP,BE,IL",ACTIVE
J.T. Ginn,FREEAGENT,19.12,14.44,Oak,SP,"P,SP,BE,IL",ACTIVE
Carlos Estevez,FREEAGENT,17.95,9.23,KC,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Brandon Young,FREEAGENT,17.79,9.73,Bal,SP,"P,SP,BE,IL",ACTIVE
Alec Bohm,FREEAGENT,17.78,12.72,Phi,3B,"3B,1B/3B,IF,UTIL,BE,IL,1B",ACTIVE
Keider Montero,FREEAGENT,17.21,13.44,Det,SP,"P,SP,RP,BE,IL",ACTIVE
Nolan Arenado,FREEAGENT,17.12,13.39,Ari,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
J.T. Realmuto,FREEAGENT,16.82,11.87,Phi,C,"C,UTIL,BE,IL",ACTIVE
Andre Pallante,FREEAGENT,16.19,7.33,StL,SP,"P,SP,BE,IL",ACTIVE
Tatsuya Imai,FREEAGENT,15.56,8.65,Hou,SP,"P,SP,BE,IL",ACTIVE
Zack Gelof,FREEAGENT,15.1,1.17,Oak,2B,"2B,2B/SS,IF,UTIL,BE,IL,OF,CF,3B,1B/3B",TEN_DAY_DL
Brandon Pfaadt,FREEAGENT,15.09,10.82,Ari,SP,"P,SP,BE,IL,RP",ACTIVE
Tommy Edman,FREEAGENT,15.01,11.66,LAD,2B,"2B,2B/SS,IF,CF,OF,UTIL,BE,IL,LF",ACTIVE
Aaron Ashby,FREEAGENT,14.51,13.56,Mil,RP,"P,RP,BE,IL",ACTIVE
Adrian Morejon,FREEAGENT,13.88,12.6,SD,RP,"P,RP,BE,IL",ACTIVE
Luis Robert Jr.,FREEAGENT,13.28,6.45,NYM,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Josh Bell,FREEAGENT,13.02,9.42,Min,DH,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Randy Vasquez,FREEAGENT,12.89,10.15,SD,SP,"P,SP,BE,IL",ACTIVE
Heliot Ramos,FREEAGENT,12.39,6.99,NYY,LF,"LF,OF,UTIL,BE,IL",ACTIVE
Brady Singer,FREEAGENT,11.4,9.38,Cin,SP,"P,SP,BE,IL",ACTIVE
Angel Martinez,FREEAGENT,11.16,5.65,Cle,CF,"2B,2B/SS,IF,CF,OF,UTIL,BE,IL,LF,RF",ACTIVE
Keibert Ruiz,FREEAGENT,10.91,8.33,Wsh,C,"C,UTIL,BE,IL",ACTIVE
Jack Leiter,FREEAGENT,10.82,4.29,Tex,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Chase Meidroth,FREEAGENT,10.69,6.21,ChW,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",DAY_TO_DAY
Seranthony Dominguez,FREEAGENT,10.42,8.57,Sea,RP,"P,RP,BE,IL",ACTIVE
Jason Adam,FREEAGENT,10.03,5.15,SD,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Trevor Story,FREEAGENT,9.81,3.58,Bos,SS,"SS,2B/SS,IF,UTIL,BE,IL",SIXTY_DAY_DL
Lawrence Butler,FREEAGENT,9.77,5.36,Oak,RF,"CF,RF,OF,UTIL,BE,IL",ACTIVE
A.J. Ewing,FREEAGENT,9.75,8.05,NYM,CF,"CF,OF,UTIL,BE,IL,LF",ACTIVE
Rico Garcia,FREEAGENT,9.73,9.07,Bal,RP,"P,RP,BE,IL",ACTIVE
Nasim Nunez,FREEAGENT,9.3,7.1,Wsh,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Alex Vesia,FREEAGENT,9.26,8.46,LAD,RP,"P,RP,BE,IL",ACTIVE
Ryan Walker,FREEAGENT,9.18,6.6,SF,RP,"P,RP,BE,IL",ACTIVE
Dalton Rushing,FREEAGENT,9.16,3.85,LAD,C,"C,UTIL,BE,IL",TEN_DAY_DL
Daulton Varsho,FREEAGENT,9.07,6.07,Hou,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Gavin Sheets,FREEAGENT,9.06,6.58,SD,LF,"LF,OF,DH,UTIL,BE,IL,1B,1B/3B,IF",ACTIVE
Jake Burger,FREEAGENT,8.99,6.42,Tex,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Andruw Monasterio,FREEAGENT,8.91,6.75,Bos,SS,"SS,2B/SS,IF,UTIL,BE,IL,DH,2B",ACTIVE
