Team,Wins,Losses,Ties
Jazz Hands,8,8,2
Shitty Mike,9,7,2
Jobu's Rum Runners,6,10,2
Mookie Monstahs,11,4,3
Master Bader,8,8,2
Houck Tuah,11,7,0
George Clooneys,9,8,1
Team Quinn,5,10,3
Mayor of Titty-City,7,10,1
yahtzee BEEZNUTZ,7,9,2
