Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Nick Pivetta,FREEAGENT,54.2,25.31,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Cole Ragans,FREEAGENT,49.12,31.97,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Trevor Rogers,FREEAGENT,48.48,27.39,Bal,SP,"P,SP,BE,IL",ACTIVE
Emilio Pagan,FREEAGENT,48.03,39.17,Cin,RP,"P,RP,BE,IL",ACTIVE
Gleyber Torres,FREEAGENT,46.54,31.81,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Brent Rooker,FREEAGENT,44.68,26.28,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Luke Keaschall,FREEAGENT,44.43,33.52,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF,CF",ACTIVE
Nick Lodolo,FREEAGENT,41.77,19.8,Cin,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Robert Suarez,FREEAGENT,41.01,15.76,Atl,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Yainer Diaz,FREEAGENT,40.54,29.55,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Brooks Lee,FREEAGENT,40.5,28.47,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,39.24,34.04,Tor,RP,"P,RP,BE,IL",ACTIVE
Bryce Elder,FREEAGENT,39.07,27.9,Atl,SP,"P,SP,BE,IL",ACTIVE
Pete Fairbanks,FREEAGENT,38.81,31.2,Mia,RP,"P,RP,BE,IL",ACTIVE
Bryson Stott,FREEAGENT,38.66,26.9,Phi,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,38.65,11.82,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",TEN_DAY_DL
Kenley Jansen,FREEAGENT,37.73,31.27,Det,RP,"P,RP,BE,IL",ACTIVE
Caleb Durbin,FREEAGENT,35.82,27.92,Bos,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Marcus Semien,FREEAGENT,35.43,22.19,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Jo Adell,FREEAGENT,33.77,23.82,LAA,CF,"CF,RF,OF,UTIL,BE,IL",ACTIVE
Jack Flaherty,FREEAGENT,33.47,18.32,Det,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Konnor Griffin,FREEAGENT,33.41,5.12,Pit,SS,"SS,2B/SS,IF,UTIL,BE,IL",SIXTY_DAY_DL
Agustin Ramirez,FREEAGENT,33.0,25.7,Mia,C,"C,DH,UTIL,BE,IL",ACTIVE
Alejandro Kirk,FREEAGENT,32.92,16.94,Tor,C,"C,UTIL,BE,IL",ACTIVE
