Team,Wins,Losses,Ties
Jazz Hands,10,9,2
Shitty Mike,10,8,3
Jobu's Rum Runners,7,12,2
Mookie Monstahs,12,5,4
Master Bader,8,11,2
Houck Tuah,13,8,0
George Clooneys,12,8,1
Team Quinn,6,12,3
Mayor of Titty-City,8,12,1
yahtzee BEEZNUTZ,9,10,2
