Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Nick Pivetta,FREEAGENT,54.72,25.33,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Willy Adames,FREEAGENT,51.48,38.27,SF,SS,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Cole Ragans,FREEAGENT,50.6,32.03,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Gleyber Torres,FREEAGENT,47.49,27.78,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Trevor Rogers,FREEAGENT,46.74,25.23,Bal,SP,"P,SP,BE,IL",ACTIVE
Emilio Pagan,FREEAGENT,46.52,36.86,Cin,RP,"P,RP,BE,IL",ACTIVE
Brent Rooker,FREEAGENT,46.2,26.39,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Luke Keaschall,FREEAGENT,45.41,34.81,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF",ACTIVE
Brooks Lee,FREEAGENT,42.14,35.17,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Yainer Diaz,FREEAGENT,41.21,29.26,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Jack Flaherty,FREEAGENT,40.61,28.07,Det,SP,"P,SP,BE,IL",ACTIVE
Pete Fairbanks,FREEAGENT,40.32,32.6,Mia,RP,"P,RP,BE,IL",ACTIVE
Bryce Elder,FREEAGENT,40.23,30.05,Atl,SP,"P,SP,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,40.21,34.91,Tor,RP,"P,RP,BE,IL",ACTIVE
Bryson Stott,FREEAGENT,39.73,26.99,Phi,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,39.49,11.8,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",TEN_DAY_DL
Isaac Paredes,FREEAGENT,38.08,31.19,Hou,3B,"3B,1B/3B,IF,UTIL,BE,IL,1B",ACTIVE
Kenley Jansen,FREEAGENT,37.5,30.82,Det,RP,"P,RP,BE,IL",ACTIVE
Marcus Semien,FREEAGENT,36.17,21.52,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Caleb Durbin,FREEAGENT,35.51,27.34,Bos,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Konnor Griffin,FREEAGENT,35.2,5.48,Pit,SS,"SS,2B/SS,IF,UTIL,BE,IL",SIXTY_DAY_DL
Jo Adell,FREEAGENT,33.62,21.7,LAA,CF,"CF,RF,OF,UTIL,BE,IL",ACTIVE
Agustin Ramirez,FREEAGENT,33.43,25.85,Mia,C,"C,DH,UTIL,BE,IL",ACTIVE
Alejandro Kirk,FREEAGENT,32.49,15.51,Tor,C,"C,UTIL,BE,IL",ACTIVE
Daniel Palencia,FREEAGENT,32.35,13.94,ChC,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Ryan Jeffers,FREEAGENT,32.15,19.44,Min,C,"C,DH,UTIL,BE,IL",ACTIVE
Ryan Pepiot,FREEAGENT,32.1,19.02,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Brayan Rocchio,FREEAGENT,31.47,25.98,Cle,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Bryan Abreu,FREEAGENT,30.64,26.03,Hou,RP,"P,RP,BE,IL",ACTIVE
Ildemaro Vargas,FREEAGENT,28.57,19.83,Ari,2B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Jakob Marsee,FREEAGENT,28.27,14.31,Mia,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Ben Brown,FREEAGENT,27.61,2.29,ChC,SP,"P,SP,RP,BE,IL",FIFTEEN_DAY_DL
