Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Bo Bichette,FREEAGENT,73.68,60.13,NYM,SS,"SS,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Emilio Pagan,FREEAGENT,54.03,45.62,Cin,RP,"P,RP,BE,IL",ACTIVE
Nick Pivetta,FREEAGENT,51.71,24.73,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Trevor Rogers,FREEAGENT,49.35,26.52,Bal,SP,"P,SP,BE,IL",ACTIVE
Gleyber Torres,FREEAGENT,47.5,36.18,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL,DH",ACTIVE
Cole Ragans,FREEAGENT,46.24,31.07,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Luke Keaschall,FREEAGENT,45.83,33.31,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF,CF",ACTIVE
Pete Fairbanks,FREEAGENT,43.54,35.76,Mia,RP,"P,RP,BE,IL",ACTIVE
Brandon Woodruff,FREEAGENT,42.83,25.23,Mil,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Bryce Elder,FREEAGENT,42.72,27.52,Atl,SP,"P,SP,BE,IL",ACTIVE
Yainer Diaz,FREEAGENT,41.69,30.42,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Nick Lodolo,FREEAGENT,41.61,21.89,Cin,SP,"P,SP,BE,IL",ACTIVE
Brent Rooker,FREEAGENT,41.59,25.22,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Vinnie Pasquantino,FREEAGENT,40.6,20.24,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",TEN_DAY_DL
Brooks Lee,FREEAGENT,39.98,23.79,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Michael Busch,FREEAGENT,39.83,29.6,ChC,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,39.35,31.73,Min,RP,"P,RP,BE,IL",ACTIVE
Kenley Jansen,FREEAGENT,38.5,31.85,Det,RP,"P,RP,BE,IL",ACTIVE
Robert Suarez,FREEAGENT,37.59,14.36,Atl,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Marcus Semien,FREEAGENT,35.47,23.53,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,34.92,16.74,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Ryan Helsley,FREEAGENT,34.19,15.86,Bal,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Zac Gallen,FREEAGENT,33.96,23.12,Ari,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Alejandro Kirk,FREEAGENT,33.69,18.42,Tor,C,"C,UTIL,BE,IL",ACTIVE
Jo Adell,FREEAGENT,32.87,21.06,Cle,CF,"CF,RF,OF,UTIL,BE,IL,LF",ACTIVE
Agustin Ramirez,FREEAGENT,32.82,25.62,Mia,C,"C,DH,UTIL,BE,IL",ACTIVE
Bryan Abreu,FREEAGENT,32.57,27.97,Hou,RP,"P,RP,BE,IL",ACTIVE
Daniel Palencia,FREEAGENT,31.64,13.56,ChC,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Casey Schmitt,FREEAGENT,31.26,8.42,SF,2B,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,DH,1B,LF,OF",TEN_DAY_DL
Ryan Pepiot,FREEAGENT,30.89,18.58,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Jack Flaherty,FREEAGENT,30.82,15.96,Det,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Hunter Greene,FREEAGENT,30.15,11.27,Cin,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Carson Benge,FREEAGENT,28.01,24.72,NYM,CF,"LF,CF,RF,OF,UTIL,BE,IL",ACTIVE
Jakob Marsee,FREEAGENT,26.21,13.83,Mia,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Ildemaro Vargas,FREEAGENT,25.15,18.43,Ari,2B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Seth Lugo,FREEAGENT,25.15,19.79,KC,SP,"P,SP,BE,IL",ACTIVE
Sal Frelick,FREEAGENT,23.98,7.14,Mil,RF,"RF,OF,UTIL,BE,IL",TEN_DAY_DL
Joey Cantillo,FREEAGENT,23.35,18.09,Cle,RP,"P,SP,RP,BE,IL",ACTIVE
Kris Bubic,FREEAGENT,23.2,7.48,LAD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Kody Clemens,FREEAGENT,23.04,13.51,Min,1B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL,OF,LF,RF",ACTIVE
Spencer Torkelson,FREEAGENT,22.97,16.14,Det,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
