Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Jung Hoo Lee,FREEAGENT,60.13,42.38,SF,CF,"CF,OF,UTIL,BE,IL,RF",ACTIVE
Nick Pivetta,FREEAGENT,52.89,25.19,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Emilio Pagan,FREEAGENT,51.61,43.42,Cin,RP,"P,RP,BE,IL",ACTIVE
Trevor Rogers,FREEAGENT,50.35,36.3,Bal,SP,"P,SP,BE,IL",ACTIVE
Gleyber Torres,FREEAGENT,47.65,35.86,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL,DH",ACTIVE
Cole Ragans,FREEAGENT,47.38,31.69,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Luke Keaschall,FREEAGENT,45.08,36.87,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF,CF",ACTIVE
Brandon Woodruff,FREEAGENT,44.67,25.71,Mil,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Yainer Diaz,FREEAGENT,43.32,31.46,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Bryce Elder,FREEAGENT,43.2,35.34,Atl,SP,"P,SP,BE,IL",ACTIVE
Brent Rooker,FREEAGENT,42.81,25.95,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Vinnie Pasquantino,FREEAGENT,41.26,21.45,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",TEN_DAY_DL
Pete Fairbanks,FREEAGENT,41.07,33.57,Mia,RP,"P,RP,BE,IL",ACTIVE
Nick Lodolo,FREEAGENT,40.98,19.34,Cin,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Bryson Stott,FREEAGENT,40.78,29.96,Phi,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Brooks Lee,FREEAGENT,40.47,34.91,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,39.95,34.79,Min,RP,"P,RP,BE,IL",ACTIVE
Robert Suarez,FREEAGENT,39.18,15.21,Atl,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Caleb Durbin,FREEAGENT,38.89,31.45,Bos,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Casey Schmitt,FREEAGENT,37.76,10.74,SF,2B,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,DH,1B,LF,OF",TEN_DAY_DL
Brendan Donovan,FREEAGENT,37.65,16.56,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Kenley Jansen,FREEAGENT,37.53,31.08,Det,RP,"P,RP,BE,IL",ACTIVE
Zac Gallen,FREEAGENT,35.11,24.27,Ari,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Marcus Semien,FREEAGENT,35.07,23.26,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Ryan Helsley,FREEAGENT,34.8,16.1,Bal,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Jo Adell,FREEAGENT,33.61,24.05,Cle,CF,"CF,RF,OF,UTIL,BE,IL",ACTIVE
Agustin Ramirez,FREEAGENT,32.86,25.95,Mia,C,"C,DH,UTIL,BE,IL",ACTIVE
Alejandro Kirk,FREEAGENT,32.59,17.29,Tor,C,"C,UTIL,BE,IL",ACTIVE
Jack Flaherty,FREEAGENT,31.55,16.69,Det,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Konnor Griffin,FREEAGENT,31.42,4.8,Pit,SS,"SS,2B/SS,IF,UTIL,BE,IL",SIXTY_DAY_DL
Ryan Pepiot,FREEAGENT,31.26,18.71,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Daniel Palencia,FREEAGENT,31.23,13.48,ChC,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Bryan Abreu,FREEAGENT,31.12,25.51,Hou,RP,"P,RP,BE,IL",ACTIVE
Brandon Young,FREEAGENT,27.5,24.23,Bal,SP,"P,SP,BE,IL",ACTIVE
Ildemaro Vargas,FREEAGENT,26.74,20.88,Ari,2B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Kody Clemens,FREEAGENT,26.41,24.23,Min,1B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL,OF,LF,RF",ACTIVE
Jakob Marsee,FREEAGENT,26.09,13.51,Mia,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Brayan Rocchio,FREEAGENT,25.85,20.87,Cle,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Nick Gonzales,FREEAGENT,25.06,22.77,Pit,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Kris Bubic,FREEAGENT,24.42,7.67,LAD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Joey Cantillo,FREEAGENT,24.39,20.62,Cle,RP,"P,SP,RP,BE,IL",ACTIVE
Sal Frelick,FREEAGENT,24.36,7.79,Mil,RF,"RF,OF,UTIL,BE,IL",TEN_DAY_DL
Gregory Soto,FREEAGENT,23.55,22.36,Pit,RP,"P,RP,BE,IL",ACTIVE
Seth Lugo,FREEAGENT,23.3,14.48,KC,SP,"P,SP,BE,IL",ACTIVE
Ben Brown,FREEAGENT,22.79,1.86,ChC,SP,"P,SP,RP,BE,IL",SIXTY_DAY_DL
Josh Jung,FREEAGENT,22.56,5.32,Tex,3B,"3B,1B/3B,IF,UTIL,BE,IL",TEN_DAY_DL
Spencer Torkelson,FREEAGENT,22.44,15.8,Det,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Merrill Kelly,FREEAGENT,22.34,12.07,Ari,SP,"P,SP,BE,IL",ACTIVE
Carson Benge,FREEAGENT,21.55,19.06,NYM,CF,"LF,CF,RF,OF,UTIL,BE,IL",ACTIVE
Shane Bieber,FREEAGENT,18.99,8.41,Tor,SP,"P,SP,BE,IL",ACTIVE
Kyle Leahy,FREEAGENT,18.95,9.97,StL,RP,"P,RP,BE,IL,SP",ACTIVE
Carlos Estevez,FREEAGENT,18.09,9.31,KC,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Alec Bohm,FREEAGENT,17.97,13.73,Phi,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Keider Montero,FREEAGENT,17.59,13.52,Det,SP,"P,SP,RP,BE,IL",ACTIVE
J.T. Ginn,FREEAGENT,17.45,9.39,Oak,SP,"P,SP,BE,IL",ACTIVE
Nolan Arenado,FREEAGENT,17.01,13.77,Ari,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Andre Pallante,FREEAGENT,16.75,10.69,StL,SP,"P,SP,BE,IL",ACTIVE
J.T. Realmuto,FREEAGENT,16.72,12.17,Phi,C,"C,UTIL,BE,IL",ACTIVE
Tommy Edman,FREEAGENT,16.28,11.49,LAD,2B,"2B,2B/SS,IF,CF,OF,UTIL,BE,IL,LF",ACTIVE
Tatsuya Imai,FREEAGENT,15.85,7.92,Hou,SP,"P,SP,BE,IL",ACTIVE
Zack Gelof,FREEAGENT,15.01,1.35,Oak,2B,"2B,2B/SS,IF,UTIL,BE,IL,OF,CF,3B,1B/3B",TEN_DAY_DL
Aaron Ashby,FREEAGENT,14.49,13.74,Mil,RP,"P,RP,BE,IL",ACTIVE
