Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Bo Bichette,FREEAGENT,77.47,64.81,NYM,SS,"SS,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Adley Rutschman,FREEAGENT,70.03,50.61,Bos,C,"C,UTIL,BE,IL,DH",ACTIVE
Ian Happ,FREEAGENT,69.79,56.61,ChC,LF,"LF,OF,UTIL,BE,IL",ACTIVE
Austin Riley,FREEAGENT,59.61,48.79,Atl,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Jung Hoo Lee,FREEAGENT,51.87,36.77,SF,CF,"CF,OF,UTIL,BE,IL,RF",ACTIVE
Edwin Diaz,FREEAGENT,51.0,25.44,LAD,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Gleyber Torres,FREEAGENT,46.95,35.91,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL,DH",ACTIVE
Vinnie Pasquantino,FREEAGENT,45.19,32.73,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Cole Ragans,FREEAGENT,44.51,30.26,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Willy Adames,FREEAGENT,44.02,25.55,SF,SS,"SS,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Alejandro Kirk,FREEAGENT,40.96,25.39,Tor,C,"C,UTIL,BE,IL",ACTIVE
Yainer Diaz,FREEAGENT,40.5,29.86,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Will Warren,FREEAGENT,40.2,31.18,NYY,SP,"P,SP,BE,IL",ACTIVE
Brandon Woodruff,FREEAGENT,40.08,24.49,Mil,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Emmet Sheehan,FREEAGENT,39.74,28.17,LAD,SP,"P,SP,BE,IL",ACTIVE
Brent Rooker,FREEAGENT,39.69,24.04,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Kenley Jansen,FREEAGENT,39.5,32.96,Det,RP,"P,RP,BE,IL",ACTIVE
Michael Busch,FREEAGENT,38.35,27.59,ChC,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Nick Lodolo,FREEAGENT,38.33,22.07,Cin,SP,"P,SP,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,38.26,33.12,Min,RP,"P,RP,BE,IL",ACTIVE
Jonathan Aranda,FREEAGENT,37.87,30.71,TB,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Pete Fairbanks,FREEAGENT,37.25,25.23,Mia,RP,"P,RP,BE,IL",ACTIVE
Tyler Mahle,FREEAGENT,36.17,31.26,Atl,SP,"P,SP,BE,IL",ACTIVE
Marcus Semien,FREEAGENT,34.58,23.28,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Bryan Abreu,FREEAGENT,34.47,29.82,Hou,RP,"P,RP,BE,IL",ACTIVE
Robert Suarez,FREEAGENT,33.04,13.06,Atl,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Brendan Donovan,FREEAGENT,32.75,12.1,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",SEVEN_DAY_DL
Zac Gallen,FREEAGENT,32.73,22.44,Ari,SP,"P,SP,BE,IL",ACTIVE
Ryan Helsley,FREEAGENT,32.57,15.29,Bal,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Dansby Swanson,FREEAGENT,31.69,9.68,ChC,SS,"SS,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Carson Benge,FREEAGENT,31.35,26.74,NYM,CF,"LF,CF,RF,OF,UTIL,BE,IL",ACTIVE
Michael Soroka,FREEAGENT,31.16,10.47,Ari,SP,"P,SP,BE,IL",ACTIVE
Davis Martin,FREEAGENT,30.79,17.13,ChW,SP,"P,SP,BE,IL",ACTIVE
Cal Quantrill,FREEAGENT,30.53,19.15,Tex,SP,"P,SP,BE,IL,RP",ACTIVE
Ryan Pepiot,FREEAGENT,30.28,18.25,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Jack Flaherty,FREEAGENT,29.44,14.99,Det,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Alec Bohm,FREEAGENT,27.37,21.14,Phi,3B,"3B,1B/3B,IF,UTIL,BE,IL,1B",ACTIVE
Jakob Marsee,FREEAGENT,26.79,14.48,Mia,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Daniel Palencia,FREEAGENT,26.77,17.26,ChC,RP,"P,RP,BE,IL",ACTIVE
Ryan Weathers,FREEAGENT,25.96,7.03,NYY,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Kyle Leahy,FREEAGENT,25.83,22.53,StL,RP,"P,RP,BE,IL,SP",ACTIVE
Jose Caballero,FREEAGENT,24.7,16.91,NYY,RF,"2B,3B,SS,2B/SS,1B/3B,IF,RF,OF,UTIL,BE,IL",ACTIVE
Javier Sanoja,FREEAGENT,24.67,22.36,Mia,LF,"2B,3B,2B/SS,1B/3B,IF,LF,OF,UTIL,P,RP,BE,IL,RF,SS",ACTIVE
Ildemaro Vargas,FREEAGENT,23.53,16.99,Ari,2B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Hunter Greene,FREEAGENT,23.3,9.76,Cin,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Sal Frelick,FREEAGENT,23.07,8.48,Mil,RF,"RF,OF,UTIL,BE,IL",ACTIVE
Merrill Kelly,FREEAGENT,22.69,12.38,Ari,SP,"P,SP,BE,IL",ACTIVE
Brayan Rocchio,FREEAGENT,22.06,17.35,Cle,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Seth Lugo,FREEAGENT,21.82,13.85,KC,SP,"P,SP,BE,IL",ACTIVE
Kris Bubic,FREEAGENT,21.16,7.17,LAD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
JJ Bleday,FREEAGENT,20.9,16.94,Cin,CF,"CF,RF,OF,UTIL,BE,IL,LF",ACTIVE
Sam Antonacci,FREEAGENT,20.87,16.78,ChW,2B,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,LF,OF",ACTIVE
Trent Grisham,FREEAGENT,20.14,8.7,NYY,CF,"CF,OF,UTIL,BE,IL",TEN_DAY_DL
Casey Schmitt,FREEAGENT,19.96,6.07,SF,2B,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,DH,1B,LF,OF",SIXTY_DAY_DL
Josh Bell,FREEAGENT,19.77,16.09,Min,DH,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Gregory Soto,FREEAGENT,19.45,18.13,Pit,RP,"P,RP,BE,IL",ACTIVE
Spencer Torkelson,FREEAGENT,18.89,10.73,Det,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Edward Cabrera,FREEAGENT,18.21,7.84,ChC,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Josh Jung,FREEAGENT,18.2,3.83,Tex,3B,"3B,1B/3B,IF,UTIL,BE,IL",TEN_DAY_DL
Nolan Arenado,FREEAGENT,17.43,13.45,Ari,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Carlos Estevez,FREEAGENT,16.43,9.0,KC,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Michael McGreevy,FREEAGENT,16.42,9.35,StL,SP,"P,SP,BE,IL",ACTIVE
Dylan Lee,FREEAGENT,16.39,15.49,Atl,RP,"P,RP,BE,IL",ACTIVE
Aaron Ashby,FREEAGENT,16.18,15.25,Mil,RP,"P,RP,BE,IL",ACTIVE
