Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Bo Bichette,FREEAGENT,75.39,62.43,NYM,SS,"SS,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Nick Pivetta,FREEAGENT,50.74,24.58,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Gleyber Torres,FREEAGENT,49.77,38.9,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL,DH",ACTIVE
Trevor Rogers,FREEAGENT,48.9,29.3,Bal,SP,"P,SP,BE,IL",ACTIVE
Luke Keaschall,FREEAGENT,47.04,39.31,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF,CF",ACTIVE
Willy Adames,FREEAGENT,47.01,30.56,SF,SS,"SS,2B/SS,IF,UTIL,BE,IL",DAY_TO_DAY
Cole Ragans,FREEAGENT,45.76,30.78,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Pete Fairbanks,FREEAGENT,43.89,36.19,Mia,RP,"P,RP,BE,IL",ACTIVE
Bryce Elder,FREEAGENT,43.5,30.46,Atl,SP,"P,SP,BE,IL",ACTIVE
Ryan Jeffers,FREEAGENT,42.42,34.13,Min,C,"C,DH,UTIL,BE,IL",ACTIVE
Nick Lodolo,FREEAGENT,42.11,23.76,Cin,SP,"P,SP,BE,IL",ACTIVE
Brandon Woodruff,FREEAGENT,41.88,25.03,Mil,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Brooks Lee,FREEAGENT,41.46,34.6,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Brent Rooker,FREEAGENT,41.05,24.95,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Yainer Diaz,FREEAGENT,40.83,29.77,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Vinnie Pasquantino,FREEAGENT,40.34,23.13,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Emmet Sheehan,FREEAGENT,40.1,28.68,LAD,SP,"P,SP,BE,IL",ACTIVE
Kenley Jansen,FREEAGENT,39.53,32.91,Det,RP,"P,RP,BE,IL",ACTIVE
Michael Busch,FREEAGENT,39.09,27.84,ChC,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,38.93,33.77,Min,RP,"P,RP,BE,IL",ACTIVE
Alejandro Kirk,FREEAGENT,38.54,21.61,Tor,C,"C,UTIL,BE,IL",ACTIVE
Noah Cameron,FREEAGENT,37.79,27.4,KC,SP,"P,SP,BE,IL",ACTIVE
Robert Suarez,FREEAGENT,36.38,13.99,Atl,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Dansby Swanson,FREEAGENT,35.44,14.66,ChC,SS,"SS,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Marcus Semien,FREEAGENT,34.9,22.91,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,34.37,16.38,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Ryan Helsley,FREEAGENT,33.81,15.78,Bal,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Zac Gallen,FREEAGENT,33.51,22.65,Ari,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Bryan Abreu,FREEAGENT,31.88,27.37,Hou,RP,"P,RP,BE,IL",ACTIVE
Kyle Leahy,FREEAGENT,31.87,29.7,StL,RP,"P,RP,BE,IL,SP",ACTIVE
Daniel Palencia,FREEAGENT,31.02,13.24,ChC,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Ryan Pepiot,FREEAGENT,30.67,18.43,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Jack Flaherty,FREEAGENT,30.37,15.67,Det,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Carson Benge,FREEAGENT,29.9,27.01,NYM,CF,"LF,CF,RF,OF,UTIL,BE,IL",ACTIVE
Casey Schmitt,FREEAGENT,28.24,7.71,SF,2B,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,DH,1B,LF,OF",TEN_DAY_DL
Kyle Stowers,FREEAGENT,27.86,7.49,Mia,LF,"LF,RF,OF,UTIL,BE,IL,1B,1B/3B,IF",TEN_DAY_DL
Hunter Greene,FREEAGENT,26.84,10.62,Cin,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Ildemaro Vargas,FREEAGENT,26.1,19.78,Ari,2B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Jakob Marsee,FREEAGENT,26.06,13.65,Mia,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Sal Frelick,FREEAGENT,23.72,6.9,Mil,RF,"RF,OF,UTIL,BE,IL",TEN_DAY_DL
Seth Lugo,FREEAGENT,23.64,13.63,KC,SP,"P,SP,BE,IL",ACTIVE
Joey Cantillo,FREEAGENT,22.75,18.21,Cle,RP,"P,SP,RP,BE,IL",ACTIVE
Andre Pallante,FREEAGENT,22.73,14.46,StL,SP,"P,SP,BE,IL",ACTIVE
Kody Clemens,FREEAGENT,22.73,19.73,Min,1B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL,OF,LF,RF",ACTIVE
Kris Bubic,FREEAGENT,22.48,7.4,LAD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Sam Antonacci,FREEAGENT,22.17,19.41,ChW,2B,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,LF,OF",ACTIVE
Keider Montero,FREEAGENT,22.07,20.63,Det,SP,"P,SP,RP,BE,IL",ACTIVE
Brayan Rocchio,FREEAGENT,21.98,15.8,Cle,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Spencer Torkelson,FREEAGENT,21.95,14.43,Det,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Gregory Soto,FREEAGENT,20.46,19.14,Pit,RP,"P,RP,BE,IL",ACTIVE
Merrill Kelly,FREEAGENT,20.24,12.3,Ari,SP,"P,SP,BE,IL",ACTIVE
Josh Jung,FREEAGENT,20.11,4.34,Tex,3B,"3B,1B/3B,IF,UTIL,BE,IL",TEN_DAY_DL
Nick Gonzales,FREEAGENT,19.92,13.54,Pit,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Ben Brown,FREEAGENT,19.64,1.57,ChC,SP,"P,SP,RP,BE,IL",SIXTY_DAY_DL
Shane Bieber,FREEAGENT,18.52,6.54,Tor,SP,"P,SP,BE,IL",ACTIVE
J.T. Ginn,FREEAGENT,17.53,11.36,Oak,SP,"P,SP,BE,IL",ACTIVE
Carlos Estevez,FREEAGENT,17.5,9.14,KC,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Nolan Arenado,FREEAGENT,17.5,10.82,Ari,3B,"3B,1B/3B,IF,UTIL,BE,IL",DAY_TO_DAY
Paul Sewald,FREEAGENT,17.43,15.72,Tor,RP,"P,RP,BE,IL",ACTIVE
Brandon Young,FREEAGENT,17.31,11.64,Bal,SP,"P,SP,BE,IL",ACTIVE
Josh Bell,FREEAGENT,16.61,13.02,Min,DH,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
J.T. Realmuto,FREEAGENT,15.6,10.65,Phi,C,"C,UTIL,BE,IL",ACTIVE
Aaron Ashby,FREEAGENT,15.2,14.24,Mil,RP,"P,RP,BE,IL",ACTIVE
Tatsuya Imai,FREEAGENT,14.9,8.46,Hou,SP,"P,SP,BE,IL",ACTIVE
Lawrence Butler,FREEAGENT,14.79,9.85,Oak,RF,"CF,RF,OF,UTIL,BE,IL",ACTIVE
Jacob Webb,FREEAGENT,13.35,12.58,ChC,RP,"P,RP,BE,IL",ACTIVE
Luis Robert Jr.,FREEAGENT,13.02,6.82,NYM,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Martin Perez,FREEAGENT,12.88,10.12,Atl,SP,"P,SP,BE,IL",ACTIVE
Tommy Edman,FREEAGENT,12.49,9.74,LAD,2B,"2B,2B/SS,IF,CF,OF,UTIL,BE,IL,LF",ACTIVE
Cole Young,FREEAGENT,12.41,9.17,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Zac Thornton,FREEAGENT,12.27,10.44,NYM,SP,"P,SP,BE,IL",ACTIVE
Randy Vasquez,FREEAGENT,12.06,9.31,SD,SP,"P,SP,BE,IL,RP",ACTIVE
