Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Jung Hoo Lee,FREEAGENT,55.6,43.14,SF,CF,"CF,OF,UTIL,BE,IL,RF",ACTIVE
Nick Pivetta,FREEAGENT,53.75,25.1,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Emilio Pagan,FREEAGENT,50.9,42.13,Cin,RP,"P,RP,BE,IL",ACTIVE
Cole Ragans,FREEAGENT,47.75,31.6,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Gleyber Torres,FREEAGENT,46.62,32.92,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL,DH",ACTIVE
Trevor Rogers,FREEAGENT,46.14,23.29,Bal,SP,"P,SP,BE,IL",ACTIVE
Brandon Woodruff,FREEAGENT,45.56,25.64,Mil,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Luke Keaschall,FREEAGENT,44.47,35.23,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF,CF",ACTIVE
Brent Rooker,FREEAGENT,43.19,25.77,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Yainer Diaz,FREEAGENT,42.07,31.43,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Casey Schmitt,FREEAGENT,41.75,11.79,SF,2B,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,DH,1B,LF,OF",TEN_DAY_DL
Vinnie Pasquantino,FREEAGENT,41.57,21.16,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",TEN_DAY_DL
Brooks Lee,FREEAGENT,41.38,32.14,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Nick Lodolo,FREEAGENT,41.15,19.03,Cin,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Bryson Stott,FREEAGENT,40.46,29.22,Phi,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Pete Fairbanks,FREEAGENT,40.4,32.58,Mia,RP,"P,RP,BE,IL",ACTIVE
Robert Suarez,FREEAGENT,39.75,15.06,Atl,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Jeff Hoffman,FREEAGENT,39.52,34.27,Min,RP,"P,RP,BE,IL",ACTIVE
Bryce Elder,FREEAGENT,39.25,25.11,Atl,SP,"P,SP,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,38.2,12.16,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",TEN_DAY_DL
Kenley Jansen,FREEAGENT,37.48,30.66,Det,RP,"P,RP,BE,IL",ACTIVE
Caleb Durbin,FREEAGENT,35.83,26.75,Bos,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Zac Gallen,FREEAGENT,35.65,24.2,Ari,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Marcus Semien,FREEAGENT,35.24,22.31,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Jo Adell,FREEAGENT,33.29,21.13,Cle,CF,"CF,RF,OF,UTIL,BE,IL",ACTIVE
Agustin Ramirez,FREEAGENT,32.57,25.32,Mia,C,"C,DH,UTIL,BE,IL",ACTIVE
Alejandro Kirk,FREEAGENT,32.53,17.08,Tor,C,"C,UTIL,BE,IL",ACTIVE
Konnor Griffin,FREEAGENT,31.98,4.71,Pit,SS,"SS,2B/SS,IF,UTIL,BE,IL",SIXTY_DAY_DL
Jack Flaherty,FREEAGENT,31.91,16.58,Det,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Ryan Pepiot,FREEAGENT,31.37,18.76,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Daniel Palencia,FREEAGENT,31.22,13.33,ChC,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Bryan Abreu,FREEAGENT,30.96,26.53,Hou,RP,"P,RP,BE,IL",ACTIVE
Nick Gonzales,FREEAGENT,27.48,24.87,Pit,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Ildemaro Vargas,FREEAGENT,27.37,20.92,Ari,2B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Brayan Rocchio,FREEAGENT,27.36,19.63,Cle,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Jakob Marsee,FREEAGENT,26.33,12.39,Mia,CF,"CF,OF,UTIL,BE,IL",DAY_TO_DAY
Joey Cantillo,FREEAGENT,26.3,23.27,Cle,RP,"P,SP,RP,BE,IL",ACTIVE
Kris Bubic,FREEAGENT,25.05,7.69,LAD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Sal Frelick,FREEAGENT,24.5,7.55,Mil,RF,"RF,OF,UTIL,BE,IL",TEN_DAY_DL
Ben Brown,FREEAGENT,24.42,1.86,ChC,SP,"P,SP,RP,BE,IL",FIFTEEN_DAY_DL
Seth Lugo,FREEAGENT,24.34,15.41,KC,SP,"P,SP,BE,IL",ACTIVE
Gregory Soto,FREEAGENT,23.83,22.52,Pit,RP,"P,RP,BE,IL",ACTIVE
Merrill Kelly,FREEAGENT,23.69,13.31,Ari,SP,"P,SP,BE,IL",ACTIVE
Josh Jung,FREEAGENT,23.19,5.63,Tex,3B,"3B,1B/3B,IF,UTIL,BE,IL",TEN_DAY_DL
Spencer Torkelson,FREEAGENT,21.55,13.63,Det,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Carson Benge,FREEAGENT,20.99,16.32,NYM,CF,"LF,CF,RF,OF,UTIL,BE,IL",ACTIVE
Shane Bieber,FREEAGENT,19.76,9.53,Tor,SP,"P,SP,BE,IL",ACTIVE
Clay Holmes,FREEAGENT,19.43,3.46,NYM,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Kyle Leahy,FREEAGENT,19.11,13.47,StL,RP,"P,RP,BE,IL,SP",ACTIVE
Brandon Young,FREEAGENT,19.08,10.43,Bal,SP,"P,SP,BE,IL",ACTIVE
J.T. Ginn,FREEAGENT,18.28,8.0,Oak,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Carlos Estevez,FREEAGENT,18.26,9.28,KC,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Alec Bohm,FREEAGENT,18.02,13.31,Phi,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Tommy Edman,FREEAGENT,17.08,14.21,LAD,2B,"2B,2B/SS,IF,CF,OF,UTIL,BE,IL,LF",ACTIVE
Nolan Arenado,FREEAGENT,16.81,13.4,Ari,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
J.T. Realmuto,FREEAGENT,16.65,11.68,Phi,C,"C,UTIL,BE,IL",ACTIVE
Andre Pallante,FREEAGENT,16.21,10.02,StL,SP,"P,SP,BE,IL",ACTIVE
Brandon Pfaadt,FREEAGENT,15.3,12.67,Ari,SP,"P,SP,BE,IL,RP",ACTIVE
Aaron Ashby,FREEAGENT,14.8,13.89,Mil,RP,"P,RP,BE,IL",ACTIVE
Luis Robert Jr.,FREEAGENT,13.73,6.17,NYM,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Heliot Ramos,FREEAGENT,12.48,7.33,SF,LF,"LF,OF,UTIL,BE,IL",ACTIVE
Adrian Morejon,FREEAGENT,12.26,11.43,SD,RP,"P,RP,BE,IL",ACTIVE
Dalton Rushing,FREEAGENT,12.16,7.32,LAD,C,"C,UTIL,BE,IL",TEN_DAY_DL
Josh Bell,FREEAGENT,11.7,6.87,Min,DH,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Seranthony Dominguez,FREEAGENT,11.32,9.51,Sea,RP,"P,RP,BE,IL",ACTIVE
Randy Vasquez,FREEAGENT,11.3,8.2,SD,SP,"P,SP,BE,IL",ACTIVE
Brady Singer,FREEAGENT,11.25,9.15,Cin,SP,"P,SP,BE,IL",ACTIVE
Jack Leiter,FREEAGENT,10.84,4.22,Tex,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Nasim Nunez,FREEAGENT,10.76,9.14,Wsh,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Keibert Ruiz,FREEAGENT,10.7,8.72,Wsh,C,"C,UTIL,BE,IL",ACTIVE
Chase Meidroth,FREEAGENT,10.35,7.5,ChW,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Angel Martinez,FREEAGENT,10.31,4.67,Cle,CF,"2B,2B/SS,IF,CF,OF,UTIL,BE,IL,LF,RF",ACTIVE
Curtis Mead,FREEAGENT,10.19,1.35,Bos,1B,"1B,3B,1B/3B,IF,UTIL,BE,IL",TEN_DAY_DL
Royce Lewis,FREEAGENT,10.09,6.56,Min,3B,"3B,1B/3B,IF,UTIL,BE,IL,1B",ACTIVE
Alex Vesia,FREEAGENT,10.06,9.39,LAD,RP,"P,RP,BE,IL",ACTIVE
A.J. Ewing,FREEAGENT,10.01,7.29,NYM,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Rico Garcia,FREEAGENT,9.98,9.15,Bal,RP,"P,RP,BE,IL",ACTIVE
Trevor Story,FREEAGENT,9.9,3.57,Bos,SS,"SS,2B/SS,IF,UTIL,BE,IL",SIXTY_DAY_DL
Gavin Sheets,FREEAGENT,9.75,7.24,SD,LF,"LF,OF,DH,UTIL,BE,IL,1B,1B/3B,IF",ACTIVE
Jake Burger,FREEAGENT,9.38,7.15,Tex,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Ryan Walker,FREEAGENT,9.29,6.69,SF,RP,"P,RP,BE,IL",ACTIVE
