Team,Wins,Losses,Ties
Jazz Hands,8,7,2
Shitty Mike,8,7,2
Jobu's Rum Runners,6,9,2
Mookie Monstahs,11,3,3
Master Bader,7,8,2
Houck Tuah,10,7,0
George Clooneys,9,7,1
Team Quinn,5,10,2
Mayor of Titty-City,6,10,1
yahtzee BEEZNUTZ,7,9,1
