Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Bo Bichette,FREEAGENT,75.5,62.17,NYM,SS,"SS,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Nick Pivetta,FREEAGENT,50.53,24.56,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Gleyber Torres,FREEAGENT,49.91,38.79,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL,DH",ACTIVE
Trevor Rogers,FREEAGENT,48.84,27.55,Bal,SP,"P,SP,BE,IL",ACTIVE
Luke Keaschall,FREEAGENT,47.19,39.2,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF,CF",ACTIVE
Willy Adames,FREEAGENT,47.04,31.6,SF,SS,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Cole Ragans,FREEAGENT,45.71,30.8,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Pete Fairbanks,FREEAGENT,43.78,35.97,Mia,RP,"P,RP,BE,IL",ACTIVE
Bryce Elder,FREEAGENT,43.24,28.88,Atl,SP,"P,SP,BE,IL",ACTIVE
Ryan Jeffers,FREEAGENT,42.71,32.2,Min,C,"C,DH,UTIL,BE,IL",ACTIVE
Alejandro Kirk,FREEAGENT,42.22,25.25,Tor,C,"C,UTIL,BE,IL",ACTIVE
Nick Lodolo,FREEAGENT,42.06,23.1,Cin,SP,"P,SP,BE,IL",ACTIVE
Brandon Woodruff,FREEAGENT,41.77,25.04,Mil,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Brooks Lee,FREEAGENT,41.29,33.95,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Vinnie Pasquantino,FREEAGENT,41.07,24.28,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Brent Rooker,FREEAGENT,40.94,24.95,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Yainer Diaz,FREEAGENT,40.76,29.6,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Emmet Sheehan,FREEAGENT,40.04,28.66,LAD,SP,"P,SP,BE,IL",ACTIVE
Kenley Jansen,FREEAGENT,39.29,32.69,Det,RP,"P,RP,BE,IL",ACTIVE
Michael Busch,FREEAGENT,38.99,27.77,ChC,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,38.92,33.66,Min,RP,"P,RP,BE,IL",ACTIVE
Noah Cameron,FREEAGENT,38.89,25.79,KC,SP,"P,SP,BE,IL",ACTIVE
Robert Suarez,FREEAGENT,36.21,14.02,Atl,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Dansby Swanson,FREEAGENT,35.03,13.9,ChC,SS,"SS,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Marcus Semien,FREEAGENT,34.87,22.84,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,34.42,16.68,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Ryan Helsley,FREEAGENT,33.75,15.79,Bal,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Zac Gallen,FREEAGENT,33.45,22.61,Ari,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Bryan Abreu,FREEAGENT,31.88,27.37,Hou,RP,"P,RP,BE,IL",ACTIVE
Kyle Leahy,FREEAGENT,31.19,24.29,StL,RP,"P,RP,BE,IL,SP",ACTIVE
Daniel Palencia,FREEAGENT,31.01,13.35,ChC,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Ryan Pepiot,FREEAGENT,30.65,18.45,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Jack Flaherty,FREEAGENT,30.32,15.67,Det,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Kyle Stowers,FREEAGENT,27.81,7.46,Mia,LF,"LF,RF,OF,UTIL,BE,IL,1B,1B/3B,IF",TEN_DAY_DL
Casey Schmitt,FREEAGENT,27.76,7.65,SF,2B,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,DH,1B,LF,OF",TEN_DAY_DL
Hunter Greene,FREEAGENT,26.51,10.83,Cin,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Jakob Marsee,FREEAGENT,26.0,13.54,Mia,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Ildemaro Vargas,FREEAGENT,25.98,19.54,Ari,2B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Sal Frelick,FREEAGENT,23.7,6.96,Mil,RF,"RF,OF,UTIL,BE,IL",TEN_DAY_DL
