Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Steven Kwan,FREEAGENT,57.01,44.41,Cle,LF,"LF,OF,UTIL,BE,IL,CF",ACTIVE
Nick Pivetta,FREEAGENT,55.71,25.79,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Cole Ragans,FREEAGENT,54.51,32.87,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Willy Adames,FREEAGENT,51.27,37.4,SF,SS,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Gleyber Torres,FREEAGENT,47.76,24.63,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Emilio Pagan,FREEAGENT,47.54,35.82,Cin,RP,"P,RP,BE,IL",ACTIVE
Luke Keaschall,FREEAGENT,45.67,36.53,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF",ACTIVE
Brooks Lee,FREEAGENT,43.87,36.32,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Trevor Rogers,FREEAGENT,42.14,21.79,Bal,SP,"P,SP,BE,IL",ACTIVE
Pete Fairbanks,FREEAGENT,41.06,33.31,Mia,RP,"P,RP,BE,IL",ACTIVE
Yainer Diaz,FREEAGENT,40.77,28.02,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Bryson Stott,FREEAGENT,40.75,28.68,Phi,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,40.69,35.38,Tor,RP,"P,RP,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,39.87,11.99,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",TEN_DAY_DL
Isaac Paredes,FREEAGENT,38.84,32.21,Hou,3B,"3B,1B/3B,IF,UTIL,BE,IL,1B",ACTIVE
Marcus Semien,FREEAGENT,37.29,20.97,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Kenley Jansen,FREEAGENT,36.92,29.92,Det,RP,"P,RP,BE,IL",ACTIVE
Jack Flaherty,FREEAGENT,34.92,20.9,Det,SP,"P,SP,BE,IL",ACTIVE
