Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Bo Bichette,FREEAGENT,72.97,59.46,NYM,SS,"SS,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Emilio Pagan,FREEAGENT,53.53,45.12,Cin,RP,"P,RP,BE,IL",ACTIVE
Nick Pivetta,FREEAGENT,51.92,24.78,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Trevor Rogers,FREEAGENT,50.9,31.32,Bal,SP,"P,SP,BE,IL",ACTIVE
Gleyber Torres,FREEAGENT,47.09,34.5,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL,DH",ACTIVE
Cole Ragans,FREEAGENT,46.53,31.13,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Luke Keaschall,FREEAGENT,45.54,37.44,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF,CF",ACTIVE
Bryce Elder,FREEAGENT,45.24,32.07,Atl,SP,"P,SP,BE,IL",ACTIVE
Brandon Woodruff,FREEAGENT,43.16,25.21,Mil,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Nick Lodolo,FREEAGENT,42.24,24.31,Cin,SP,"P,SP,BE,IL",ACTIVE
Pete Fairbanks,FREEAGENT,42.24,34.34,Mia,RP,"P,RP,BE,IL",ACTIVE
Yainer Diaz,FREEAGENT,42.22,31.19,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Brent Rooker,FREEAGENT,41.88,25.31,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Vinnie Pasquantino,FREEAGENT,40.77,20.3,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",TEN_DAY_DL
Jeff Hoffman,FREEAGENT,39.45,34.25,Min,RP,"P,RP,BE,IL",ACTIVE
Brooks Lee,FREEAGENT,39.41,32.53,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Robert Suarez,FREEAGENT,37.98,14.36,Atl,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Kenley Jansen,FREEAGENT,37.76,31.1,Det,RP,"P,RP,BE,IL",ACTIVE
Marcus Semien,FREEAGENT,35.88,23.86,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,35.28,15.22,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Hunter Greene,FREEAGENT,34.65,11.77,Cin,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Ryan Helsley,FREEAGENT,34.29,15.77,Bal,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Zac Gallen,FREEAGENT,34.16,23.19,Ari,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Alejandro Kirk,FREEAGENT,33.26,17.71,Tor,C,"C,UTIL,BE,IL",ACTIVE
Casey Schmitt,FREEAGENT,32.68,8.67,SF,2B,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,DH,1B,LF,OF",TEN_DAY_DL
Agustin Ramirez,FREEAGENT,32.49,25.11,Mia,C,"C,DH,UTIL,BE,IL",ACTIVE
Bryan Abreu,FREEAGENT,32.4,27.92,Hou,RP,"P,RP,BE,IL",ACTIVE
Jo Adell,FREEAGENT,32.37,20.59,Cle,CF,"CF,RF,OF,UTIL,BE,IL",ACTIVE
Daniel Palencia,FREEAGENT,31.62,13.51,ChC,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Jack Flaherty,FREEAGENT,30.96,15.95,Det,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Ryan Pepiot,FREEAGENT,30.96,18.6,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Carson Benge,FREEAGENT,27.77,24.34,NYM,CF,"LF,CF,RF,OF,UTIL,BE,IL",ACTIVE
Jakob Marsee,FREEAGENT,26.04,13.09,Mia,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Ildemaro Vargas,FREEAGENT,25.65,18.51,Ari,2B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Royce Lewis,FREEAGENT,25.18,21.27,Min,3B,"3B,1B/3B,IF,UTIL,BE,IL,1B,2B,2B/SS",ACTIVE
Sal Frelick,FREEAGENT,24.03,7.13,Mil,RF,"RF,OF,UTIL,BE,IL",TEN_DAY_DL
Kody Clemens,FREEAGENT,23.84,20.27,Min,1B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL,OF,LF,RF",ACTIVE
Kris Bubic,FREEAGENT,23.48,7.5,LAD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Brayan Rocchio,FREEAGENT,23.29,16.23,Cle,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Joey Cantillo,FREEAGENT,23.17,18.74,Cle,RP,"P,SP,RP,BE,IL",ACTIVE
Seth Lugo,FREEAGENT,22.91,13.1,KC,SP,"P,SP,BE,IL",ACTIVE
Kyle Leahy,FREEAGENT,22.78,15.11,StL,RP,"P,RP,BE,IL,SP",ACTIVE
Nick Gonzales,FREEAGENT,22.64,18.43,Pit,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Merrill Kelly,FREEAGENT,22.25,10.8,Ari,SP,"P,SP,BE,IL",DAY_TO_DAY
Spencer Torkelson,FREEAGENT,21.77,14.15,Det,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Gregory Soto,FREEAGENT,21.67,20.1,Pit,RP,"P,RP,BE,IL",ACTIVE
Josh Jung,FREEAGENT,21.42,4.7,Tex,3B,"3B,1B/3B,IF,UTIL,BE,IL",TEN_DAY_DL
Ben Brown,FREEAGENT,21.19,1.63,ChC,SP,"P,SP,RP,BE,IL",SIXTY_DAY_DL
Brandon Young,FREEAGENT,19.09,16.79,Bal,SP,"P,SP,BE,IL",ACTIVE
Andre Pallante,FREEAGENT,18.69,16.11,StL,SP,"P,SP,BE,IL",ACTIVE
Shane Bieber,FREEAGENT,18.42,7.39,Tor,SP,"P,SP,BE,IL",ACTIVE
Nolan Arenado,FREEAGENT,18.04,14.6,Ari,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
J.T. Ginn,FREEAGENT,17.91,11.46,Oak,SP,"P,SP,BE,IL",ACTIVE
Carlos Estevez,FREEAGENT,17.82,9.2,KC,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Alec Bohm,FREEAGENT,17.62,12.51,Phi,3B,"3B,1B/3B,IF,UTIL,BE,IL,1B",ACTIVE
Jared Jones,FREEAGENT,17.13,7.68,Pit,SP,"P,SP,BE,IL",ACTIVE
Brandon Pfaadt,FREEAGENT,16.29,10.66,Ari,SP,"P,SP,BE,IL,RP",ACTIVE
J.T. Realmuto,FREEAGENT,16.26,11.17,Phi,C,"C,UTIL,BE,IL",ACTIVE
Keider Montero,FREEAGENT,15.96,11.82,Det,SP,"P,SP,RP,BE,IL",ACTIVE
Tatsuya Imai,FREEAGENT,15.51,8.74,Hou,SP,"P,SP,BE,IL",ACTIVE
Josh Bell,FREEAGENT,14.93,11.73,Min,DH,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Adrian Morejon,FREEAGENT,14.76,13.69,SD,RP,"P,RP,BE,IL",ACTIVE
Aaron Ashby,FREEAGENT,14.68,13.86,Mil,RP,"P,RP,BE,IL",ACTIVE
Tommy Edman,FREEAGENT,14.12,10.54,LAD,2B,"2B,2B/SS,IF,CF,OF,UTIL,BE,IL,LF",ACTIVE
Luis Robert Jr.,FREEAGENT,13.22,6.66,NYM,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Randy Vasquez,FREEAGENT,12.25,9.3,SD,SP,"P,SP,BE,IL",ACTIVE
Heliot Ramos,FREEAGENT,12.02,6.47,NYY,LF,"LF,OF,UTIL,BE,IL",ACTIVE
Martin Perez,FREEAGENT,11.59,10.31,Atl,SP,"P,SP,BE,IL",ACTIVE
Angel Martinez,FREEAGENT,11.24,6.89,Cle,CF,"2B,2B/SS,IF,CF,OF,UTIL,BE,IL,LF,RF",ACTIVE
Keibert Ruiz,FREEAGENT,10.88,7.52,Wsh,C,"C,UTIL,BE,IL",ACTIVE
Seranthony Dominguez,FREEAGENT,10.21,8.45,Sea,RP,"P,RP,BE,IL",ACTIVE
Chase Meidroth,FREEAGENT,10.14,4.84,ChW,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",DAY_TO_DAY
Jason Adam,FREEAGENT,9.88,5.08,SD,RP,"P,RP,BE,IL",SIXTY_DAY_DL
A.J. Ewing,FREEAGENT,9.81,8.19,NYM,CF,"CF,OF,UTIL,BE,IL,LF",ACTIVE
Brady Singer,FREEAGENT,9.78,5.47,Cin,SP,"P,SP,BE,IL",ACTIVE
Trevor Story,FREEAGENT,9.78,3.53,Bos,SS,"SS,2B/SS,IF,UTIL,BE,IL",SIXTY_DAY_DL
Lawrence Butler,FREEAGENT,9.69,5.34,Oak,RF,"CF,RF,OF,UTIL,BE,IL",ACTIVE
Sean Manaea,FREEAGENT,9.22,6.31,NYM,SP,"P,SP,BE,IL,RP",ACTIVE
Rico Garcia,FREEAGENT,9.17,8.54,Bal,RP,"P,RP,BE,IL",ACTIVE
Ryan Walker,FREEAGENT,9.14,6.56,SF,RP,"P,RP,BE,IL",ACTIVE
Alex Vesia,FREEAGENT,9.09,8.3,LAD,RP,"P,RP,BE,IL",ACTIVE
Daulton Varsho,FREEAGENT,9.01,6.04,Hou,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Andres Gimenez,FREEAGENT,8.97,6.26,Tor,2B,"2B,2B/SS,IF,UTIL,BE,IL,SS",ACTIVE
Gavin Sheets,FREEAGENT,8.96,5.99,SD,LF,"LF,OF,DH,UTIL,BE,IL,1B,1B/3B,IF",ACTIVE
Jake Burger,FREEAGENT,8.91,6.38,Tex,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Andruw Monasterio,FREEAGENT,8.9,6.71,Bos,SS,"SS,2B/SS,IF,UTIL,BE,IL,DH,2B",ACTIVE
Nasim Nunez,FREEAGENT,8.77,6.29,Wsh,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Dalton Rushing,FREEAGENT,8.72,3.33,LAD,C,"C,UTIL,BE,IL",TEN_DAY_DL
Cam Smith,FREEAGENT,8.64,6.51,Hou,RF,"RF,OF,UTIL,BE,IL",ACTIVE
Jordan Westburg,FREEAGENT,8.59,3.25,Bal,3B,"3B,1B/3B,IF,UTIL,BE,IL",SIXTY_DAY_DL
Curtis Mead,FREEAGENT,8.58,0.91,Bos,1B,"1B,3B,1B/3B,IF,UTIL,BE,IL",TEN_DAY_DL
TJ Friedl,FREEAGENT,8.56,2.9,Cin,CF,"CF,OF,UTIL,BE,IL,LF",ACTIVE
