Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Jung Hoo Lee,FREEAGENT,53.9,39.81,SF,CF,"CF,OF,UTIL,BE,IL,RF",ACTIVE
Nick Pivetta,FREEAGENT,53.9,25.31,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Emilio Pagan,FREEAGENT,49.47,40.95,Cin,RP,"P,RP,BE,IL",ACTIVE
Trevor Rogers,FREEAGENT,49.04,30.44,Bal,SP,"P,SP,BE,IL",ACTIVE
Cole Ragans,FREEAGENT,48.42,31.96,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Brandon Woodruff,FREEAGENT,47.35,26.08,Mil,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Gleyber Torres,FREEAGENT,46.2,29.91,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Luke Keaschall,FREEAGENT,44.3,36.7,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF,CF",ACTIVE
Brent Rooker,FREEAGENT,43.97,26.38,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Vinnie Pasquantino,FREEAGENT,42.78,24.97,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",TEN_DAY_DL
Nick Lodolo,FREEAGENT,41.52,20.0,Cin,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Brooks Lee,FREEAGENT,41.48,36.57,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Robert Suarez,FREEAGENT,40.61,16.0,Atl,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Yainer Diaz,FREEAGENT,40.21,28.13,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Bryson Stott,FREEAGENT,39.09,25.47,Phi,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,38.99,31.94,Tor,RP,"P,RP,BE,IL",ACTIVE
Pete Fairbanks,FREEAGENT,38.88,31.41,Mia,RP,"P,RP,BE,IL",ACTIVE
Bryce Elder,FREEAGENT,38.45,28.97,Atl,SP,"P,SP,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,38.39,12.24,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",TEN_DAY_DL
Kenley Jansen,FREEAGENT,37.61,29.0,Det,RP,"P,RP,BE,IL",ACTIVE
Zac Gallen,FREEAGENT,36.16,24.8,Ari,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Marcus Semien,FREEAGENT,36.01,23.78,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Caleb Durbin,FREEAGENT,35.94,28.49,Bos,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Jo Adell,FREEAGENT,33.97,21.16,LAA,CF,"CF,RF,OF,UTIL,BE,IL",ACTIVE
Agustin Ramirez,FREEAGENT,32.83,26.01,Mia,C,"C,DH,UTIL,BE,IL",ACTIVE
Jack Flaherty,FREEAGENT,32.82,17.41,Det,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Konnor Griffin,FREEAGENT,32.82,5.17,Pit,SS,"SS,2B/SS,IF,UTIL,BE,IL",SIXTY_DAY_DL
Alejandro Kirk,FREEAGENT,32.66,15.67,Tor,C,"C,UTIL,BE,IL",ACTIVE
Ryan Pepiot,FREEAGENT,31.63,19.0,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Daniel Palencia,FREEAGENT,31.37,13.72,ChC,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Brayan Rocchio,FREEAGENT,30.46,22.12,Cle,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Bryan Abreu,FREEAGENT,30.31,24.85,Hou,RP,"P,RP,BE,IL",ACTIVE
Kyle Stowers,FREEAGENT,29.66,18.21,Mia,LF,"LF,RF,OF,UTIL,BE,IL,1B,1B/3B,IF",ACTIVE
Ildemaro Vargas,FREEAGENT,27.75,17.63,Ari,2B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Jakob Marsee,FREEAGENT,26.95,14.52,Mia,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Kris Bubic,FREEAGENT,25.75,7.95,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Ben Brown,FREEAGENT,25.15,2.1,ChC,SP,"P,SP,RP,BE,IL",FIFTEEN_DAY_DL
Joey Cantillo,FREEAGENT,25.06,18.76,Cle,RP,"P,SP,RP,BE,IL",ACTIVE
