Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Bryan Woo,FREEAGENT,96.82,87.41,Sea,SP,"P,SP,BE,IL",ACTIVE
Aaron Judge,FREEAGENT,90.56,39.86,NYY,RF,"RF,OF,DH,UTIL,BE,IL",TEN_DAY_DL
Bo Bichette,FREEAGENT,75.78,63.65,NYM,SS,"SS,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Adley Rutschman,FREEAGENT,69.6,53.07,Bos,C,"C,UTIL,BE,IL,DH",ACTIVE
Ian Happ,FREEAGENT,69.4,58.56,ChC,LF,"LF,OF,UTIL,BE,IL",ACTIVE
Robbie Ray,FREEAGENT,63.29,51.99,SD,SP,"P,SP,BE,IL",ACTIVE
Austin Riley,FREEAGENT,58.21,47.38,Atl,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Trevor Rogers,FREEAGENT,57.39,31.73,Bal,SP,"P,SP,BE,IL",ACTIVE
Tyler Mahle,FREEAGENT,57.17,49.57,Atl,SP,"P,SP,BE,IL",ACTIVE
Kyle Bradish,FREEAGENT,55.62,40.83,Bal,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Vinnie Pasquantino,FREEAGENT,50.22,38.06,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Edwin Diaz,FREEAGENT,49.77,31.39,LAD,RP,"P,RP,BE,IL",ACTIVE
Jung Hoo Lee,FREEAGENT,45.75,25.73,SF,CF,"CF,OF,UTIL,BE,IL,RF",TEN_DAY_DL
Gleyber Torres,FREEAGENT,45.51,32.75,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL,DH",ACTIVE
Abner Uribe,FREEAGENT,44.62,36.04,Mil,RP,"P,RP,BE,IL",ACTIVE
Cole Ragans,FREEAGENT,44.51,30.54,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Willy Adames,FREEAGENT,43.7,25.31,SF,SS,"SS,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Kenley Jansen,FREEAGENT,43.59,34.05,Det,RP,"P,RP,BE,IL",ACTIVE
Emmet Sheehan,FREEAGENT,43.03,32.11,LAD,SP,"P,SP,BE,IL",ACTIVE
Yainer Diaz,FREEAGENT,42.19,32.04,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,41.34,33.98,Min,RP,"P,RP,BE,IL",ACTIVE
Javier Sanoja,FREEAGENT,40.88,38.76,Mia,LF,"2B,3B,2B/SS,1B/3B,IF,LF,OF,UTIL,P,RP,BE,IL,RF,SS",ACTIVE
Alejandro Kirk,FREEAGENT,40.25,22.34,Tor,C,"C,UTIL,BE,IL",ACTIVE
Brandon Woodruff,FREEAGENT,40.0,24.71,Mil,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Brent Rooker,FREEAGENT,39.63,24.18,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Michael Busch,FREEAGENT,39.44,29.62,ChC,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Nick Lodolo,FREEAGENT,38.49,22.92,Cin,SP,"P,SP,BE,IL",ACTIVE
Michael Soroka,FREEAGENT,37.99,21.06,Ari,SP,"P,SP,BE,IL",ACTIVE
Jonathan Aranda,FREEAGENT,37.88,29.98,TB,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Pete Fairbanks,FREEAGENT,34.79,22.51,Mia,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Marcus Semien,FREEAGENT,34.78,23.76,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Bryan Abreu,FREEAGENT,34.74,30.18,Hou,RP,"P,RP,BE,IL",ACTIVE
Davis Martin,FREEAGENT,34.38,23.25,ChW,SP,"P,SP,BE,IL",ACTIVE
Zac Gallen,FREEAGENT,32.48,23.63,Ari,SP,"P,SP,BE,IL",ACTIVE
Robert Suarez,FREEAGENT,32.33,15.34,Atl,RP,"P,RP,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,32.26,12.07,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",SEVEN_DAY_DL
Ryan Helsley,FREEAGENT,32.07,15.3,Bal,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Nolan Arenado,FREEAGENT,31.45,27.61,Ari,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Dansby Swanson,FREEAGENT,30.76,13.55,ChC,SS,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Ryan Pepiot,FREEAGENT,30.69,18.71,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Jakob Marsee,FREEAGENT,29.73,17.63,Mia,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Jack Flaherty,FREEAGENT,29.33,15.03,Det,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Daniel Palencia,FREEAGENT,27.29,18.21,ChC,RP,"P,RP,BE,IL",ACTIVE
Kyle Stowers,FREEAGENT,27.24,14.63,Mia,LF,"LF,RF,OF,UTIL,BE,IL,1B,1B/3B,IF,DH",ACTIVE
Alec Bohm,FREEAGENT,27.23,22.15,Phi,3B,"3B,1B/3B,IF,UTIL,BE,IL,1B",ACTIVE
Jose Caballero,FREEAGENT,23.91,17.91,NYY,RF,"2B,3B,SS,2B/SS,1B/3B,IF,RF,OF,UTIL,BE,IL,LF",ACTIVE
Ryan Weathers,FREEAGENT,23.64,6.69,NYY,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Hunter Greene,FREEAGENT,23.04,9.93,Cin,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Sal Frelick,FREEAGENT,22.89,8.82,Mil,RF,"RF,OF,UTIL,BE,IL",ACTIVE
Ildemaro Vargas,FREEAGENT,22.31,15.96,Ari,2B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Kyle Leahy,FREEAGENT,21.74,18.78,StL,RP,"P,RP,BE,IL,SP",ACTIVE
Merrill Kelly,FREEAGENT,21.34,11.93,Ari,SP,"P,SP,BE,IL",ACTIVE
Seth Lugo,FREEAGENT,21.11,13.71,KC,SP,"P,SP,BE,IL",ACTIVE
Zac Thornton,FREEAGENT,21.04,17.68,NYM,SP,"P,SP,BE,IL",ACTIVE
Spencer Torkelson,FREEAGENT,20.86,12.27,Det,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Brayan Rocchio,FREEAGENT,20.73,15.84,Cle,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Kris Bubic,FREEAGENT,20.01,8.78,LAD,SP,"P,SP,BE,IL",ACTIVE
Sam Antonacci,FREEAGENT,19.2,16.67,ChW,2B,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,LF,OF",ACTIVE
Xander Bogaerts,FREEAGENT,19.13,13.27,SD,SS,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
JJ Bleday,FREEAGENT,18.91,15.52,Cin,CF,"CF,RF,OF,UTIL,BE,IL,LF",ACTIVE
Casey Schmitt,FREEAGENT,18.75,5.86,SF,2B,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,DH,1B,LF,OF",SIXTY_DAY_DL
Josh Bell,FREEAGENT,18.75,12.85,Min,DH,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Gregory Soto,FREEAGENT,18.64,17.34,Pit,RP,"P,RP,BE,IL",ACTIVE
Michael McGreevy,FREEAGENT,18.53,11.47,StL,SP,"P,SP,BE,IL",ACTIVE
