Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Jung Hoo Lee,FREEAGENT,61.58,49.97,SF,CF,"CF,OF,UTIL,BE,IL,RF",ACTIVE
Trevor Rogers,FREEAGENT,53.79,42.61,Bal,SP,"P,SP,BE,IL",ACTIVE
Emilio Pagan,FREEAGENT,53.19,42.07,Cin,RP,"P,RP,BE,IL",ACTIVE
Nick Pivetta,FREEAGENT,52.0,24.88,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Bryce Elder,FREEAGENT,49.68,43.37,Atl,SP,"P,SP,BE,IL",ACTIVE
Gleyber Torres,FREEAGENT,47.25,32.85,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL,DH",ACTIVE
Cole Ragans,FREEAGENT,46.62,31.26,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Luke Keaschall,FREEAGENT,45.54,38.57,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF,CF",ACTIVE
Brandon Woodruff,FREEAGENT,43.38,25.37,Mil,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Yainer Diaz,FREEAGENT,42.55,32.24,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Nick Lodolo,FREEAGENT,42.06,20.42,Cin,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Brent Rooker,FREEAGENT,42.01,25.49,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Pete Fairbanks,FREEAGENT,41.89,32.2,Mia,RP,"P,RP,BE,IL",ACTIVE
Vinnie Pasquantino,FREEAGENT,40.78,20.69,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",TEN_DAY_DL
Jeff Hoffman,FREEAGENT,39.54,34.44,Min,RP,"P,RP,BE,IL",ACTIVE
Brooks Lee,FREEAGENT,39.08,34.52,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Robert Suarez,FREEAGENT,38.12,14.62,Atl,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Kenley Jansen,FREEAGENT,37.64,29.49,Det,RP,"P,RP,BE,IL",ACTIVE
Marcus Semien,FREEAGENT,36.04,24.72,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,35.56,14.46,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Ryan Helsley,FREEAGENT,34.39,15.91,Bal,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Zac Gallen,FREEAGENT,34.28,23.51,Ari,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Casey Schmitt,FREEAGENT,33.32,9.25,SF,2B,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,DH,1B,LF,OF",TEN_DAY_DL
Alejandro Kirk,FREEAGENT,33.22,17.84,Tor,C,"C,UTIL,BE,IL",ACTIVE
Agustin Ramirez,FREEAGENT,32.6,25.2,Mia,C,"C,DH,UTIL,BE,IL",ACTIVE
Jo Adell,FREEAGENT,32.51,19.82,Cle,CF,"CF,RF,OF,UTIL,BE,IL",ACTIVE
Bryan Abreu,FREEAGENT,32.25,27.8,Hou,RP,"P,RP,BE,IL",ACTIVE
Daniel Palencia,FREEAGENT,31.55,13.34,ChC,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Jack Flaherty,FREEAGENT,31.04,16.04,Det,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Ryan Pepiot,FREEAGENT,31.01,18.65,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Carson Benge,FREEAGENT,27.14,24.18,NYM,CF,"LF,CF,RF,OF,UTIL,BE,IL",ACTIVE
Jakob Marsee,FREEAGENT,26.0,12.59,Mia,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Ildemaro Vargas,FREEAGENT,25.87,19.78,Ari,2B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Royce Lewis,FREEAGENT,24.75,21.74,Min,3B,"3B,1B/3B,IF,UTIL,BE,IL,1B,2B,2B/SS",ACTIVE
Sal Frelick,FREEAGENT,24.08,7.43,Mil,RF,"RF,OF,UTIL,BE,IL",TEN_DAY_DL
Kody Clemens,FREEAGENT,24.03,20.75,Min,1B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL,OF,LF,RF",ACTIVE
Joey Cantillo,FREEAGENT,23.97,18.27,Cle,RP,"P,SP,RP,BE,IL",ACTIVE
Brayan Rocchio,FREEAGENT,23.68,15.4,Cle,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Kris Bubic,FREEAGENT,23.62,7.57,LAD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Seth Lugo,FREEAGENT,22.94,14.83,KC,SP,"P,SP,BE,IL",ACTIVE
Nick Gonzales,FREEAGENT,22.91,16.57,Pit,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Gregory Soto,FREEAGENT,21.87,18.69,Pit,RP,"P,RP,BE,IL",ACTIVE
Spencer Torkelson,FREEAGENT,21.66,12.83,Det,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Josh Jung,FREEAGENT,21.61,5.0,Tex,3B,"3B,1B/3B,IF,UTIL,BE,IL",TEN_DAY_DL
Ben Brown,FREEAGENT,21.36,1.67,ChC,SP,"P,SP,RP,BE,IL",SIXTY_DAY_DL
Merrill Kelly,FREEAGENT,21.07,10.75,Ari,SP,"P,SP,BE,IL",DAY_TO_DAY
Kyle Leahy,FREEAGENT,20.89,14.51,StL,RP,"P,RP,BE,IL,SP",ACTIVE
Brandon Young,FREEAGENT,18.86,11.72,Bal,SP,"P,SP,BE,IL",ACTIVE
Shane Bieber,FREEAGENT,18.83,9.91,Tor,SP,"P,SP,BE,IL",ACTIVE
J.T. Ginn,FREEAGENT,18.32,13.15,Oak,SP,"P,SP,BE,IL",ACTIVE
Andre Pallante,FREEAGENT,17.95,10.19,StL,SP,"P,SP,BE,IL",ACTIVE
Carlos Estevez,FREEAGENT,17.86,9.23,KC,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Alec Bohm,FREEAGENT,17.66,12.89,Phi,3B,"3B,1B/3B,IF,UTIL,BE,IL,1B",ACTIVE
Nolan Arenado,FREEAGENT,17.46,14.54,Ari,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
J.T. Realmuto,FREEAGENT,16.51,11.61,Phi,C,"C,UTIL,BE,IL",ACTIVE
Keider Montero,FREEAGENT,16.22,10.77,Det,SP,"P,SP,RP,BE,IL",ACTIVE
Brandon Pfaadt,FREEAGENT,15.9,11.18,Ari,SP,"P,SP,BE,IL,RP",ACTIVE
Tatsuya Imai,FREEAGENT,15.41,8.75,Hou,SP,"P,SP,BE,IL",ACTIVE
Aaron Ashby,FREEAGENT,14.61,13.88,Mil,RP,"P,RP,BE,IL",ACTIVE
Tommy Edman,FREEAGENT,14.56,12.54,LAD,2B,"2B,2B/SS,IF,CF,OF,UTIL,BE,IL,LF",ACTIVE
Adrian Morejon,FREEAGENT,14.52,13.5,SD,RP,"P,RP,BE,IL",ACTIVE
Josh Bell,FREEAGENT,13.99,11.21,Min,DH,"1B,1B/3B,IF,DH,UTIL,BE,IL",ACTIVE
Luis Robert Jr.,FREEAGENT,13.26,6.92,NYM,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Randy Vasquez,FREEAGENT,12.5,9.77,SD,SP,"P,SP,BE,IL",ACTIVE
