Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Bo Bichette,FREEAGENT,73.08,58.55,NYM,SS,"SS,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Emilio Pagan,FREEAGENT,54.03,45.68,Cin,RP,"P,RP,BE,IL",ACTIVE
Nick Pivetta,FREEAGENT,51.85,24.77,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Trevor Rogers,FREEAGENT,49.77,28.9,Bal,SP,"P,SP,BE,IL",ACTIVE
Gleyber Torres,FREEAGENT,47.17,34.79,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL,DH",ACTIVE
Cole Ragans,FREEAGENT,46.42,31.09,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Luke Keaschall,FREEAGENT,45.78,37.87,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF,CF",ACTIVE
Bryce Elder,FREEAGENT,43.57,29.37,Atl,SP,"P,SP,BE,IL",ACTIVE
Brandon Woodruff,FREEAGENT,43.06,25.25,Mil,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Pete Fairbanks,FREEAGENT,42.81,34.9,Mia,RP,"P,RP,BE,IL",ACTIVE
Yainer Diaz,FREEAGENT,41.96,30.42,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Nick Lodolo,FREEAGENT,41.78,22.41,Cin,SP,"P,SP,BE,IL",ACTIVE
Brent Rooker,FREEAGENT,41.77,25.28,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Vinnie Pasquantino,FREEAGENT,40.73,20.23,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",TEN_DAY_DL
Brooks Lee,FREEAGENT,40.47,33.83,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,39.43,34.28,Min,RP,"P,RP,BE,IL",ACTIVE
Kenley Jansen,FREEAGENT,37.95,31.33,Det,RP,"P,RP,BE,IL",ACTIVE
Robert Suarez,FREEAGENT,37.87,14.33,Atl,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Marcus Semien,FREEAGENT,35.72,23.1,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,35.16,15.85,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Ryan Helsley,FREEAGENT,34.27,15.8,Bal,RP,"P,RP,BE,IL",SIXTY_DAY_DL
Zac Gallen,FREEAGENT,34.08,23.13,Ari,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Alejandro Kirk,FREEAGENT,33.55,18.07,Tor,C,"C,UTIL,BE,IL",ACTIVE
Hunter Greene,FREEAGENT,33.2,11.81,Cin,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Jo Adell,FREEAGENT,32.67,21.67,Cle,CF,"CF,RF,OF,UTIL,BE,IL",ACTIVE
Agustin Ramirez,FREEAGENT,32.52,25.31,Mia,C,"C,DH,UTIL,BE,IL",ACTIVE
Bryan Abreu,FREEAGENT,32.36,27.83,Hou,RP,"P,RP,BE,IL",ACTIVE
Casey Schmitt,FREEAGENT,32.15,8.52,SF,2B,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,DH,1B,LF,OF",TEN_DAY_DL
Daniel Palencia,FREEAGENT,31.65,13.56,ChC,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Jack Flaherty,FREEAGENT,30.93,15.97,Det,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Ryan Pepiot,FREEAGENT,30.93,18.58,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Carson Benge,FREEAGENT,27.9,24.19,NYM,CF,"LF,CF,RF,OF,UTIL,BE,IL",ACTIVE
Jakob Marsee,FREEAGENT,26.12,13.39,Mia,CF,"CF,OF,UTIL,BE,IL",ACTIVE
Ildemaro Vargas,FREEAGENT,25.44,17.31,Ari,2B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Kody Clemens,FREEAGENT,24.04,20.6,Min,1B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL,OF,LF,RF",ACTIVE
Sal Frelick,FREEAGENT,24.03,7.14,Mil,RF,"RF,OF,UTIL,BE,IL",TEN_DAY_DL
Kris Bubic,FREEAGENT,23.39,7.51,LAD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Seth Lugo,FREEAGENT,23.12,12.81,KC,SP,"P,SP,BE,IL",ACTIVE
Kyle Leahy,FREEAGENT,23.07,20.41,StL,RP,"P,RP,BE,IL,SP",ACTIVE
Brayan Rocchio,FREEAGENT,23.06,16.53,Cle,SS,"2B,SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Joey Cantillo,FREEAGENT,22.83,18.32,Cle,RP,"P,SP,RP,BE,IL",ACTIVE
Nick Gonzales,FREEAGENT,22.64,18.78,Pit,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",ACTIVE
Spencer Torkelson,FREEAGENT,22.22,14.69,Det,1B,"1B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Merrill Kelly,FREEAGENT,21.98,14.08,Ari,SP,"P,SP,BE,IL",ACTIVE
Gregory Soto,FREEAGENT,21.63,20.2,Pit,RP,"P,RP,BE,IL",ACTIVE
Sam Antonacci,FREEAGENT,21.51,17.88,ChW,2B,"2B,3B,2B/SS,1B/3B,IF,UTIL,BE,IL,LF,OF",ACTIVE
