Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",75,325.977,292.982,88.9638,51.0676,15.674,5.62256,16.5996,56.5835,49.6893,26.777,2.43082,53.9067,2.97844,2.79142,0.447513,3.29138,17.2578,4.48375,0.303649,0.0821439,0.16537,0.496729,0.364696,0.565501,0.39471,0.930197,0.261852,7.98008,0.321237,,1.18601,59.1597,20.4589,151.083,1.18601,4.93,20.787749767303467,8.402221918106079,4.14138,3.0999999046325684,,,,,,,556.9,7.425333333,556.9,7.425333333,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Juan Soto","NYM",75,317.209,257.536,72.4395,40.0878,12.5264,0.233318,19.5919,52.8177,50.7692,55.2755,4.09758,53.5471,1.95533,1.97339,0.469309,6.31562,7.28476,2.76962,0.281279,0.174256,0.168807,1.03228,0.40939,0.559954,0.41363,0.969344,0.278675,3.9298,0.283562,,-0.178849,62.4169,24.7569,168.02,-0.178849,-0.54,25.64702706038952,-4.494475185871124,3.19449,4.650000095367432,,,,,,,546.8,7.290666666,546.8,7.290666666,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",75,326.814,274.896,78.6319,40.0843,15.6928,1.00807,21.8468,58.6751,56.9882,46.203,6.12807,76.6367,2.84389,1.78058,0.347058,4.83466,10.5444,3.45245,0.286042,0.141374,0.234497,0.602883,0.391985,0.58888,0.413195,0.980865,0.302838,5.21746,0.318671,,0.244962,64.1919,25.3916,164.949,0.244962,0,25.651378393173218,-7.007007122039795,2.9714,1.2699999809265137,,,,,,,585.8,7.810666666,585.8,7.810666666,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Yordan Alvarez","HOU",67,292.568,245.956,73.4851,38.6184,14.7264,0,20.1403,46.2833,54.1659,39.5398,5.78901,48.6903,4.28592,2.52127,0.264278,4.55919,1.39404,0.524036,0.298773,0.135147,0.166424,0.812066,0.401332,0.604304,0.422491,1.00564,0.305531,2.3729,0.296942,,-0.342093,59.6624,24.9279,173.762,-0.342093,-0.04,25.06107646226883,-6.901672400534153,2.9004,33.38999938964844,,,,,,,525.4,7.841791044,525.4,7.841791044,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Cal Raleigh","SEA",69,279.956,241.063,52.8897,25.5766,9.51781,0.146872,17.6484,37.2767,46.0432,33.9482,2.22352,79.9119,2.6659,2.03993,0.235705,2.76863,3.27622,1.12349,0.219402,0.121263,0.285445,0.42482,0.31998,0.479736,0.343692,0.799715,0.260334,3.41891,0.242137,,-0.125197,39.2693,6.03215,125.676,-0.125197,7.17,8.336409121751785,10.080493927001953,2.88104,18.729999542236328,,,,,,,367.9,5.331884057,367.9,5.331884057,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Fernando Tatis Jr.","SDP",78,334.79,294.051,82.6404,51.6147,15.2455,2.34126,13.439,52.0327,44.3948,34.65,1.29552,63.2241,3.20073,2.22442,0.663397,6.2593,14.6673,4.13807,0.281041,0.103498,0.188847,0.54805,0.360616,0.485921,0.367218,0.846537,0.20488,6.46276,0.315107,,0.759094,53.3236,13.5764,137.131,0.759094,3.2,15.63819169998169,-0.26219916343688965,2.66571,14.010000228881836,,,,,,,479.2,6.143589743,479.2,6.143589743,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Pete Crow-Armstrong","CHC",74,318.9,285.357,72.6478,41.9284,14.6763,2.0804,13.9627,48.0893,40.7988,22.9005,1.26982,79.0674,4.6729,2.47454,3.49551,3.33477,17.06,3.15368,0.254586,0.071811,0.247938,0.289633,0.317754,0.46739,0.338706,0.785144,0.212805,7.38062,0.301256,,1.74942,43.4475,5.58673,115.951,1.74942,6.29,7.837849974632263,7.431975245475769,2.60254,32.939998626708984,,,,,,,418.2,5.651351351,418.2,5.651351351,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Junior Caminero","TBR",78,338.036,304.298,84.2126,48.1409,13.3812,1.0363,21.6543,47.7888,60.9788,28.5461,2.36328,61.029,2.1191,2.70304,0.369535,7.11452,1.89821,0.740303,0.276744,0.084447,0.18054,0.467747,0.340211,0.541013,0.374948,0.881224,0.264269,3.30616,0.278883,,-0.329464,55.9515,15.8189,139.668,-0.329464,-2.83,15.4550921022892,-2.02753084897995,2.58386,16.479999542236328,,,,,,,510.6,6.546153846,510.6,6.546153846,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Gunnar Henderson","BAL",74,326.326,289.488,77.0266,46.1015,16.2328,1.51997,13.1724,47.571,42.1031,30.7162,1.20641,69.1815,3.23533,2.59374,0.293068,5.92781,8.88659,2.33189,0.266079,0.0941273,0.212001,0.443994,0.340389,0.469161,0.351052,0.809551,0.203082,5.51327,0.304463,,0.398155,47.714,8.97164,125.61,0.398155,0.03,10.235733807086945,3.4559259694069624,2.56843,12.510000228881836,,,,,,,435.7,5.887837837,435.7,5.887837837,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Corbin Carroll","ARI",74,318.48,275.985,72.0456,39.8293,15.9956,3.13229,13.0885,50.408,42.2673,34.5624,1.08232,64.6889,4.42115,2.09706,1.41415,4.45069,14.537,3.00111,0.261049,0.108523,0.203118,0.534286,0.350177,0.483979,0.36137,0.834156,0.222931,7.39769,0.294337,,1.25773,49.2213,11.4104,128.485,1.25773,5.92,12.116135358810425,2.6398582458496094,2.54896,14.100000381469727,,,,,,,450,6.081081081,450,6.081081081,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Nick Kurtz","ATH",73,315.002,264.717,71.5069,36.7374,14.1404,0.609497,20.0196,50.9289,52.8815,45.7456,3.6983,91.5967,2.4148,1.84668,0.277354,4.58694,3.09234,1.01192,0.270126,0.145223,0.290782,0.499424,0.380229,0.555027,0.398024,0.935256,0.284901,3.90834,0.332289,,-0.22792,58.0112,20.6133,153.556,-0.22792,-0.64,19.630656257271767,-6.272716164588928,2.49366,19.8700008392334,,,,,,,519.4,7.115068493,519.4,7.115068493,,,,,,,,,,,,,,,,,,,"Nick Kurtz","35110",701762
"Byron Buxton","MIN",64,274.154,246.326,65.2712,31.79,12.4955,2.69923,18.2865,44.2932,45.3426,21.4841,0.90083,71.5171,4.27399,1.73914,0.331141,2.73209,5.52691,1.55687,0.264979,0.0783651,0.260864,0.300405,0.332438,0.560333,0.378994,0.892771,0.295354,6.40544,0.29688,,0.163457,46.2741,13.7257,142.57,0.163457,0.24,13.90165764093399,0.18050270900130272,2.4198,73.4800033569336,,,,,,,419.9,6.5609375,419.9,6.5609375,,,,,,,,,,,,,,,,,,,"Byron Buxton","14161",621439
"Shea Langeliers","ATH",68,270.285,245.004,67.3459,35.3985,12.9644,1.40216,17.5808,41.4205,45.524,20.4965,0.827681,54.6004,2.30351,2.0905,0.391076,3.68258,2.56079,0.773435,0.274877,0.0758328,0.20201,0.375391,0.334005,0.55451,0.377779,0.888515,0.279633,4.63306,0.284513,,-0.110003,45.3557,13.2666,139.662,-0.110003,-2.08,12.509054616093636,1.430004358291626,2.3913,54.04999923706055,,,,,,,411.7,6.054411764,411.7,6.054411764,,,,,,,,,,,,,,,,,,,"Shea Langeliers","25816",669127
"Julio Rodríguez","SEA",75,327.117,296.167,80.9043,50.9485,13.6043,2.35517,13.9964,47.2425,43.7054,24.1777,1.50786,71.0718,4.44985,1.97767,0.345256,5.52558,11.5791,2.90896,0.273172,0.0739113,0.217267,0.340186,0.335194,0.476786,0.35097,0.811979,0.203614,6.33432,0.31401,,0.702417,47.808,8.97169,130.671,0.702417,-1.7,12.512824177742004,-0.6370749473571777,2.38683,9.489999771118164,,,,,,,439.6,5.861333333,439.6,5.861333333,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Francisco Lindor","NYM",73,306.44,267.848,70.5042,43.4163,13.764,0.707922,12.6161,43.848,39.7204,28.037,0.419044,54.9056,4.91317,2.29023,0.364063,4.68586,9.90175,3.25384,0.263225,0.0914925,0.179173,0.510639,0.341334,0.461203,0.350167,0.802537,0.197978,5.09624,0.285703,,0.235693,44.5872,8.20582,125.188,0.235693,0.93,9.47422057390213,4.0673622488975525,2.38591,25.350000381469727,,,,,,,407.7,5.584931506,407.7,5.584931506,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"William Contreras","MIL",75,301.829,264.187,71.7091,47.5781,13.6538,0,10.4772,36.9575,42.259,32.7121,1.66708,50.9997,2.20802,2.22332,0.498659,7.38157,2.33481,0.936035,0.271434,0.10838,0.168969,0.641416,0.353862,0.442092,0.348597,0.795954,0.170658,2.68724,0.29879,,-0.346141,43.5335,7.69958,121.594,-0.346141,1.33,7.455311834812164,5.474265217781067,2.30854,56.560001373291016,,,,,,,379.8,5.064,379.8,5.064,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Mookie Betts","LAD",72,312.692,275.185,74.1462,45.8813,15.5733,0.948656,11.743,43.6171,41.5367,30.8989,0.733836,38.392,2.7295,3.00927,0.433989,4.23789,3.82184,1.43445,0.269441,0.0988156,0.122779,0.804827,0.345627,0.460947,0.35118,0.806574,0.191506,4.21856,0.273627,,-0.243754,45.7528,8.62902,123.093,-0.243754,-0.09,8.39940431714058,3.243333250284195,2.21365,60.58000183105469,,,,,,,411.1,5.709722222,411.1,5.709722222,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Corey Seager","TEX",62,261.214,223.817,58.7573,33.6203,11.4072,0.0252431,13.7045,35.1032,40.6978,30.576,3.28132,54.4347,2.46481,2.0972,0.251718,4.85664,0.978914,0.37423,0.262523,0.117053,0.208391,0.5617,0.354494,0.497408,0.365321,0.851902,0.234884,2.25811,0.28555,,-0.293199,41.2047,10.1925,135.363,-0.293199,-0.01,10.5804503262043,1.7703562881797552,2.19724,95.08999633789062,,,,,,,370.8,5.980645161,370.8,5.980645161,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Dansby Swanson","CHC",76,325.876,288.927,72.1383,43.9774,13.4623,1.16763,13.531,44.3998,43.5054,29.1409,0.413628,79.903,1.81775,2.45482,0.88277,5.0766,7.99822,2.22067,0.249677,0.0894233,0.245194,0.364704,0.319839,0.444849,0.333085,0.764689,0.195173,5.34216,0.296075,,0.289234,42.9182,4.22918,112.157,0.289234,2.39,5.031092643737793,5.908518552780151,2.18571,152.30999755859375,,,,,,,391.8,5.155263157,391.8,5.155263157,,,,,,,,,,,,,,,,,,,"Dansby Swanson","18314",621020
"Ketel Marte","ARI",71,304.59,267.751,73.5129,43.546,15.5675,0.825376,13.574,42.2677,46.9736,31.0007,1.39751,45.6934,3.16465,2.18436,0.325357,6.40525,1.8507,0.699704,0.274557,0.101779,0.150016,0.678451,0.354087,0.490953,0.365509,0.84504,0.216396,3.52112,0.284518,,-0.321516,48.0931,11.9313,131.278,-0.321516,0.23,11.081853687763214,0.5465294569730759,2.18548,32.63999938964844,,,,,,,433.1,6.1,433.1,6.1,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Miguel Vargas","CHW",73,313.755,273.717,70.3251,39.1501,15.2027,1.30953,14.6627,43.3285,43.2836,33.5302,0.488287,56.8997,3.51779,2.51746,0.47189,3.85597,5.33506,1.89459,0.256926,0.106868,0.181351,0.589286,0.342735,0.482743,0.357839,0.825478,0.225817,4.67987,0.271958,,-0.11498,47.5962,10.3463,128.556,-0.11498,-0.8,10.431699141860008,-0.2924365997314453,2.16223,303.0899963378906,,,,,,,426.1,5.836986301,426.1,5.836986301,,,,,,,,,,,,,,,,,,,"Miguel Vargas","20178",678246
"Elly De La Cruz","CIN",76,328.236,293.081,76.4223,46.0276,15.4179,1.60294,13.3739,49.2499,40.3763,30.4341,1.81019,90.2196,1.88353,2.0509,0.786617,5.01262,17.5222,4.75617,0.260755,0.0927203,0.274862,0.337334,0.332082,0.461196,0.343554,0.793278,0.200441,6.62142,0.329169,,1.13617,46.005,7.03586,112.584,1.13617,1.19,6.080273509025574,4.33814811706543,2.14055,8.449999809265137,,,,,,,425.9,5.603947368,425.9,5.603947368,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Adley Rutschman","BAL",68,280.292,245.485,64.1326,40.8885,13.0282,0.544981,9.67088,35.6116,35.2047,29.9901,0.674655,42.5614,1.91755,2.55468,0.344801,5.3323,0.714866,0.255697,0.261248,0.106996,0.151846,0.704632,0.343065,0.436945,0.341973,0.78001,0.175696,2.708,0.278139,,-0.343176,38.9274,5.65027,119.379,-0.343176,2.74,6.050874650478363,4.838765382766724,2.11768,148.92999267578125,,,,,,,348.7,5.127941176,348.7,5.127941176,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Kevin McGonigle","DET",75,320.01,279.471,72.8866,45.9376,15.9712,1.52462,9.45319,42.5309,36.601,35.2261,0.496669,46.5188,2.03579,2.39409,0.883392,4.77605,6.528,1.91847,0.260802,0.110078,0.145367,0.757244,0.345156,0.430337,0.341188,0.775493,0.169535,4.95923,0.280812,,0.0768456,44.2404,6.24791,117.135,0.0768456,0,6.531523667275906,2.7247300148010254,2.09512,999,,,,,,,390.9,5.212,390.9,5.212,,,,,,,,,,,,,,,,,,,"Kevin McGonigle","33572",805808
"Vladimir Guerrero Jr.","TOR",76,328.846,287.155,84.3203,55.7477,15.2029,0.500394,12.8693,46.3135,44.6031,35.2968,3.6236,39.5532,3.67076,2.34495,0.379136,8.24935,3.09213,1.31652,0.293641,0.107335,0.120279,0.892388,0.375343,0.484519,0.372213,0.859861,0.190878,3.24123,0.301383,,-0.405969,53.7041,14.6625,139.286,-0.405969,0.13,14.801768690347672,-5.877810597419739,2.09325,18.049999237060547,,,,,,,474.7,6.246052631,474.7,6.246052631,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Pete Alonso","BAL",74,326.326,284.726,74.5993,41.8857,13.3177,0.167058,19.2289,46.4831,52.2773,32.7494,1.92228,73.8462,5.84813,2.65169,0.350151,5.73551,1.41894,0.599937,0.262003,0.100358,0.226296,0.44348,0.347255,0.512554,0.369314,0.859809,0.250551,2.51349,0.284969,,-0.378518,52.5282,13.7858,138.143,-0.378518,0.17,14.27325052022934,-5.730205610394478,2.04547,24.440000534057617,,,,,,,467.4,6.316216216,467.4,6.316216216,,,,,,,,,,,,,,,,,,,"Pete Alonso","19251",624413
"Dillon Dingler","DET",63,248.897,226.54,58.2644,36.2268,11.1579,1.645,9.23456,31.0966,32.2714,16.2292,0.431156,57.1562,4.05833,1.7145,0.354347,3.86848,0.683341,0.262844,0.257192,0.0652045,0.229638,0.283945,0.31605,0.443259,0.330323,0.759309,0.186067,3.70212,0.302907,,-0.267809,32.2245,2.67479,109.678,-0.267809,4.78,2.5677962005138397,8.632880926132202,2.03597,254.6199951171875,,,,,,,287.6,4.565079365,287.6,4.565079365,,,,,,,,,,,,,,,,,,,"Dillon Dingler","27464",693307
"Bryce Harper","PHI",76,333.376,285.346,80.7407,47.9211,17.218,0.748969,14.8526,48.759,50.1391,42.5395,3.12608,65.1907,2.436,2.50496,0.549143,6.37609,5.9021,2.09099,0.282957,0.127602,0.195547,0.65254,0.377723,0.504701,0.38051,0.882424,0.221744,4.07599,0.317062,,-0.156882,56.6784,17.099,140.78,-0.156882,-1.1,16.115691766142845,-7.036744236946106,2.02144,47.900001525878906,,,,,,,505.4,6.65,505.4,6.65,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"James Wood","WSN",74,317.017,271.607,73.4916,42.7851,14.5034,0.990434,15.2126,47.3009,48.1868,41.244,3.18948,90.3795,2.40867,1.50682,0.250779,5.50151,9.04645,2.57896,0.270581,0.1301,0.285093,0.456343,0.369813,0.499302,0.375033,0.869115,0.228721,5.18747,0.34789,,0.304856,52.4942,14.8571,138.705,0.304856,-0.7,14.99163430929184,-5.50581282377243,2.00883,37.790000915527344,,,,,,,464.7,6.279729729,464.7,6.279729729,,,,,,,,,,,,,,,,,,,"James Wood","29518",695578
"Jackson Chourio","MIL",74,318.875,291.374,80.073,49.4288,14.7012,2.47712,13.4659,44.374,46.7995,22.2526,1.22897,66.8929,2.18465,2.28858,0.775176,4.83517,10.6958,2.87264,0.274811,0.0697846,0.209778,0.33266,0.328545,0.480914,0.348689,0.809459,0.206103,6.15718,0.312264,,0.569416,46.0157,8.15793,121.656,0.569416,3.45,8.834970831871033,0.07427096366882324,1.95639,19.3799991607666,,,,,,,418.6,5.656756756,418.6,5.656756756,,,,,,,,,,,,,,,,,,,"Jackson Chourio","28806",694192
"Colson Montgomery","CHW",72,309.77,275.081,61.8493,33.2848,11.8056,0.330654,16.4282,38.1423,45.4934,26.5083,1.38921,92.5902,5.75656,2.1457,0.279237,4.31392,1.77691,0.652356,0.224841,0.0855742,0.2989,0.286297,0.304093,0.449326,0.326389,0.753419,0.224485,2.98326,0.27003,,-0.252594,39.1215,2.34472,106.973,-0.252594,2.84,2.2899153232574463,5.926419734954834,1.95253,254.75,,,,,,,357.4,4.963888888,357.4,4.963888888,,,,,,,,,,,,,,,,,,,"Colson Montgomery","29712",695657
"Manny Machado","SDP",74,320.798,286.988,73.9987,45.0891,13.7047,0,15.2049,41.1032,47.7544,29.1597,1.83623,61.166,1.12803,2.92163,0.509023,5.6268,3.2727,1.469,0.257846,0.0908974,0.190668,0.476731,0.325694,0.464543,0.341144,0.790237,0.206697,2.99181,0.275331,,-0.340227,44.338,6.25185,119.533,-0.340227,1.09,7.159896731376648,1.249630942940712,1.91197,37.52000045776367,,,,,,,401.9,5.431081081,401.9,5.431081081,,,,,,,,,,,,,,,,,,,"Manny Machado","11493",592518
"Jazz Chisholm Jr.","NYY",68,295.226,260.724,61.2763,35.7837,10.8522,0.954081,13.6863,43.7963,36.5821,29.4219,0.645924,79.7534,2.47438,2.04303,0.562458,3.95239,17.0073,3.93995,0.235024,0.0996592,0.270144,0.368911,0.3162,0.441447,0.330321,0.757647,0.206423,6.38176,0.281053,,1.42045,38.2223,3.17228,111.064,1.42045,2.02,5.265610218048096,2.971765637397766,1.90218,19.520000457763672,,,,,,,363.9,5.351470588,363.9,5.351470588,,,,,,,,,,,,,,,,,,,"Jazz Chisholm Jr.","20454",665862
"Xander Bogaerts","SDP",72,310.805,273.679,72.7868,49.8912,13.7102,0.667723,8.51774,40.1984,36.0639,27.4332,0.612002,53.1017,2.83149,2.90361,0.602754,6.45774,8.77475,3.02824,0.265957,0.0882652,0.170852,0.516617,0.33584,0.414301,0.330285,0.750141,0.148345,4.77673,0.298977,,0.084497,40.2302,3.33055,112.204,0.084497,0.57,4.624425463378429,3.9033332467079163,1.89103,237.1999969482422,,,,,,,364.4,5.061111111,364.4,5.061111111,,,,,,,,,,,,,,,,,,,"Xander Bogaerts","12161",593428
"Andy Pages","LAD",69,299.579,272.791,72.5717,43.5314,14.3381,2.02165,12.6805,43.4843,40.8113,19.5622,0.514929,62.1249,4.32973,2.56303,0.333126,3.7517,5.91322,1.87308,0.266034,0.0652989,0.207374,0.314885,0.322355,0.47287,0.343522,0.795225,0.206836,5.58739,0.298636,,0.0559724,41.9809,6.41401,117.925,0.0559724,1.2,6.483527522534132,2.2164140939712524,1.87151,133.4199981689453,,,,,,,387.8,5.620289855,387.8,5.620289855,,,,,,,,,,,,,,,,,,,"Andy Pages","24816",681624
"Taylor Ward","BAL",72,320.188,275.381,70.4821,43.1692,14.1882,0.649623,12.4751,43.0085,40.8628,38.5413,0.404487,71.6398,3.15286,2.75365,0.359033,4.99218,2.41104,0.858244,0.255944,0.120371,0.223743,0.537988,0.350738,0.448087,0.350601,0.798826,0.192144,3.42968,0.298974,,-0.317907,46.6999,8.68628,125.301,-0.317907,1.1,9.218020230531693,-2.2333332300186157,1.86503,148.42999267578125,,,,,,,403.1,5.598611111,403.1,5.598611111,,,,,,,,,,,,,,,,,,,"Taylor Ward","17548",621493
"Freddie Freeman","LAD",75,326.814,285.351,79.8815,48.7375,16.6192,0.235895,14.2889,47.2341,47.414,34.6013,2.78459,57.2711,3.84489,2.65495,0.361551,6.18198,2.7895,0.992594,0.279941,0.105875,0.175241,0.604167,0.362465,0.49006,0.368174,0.852525,0.210119,3.35311,0.303043,,-0.29739,52.3058,13.5055,134.563,-0.29739,0.3,13.222847372293472,-5.51114958524704,1.86093,67.87999725341797,,,,,,,463.8,6.184,463.8,6.184,,,,,,,,,,,,,,,,,,,"Freddie Freeman","5361",518692
"Aaron Judge","NYY",34,147.613,120.348,35.3005,16.7858,6.16403,0.077835,12.2728,25.7675,30.0455,24.5516,3.80786,37.5371,1.45407,0.987311,0.143642,1.94021,2.33061,0.8187,0.29332,0.166324,0.254294,0.654061,0.416084,0.651766,0.44313,1.06785,0.358446,3.53308,0.321951,,-0.0777158,32.5635,15.0384,188.483,-0.0777158,-0.46,15.29716121405363,-2.3269250094890594,1.85017,1.850000023841858,,,,,,,285.2,8.388235294,285.2,8.388235294,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Mike Trout","LAA",57,239.923,200.216,50.862,27.5461,8.90589,1.37628,13.0337,34.5325,35.3371,34.8882,3.32022,65.9788,3.09234,1.50639,0.220267,2.89698,2.68531,0.784524,0.254036,0.145414,0.275,0.528779,0.370636,0.50756,0.376763,0.878197,0.253525,4.66332,0.308274,,-0.115193,40.0638,11.5794,140.616,-0.115193,-1.62,11.355750061571598,-2.0241541862487793,1.81373,178.44000244140625,,,,,,,356.5,6.254385964,356.5,6.254385964,,,,,,,,,,,,,,,,,,,"Mike Trout","10155",545361
"Riley Greene","DET",74,316.059,279.014,71.7957,42.2284,14.5173,0.556589,14.4935,42.6679,44.7068,31.9895,0.652726,86.8581,2.57414,2.23517,0.246968,5.5105,1.39714,0.485309,0.25732,0.101214,0.274816,0.368296,0.33678,0.469176,0.350226,0.805956,0.211856,3.0887,0.318527,,-0.322757,46.0019,8.47838,123.337,-0.322757,1.31,8.359831780195236,-2.308258533477783,1.75535,78.4800033569336,,,,,,,411.9,5.566216216,411.9,5.566216216,,,,,,,,,,,,,,,,,,,"Riley Greene","25976",682985
"Ben Rice","NYY",72,310.288,270.213,69.4782,38.4605,13.905,0.863347,16.2493,43.7207,45.9079,33.2168,0.932425,65.8057,4.37736,2.16787,0.312958,5.36565,2.56721,0.850865,0.257124,0.107051,0.212079,0.50477,0.345422,0.495379,0.363428,0.840801,0.238255,3.81704,0.279672,,-0.234363,48.4712,11.6329,133.785,-0.234363,-0.21,12.105701386928558,-5.863235428929329,1.75391,53.189998626708984,,,,,,,427,5.930555555,427,5.930555555,,,,,,,,,,,,,,,,,,,"Ben Rice","29576",700250
"Iván Herrera","STL",74,305.661,262.895,70.7349,48.6855,12.548,0.295659,9.20567,40.0732,36.3704,32.7225,1.25961,53.7311,7.68108,1.89422,0.467295,7.68308,3.70517,1.51461,0.269061,0.107055,0.175787,0.609006,0.364158,0.424089,0.349445,0.788247,0.155029,3.55459,0.304822,,-0.347962,44.2956,8.00674,123.553,-0.347962,1.86,8.269139260053635,-0.9568723440170288,1.75061,178.42999267578125,,,,,,,381.9,5.16081081,381.9,5.16081081,,,,,,,,,,,,,,,,,,,"Ivan Herrera","20599",671056
"Brice Turang","MIL",76,329.906,289.971,74.8418,51.6305,13.6198,1.46693,8.12451,42.2006,35.6031,34.289,1.17385,74.4079,1.26981,2.13544,2.24011,5.81385,13.9486,3.09133,0.258101,0.103936,0.225543,0.460825,0.336931,0.399243,0.325624,0.736174,0.141142,5.80763,0.318346,,1.05906,41.4604,2.29306,106.089,1.05906,1.7,3.4634592533111572,2.8977935314178467,1.73395,48.18000030517578,,,,,,,374.7,4.930263157,374.7,4.930263157,,,,,,,,,,,,,,,,,,,"Brice Turang","22186",668930
"Kyle Schwarber","PHI",76,336.435,280.354,65.3829,31.8,11.5465,0.196153,21.8403,49.8587,58.9482,50.2978,1.91752,98.6546,3.89865,1.61056,0.273433,4.51351,2.51401,0.959187,0.233215,0.149503,0.293236,0.509838,0.35572,0.509508,0.373097,0.865228,0.276292,3.0616,0.269664,,-0.337001,55.1836,15.2411,135.777,-0.337001,0,14.070096760988235,-8.138070106506348,1.71188,24.690000534057617,,,,,,,490.5,6.453947368,490.5,6.453947368,,,,,,,,,,,,,,,,,,,"Kyle Schwarber","16478",656941
"Will Smith","LAD",43,171.476,146.71,40.3084,23.9528,7.00604,0.775575,8.57401,25.8171,25.5801,19.264,0.654395,31.8082,2.94166,2.04586,0.196768,2.54422,0.822406,0.28825,0.274749,0.112342,0.185496,0.605629,0.365661,0.508402,0.376855,0.874063,0.233653,3.76031,0.292824,,-0.19467,28.647,8.28878,140.422,-0.19467,-0.15,8.101862877607346,2.8783389031887054,1.68072,95.69000244140625,,,,,,,255.5,5.941860465,255.5,5.941860465,,,,,,,,,,,,,,,,,,,"Will Smith","19197",669257
"Matt Chapman","SFG",75,318.681,277.047,66.0235,39.9749,13.9073,1.34307,10.7983,40.7748,36.4316,35.2223,0.587533,72.4044,3.63089,2.45529,0.325885,5.02153,3.44076,1.05076,0.238312,0.110525,0.2272,0.486466,0.329433,0.415135,0.328409,0.744568,0.176823,4.38533,0.281332,,-0.158666,40.7669,2.93213,109.599,-0.158666,1.44,3.5029397755861282,2.5974074602127075,1.67044,163.6199951171875,,,,,,,362.2,4.829333333,362.2,4.829333333,,,,,,,,,,,,,,,,,,,"Matt Chapman","16505",656305
"Drake Baldwin","ATL",70,278.6,248.343,65.0208,42.0194,11.511,0.402629,11.0878,35.6416,37.4658,25.0253,0.58338,55.8538,2.75116,2.1875,0.292739,6.21772,0.733078,0.245945,0.261818,0.0898253,0.20048,0.448051,0.333435,0.445354,0.340169,0.778788,0.183535,2.51362,0.29377,,-0.320156,38.2864,5.21018,114.687,-0.320156,2.25,4.577445685863495,2.734248608350754,1.66132,78.62999725341797,,,,,,,340.1,4.858571428,340.1,4.858571428,,,,,,,,,,,,,,,,,,,"Drake Baldwin","31539",686948
"Cody Bellinger","NYY",71,308.28,272.651,69.7843,43.0468,14.108,0.906257,11.7233,39.7809,38.9136,30.3127,0.914016,45.6695,1.64559,3.3887,0.281405,4.17085,6.76141,1.74364,0.255947,0.0983284,0.148143,0.66374,0.330335,0.44333,0.33683,0.773665,0.187383,4.7558,0.265547,,0.241174,41.5334,4.93351,115.531,0.241174,2.19,5.87731397151947,-0.5857200622558594,1.65008,80.98999786376953,,,,,,,381.8,5.377464788,381.8,5.377464788,,,,,,,,,,,,,,,,,,,"Cody Bellinger","15998",641355
"Jackson Merrill","SDP",74,320.798,291.178,76.2609,46.947,16.4807,1.65245,11.1808,42.1788,40.6457,23.4847,1.15396,69.5956,1.73389,2.53044,1.87156,4.17121,8.90504,2.11876,0.261905,0.073207,0.216945,0.337445,0.31819,0.44505,0.330764,0.763241,0.183145,5.53388,0.305638,,0.531216,41.6479,3.56179,112.527,0.531216,-0.61,5.3412768840789795,0.43374085426330566,1.64438,70.79000091552734,,,,,,,382.3,5.166216216,382.3,5.166216216,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
