Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Hayden Senger","NYM",1,2.93712,2.69402,0.531444,0.370877,0.0953315,0.0040486,0.0611868,0.262593,0.256342,0.155636,0,0.933931,0.0406916,0.016996,0.0297808,0.0475054,0.014108,0.00530994,0.197268,0.0529894,0.317975,0.166646,0.250322,0.303796,0.248159,0.554119,0.106528,3.2538,0.274059,,-0.00236435,0.185314,-0.163389,56.3395,-0.00236435,-0.02,-0.15585544006899,0.05716049298644066,-0.000340004,999,,,,,,,2.6,2.6,2.6,2.6,,,,,,,,,,,,,,,,,,,"Hayden Senger","21489",663584
"Drew Waters","KCR",2,7.06451,6.48821,1.45529,0.96003,0.342037,0.0316738,0.121544,0.76272,0.666244,0.462647,0.00237692,2.03822,0.0581277,0.0405114,0.0150125,0.110226,0.150993,0.0506969,0.224297,0.065489,0.288515,0.226986,0.280313,0.342977,0.276976,0.623289,0.11868,5.22944,0.305277,,0.00145857,0.610187,-0.228531,70.285,0.00145857,-0.04,-0.24564863927662373,-0.009135803207755089,-0.000383286,999,,,,,,,-0.4,-0.2,-0.4,-0.2,,,,,,,,,,,,,,,,,,,"Drew Waters","20505",671221
"Kevin Alcántara","CHC",7,29.8969,27.3448,6.3452,4.3201,1.08648,0.105328,0.833296,3.41966,3.29207,2.13253,0.0447318,8.94301,0.183506,0.174857,0.0612601,0.502272,0.528551,0.0910727,0.232044,0.0713293,0.299128,0.238457,0.290298,0.370902,0.291832,0.6612,0.138857,5.09703,0.310647,,0.0333158,2.94112,-0.608327,84.3148,0.0333158,-0.22,-0.5279764048755169,-0.4480521231889725,-0.000557394,999,,,,,,,26.8,3.828571428,26.8,3.828571428,,,,,,,,,,,,,,,,,,,"Kevin Alcantara","25971",682634
"Sterlin Thompson","COL",5,23.7186,21.2843,5.34533,3.68687,1.09505,0.0821832,0.481232,2.79698,2.52692,1.85198,0.0246367,5.5066,0.415094,0.134033,0.0331888,0.466525,0.443997,0.12611,0.25114,0.0780813,0.232164,0.336319,0.321397,0.37814,0.311427,0.699537,0.127,4.74761,0.315227,,0.00542704,2.70877,-0.107168,82.1725,0.00542704,0,-0.5006892941892147,-0.275573194026947,-0.000638747,999,,,,,,,15.9,3.18,15.9,3.18,,,,,,,,,,,,,,,,,,,"Sterlin Thompson","31443",694514
"Nick Morabito","NYM",1,2.93712,2.68356,0.643414,0.486523,0.105682,0.0094478,0.0417616,0.339923,0.237851,0.196747,0.00272283,0.777778,0.0348668,0.0143789,0.00757363,0.0561178,0.122498,0.0189385,0.239762,0.0669864,0.26481,0.252961,0.29869,0.33287,0.283255,0.631561,0.0931087,5.98781,0.320301,,0.0129027,0.268589,-0.0801143,80.027,0.0129027,0,-0.05731343012303114,-0.046296294778585434,-0.000839213,999,,,,,,,2.6,2.6,2.6,2.6,,,,,,,,,,,,,,,,,,,"Nick Morabito","32119",703492
"Zach Dezenzo","HOU",3,13.1605,11.8822,2.6654,1.78357,0.502676,0.0343047,0.344852,1.48457,1.32478,1.06892,0.00395196,4.07923,0.115634,0.0711621,0.0225496,0.203413,0.220994,0.0622615,0.224319,0.0812223,0.30996,0.262041,0.293042,0.359465,0.290532,0.652507,0.135147,4.63497,0.308203,,0.00284295,1.28085,-0.281605,83.2022,0.00284295,-0.08,-0.25738359708338976,-0.21888887882232666,-0.000879987,999,,,,,,,10.7,3.566666666,10.7,3.566666666,,,,,,,,,,,,,,,,,,,"Zach Dezenzo","31562",701305
"Davis Wendzel","PIT",2,7.1098,6.423,1.34967,0.886714,0.287497,0.00999578,0.165464,0.67709,0.740841,0.515067,0.00459791,1.53115,0.105212,0.0523505,0.0141724,0.109238,0.0353467,0.00939676,0.210131,0.0724446,0.215358,0.336391,0.277629,0.335288,0.273949,0.612916,0.125157,2.92091,0.247808,,-0.00473897,0.596715,-0.247381,68.5878,-0.00473897,0,-0.272056776098907,0.03086419589817524,-0.00105511,999,,,,,,,2.6,1.3,2.6,1.3,,,,,,,,,,,,,,,,,,,"Davis Wendzel","26469",673995
"DaShawn Keirsey Jr.","ATL",1,2.93263,2.71639,0.591649,0.419157,0.116689,0.0102345,0.0455681,0.310622,0.249982,0.162828,0.00492893,0.835664,0.0282432,0.0179117,0.00725517,0.0482345,0.0828403,0.0201107,0.217807,0.0555229,0.284954,0.194849,0.267563,0.318626,0.260864,0.586188,0.100819,5.51815,0.29469,,0.00506795,0.215131,-0.133039,61.1617,0.00506795,0.01,-0.1312614604830742,0.025432097725570202,-0.00107948,999,,,,,,,2.6,2.6,2.6,2.6,,,,,,,,,,,,,,,,,,,"DaShawn Keirsey Jr.","24496",680577
"Jose Fernandez","ARI",14,60.5211,56.5285,13.9544,9.89624,2.56152,0.436641,1.05996,6.89074,5.87323,2.80588,0.0324339,13.9706,0.309178,0.358858,0.518697,1.01141,1.50005,0.372165,0.246855,0.0463619,0.230839,0.200841,0.284479,0.36387,0.285016,0.648349,0.117015,6.0631,0.30806,,0.0778143,5.62053,-1.56472,76.9518,0.0778143,0,-1.5917995125055313,-0.38408780097961426,-0.00113708,999,,,,,,,52.3,3.735714285,52.3,3.735714285,,,,,,,,,,,,,,,,,,,"Jose Fernandez","28020",699912
"Brewer Hicklen","ATL",1,2.93263,2.66294,0.584225,0.37349,0.105302,0.0136294,0.0918024,0.351822,0.317974,0.20074,0.00803711,0.868788,0.0465328,0.0166523,0.00576232,0.0445677,0.0762924,0.010828,0.219391,0.0684505,0.296249,0.231058,0.284091,0.372593,0.289384,0.656684,0.153202,6.10874,0.286458,,0.00755323,0.282698,-0.0654726,80.4104,0.00755323,0,-0.06120964093133807,-0.046296294778585434,-0.00124978,999,,,,,,,2.6,2.6,2.6,2.6,,,,,,,,,,,,,,,,,,,"Brewer Hicklen","20450",676551
"Sam Haggerty","CIN",1,3.00216,2.68568,0.642481,0.465049,0.116101,0.0141031,0.0472274,0.369137,0.236277,0.243316,0.00341508,0.677979,0.03777,0.0164743,0.0189196,0.0504422,0.147207,0.0377277,0.239225,0.0810469,0.22583,0.358884,0.309585,0.345711,0.293946,0.655296,0.106487,6.28652,0.301097,,0.00993999,0.300464,-0.0559613,79.1025,0.00993999,0,-0.0651532281190157,-0.046296294778585434,-0.00142108,999,,,,,,,2.6,2.6,2.6,2.6,,,,,,,,,,,,,,,,,,,"Sam Haggerty","18054",664059
"Christian Franklin","WSN",2,6.95648,6.14557,1.39361,1.00041,0.258436,0.024156,0.1106,0.751942,0.614164,0.661273,0.00253905,1.81236,0.0866247,0.0344521,0.0285659,0.145207,0.153226,0.0315935,0.226766,0.0950586,0.260528,0.364869,0.309112,0.33067,0.289878,0.639782,0.103904,4.91199,0.301383,,0.00838474,0.673366,-0.152528,81.2328,0.00838474,0,-0.14788038097321987,-0.09259258955717087,-0.00148756,999,,,,,,,2.6,1.3,2.6,1.3,,,,,,,,,,,,,,,,,,,"Christian Franklin","sa3017510",681047
"Matthew Lugo","KCR",3,13.1198,12.1157,2.82755,1.77362,0.599352,0.115441,0.33914,1.54182,1.40011,0.73906,0.010663,3.82757,0.141963,0.0769808,0.0460625,0.164259,0.254408,0.0802619,0.233379,0.0563317,0.29174,0.193089,0.283666,0.385879,0.293247,0.669545,0.1525,6.03794,0.310044,,0.00378037,1.30566,-0.251962,81.4515,0.00378037,-0.06,-0.2826801191549748,-0.1988888792693615,-0.00156482,999,,,,,,,10.7,3.566666666,10.7,3.566666666,,,,,,,,,,,,,,,,,,,"Matthew Lugo","25980",683090
"Kristian Campbell","BOS",3,13.9709,12.3526,2.87114,2.0646,0.485612,0.0488992,0.272032,1.52325,1.32723,1.31493,0.0120619,4.03889,0.199046,0.0752423,0.0291647,0.293455,0.130139,0.0480513,0.232433,0.0941189,0.289092,0.325567,0.314531,0.34573,0.29765,0.66026,0.113297,4.12392,0.32021,,-0.0126369,1.44006,-0.218613,83.2868,-0.0126369,-0.18,-0.2874986194074154,-0.2262963056564331,-0.00176631,746.1400146484375,,,,,,,7.8,2.6,7.8,2.6,,,,,,,,,,,,,,,,,,,"Kristian Campbell","33644",692225
"Tyler Locklear","ARI",6,26.788,24.1202,5.75185,3.8733,1.14415,0.0924718,0.641929,3.09384,2.99362,1.99213,0.0756358,7.02382,0.469863,0.165797,0.0400266,0.520473,0.419276,0.146754,0.238466,0.0743665,0.2622,0.283625,0.307082,0.37341,0.301623,0.680492,0.134944,4.54064,0.307451,,-0.00978656,2.84717,-0.333184,88.1606,-0.00978656,-0.04,-0.38940040208399296,-0.5029629543423653,-0.00231032,999,,,,,,,27.9,4.65,27.9,4.65,,,,,,,,,,,,,,,,,,,"Tyler Locklear","31396",682988
