Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Ronan Kopp","LAD",0.224111,0.0886733,0,4.31126,5,0,0,0,,3.42359,15.2037,2.82977,1.76,1.64,0.367775,2.18746,0.077476,0.200315,3.74203,9.83713,5.75044,1.71067,0.966814,0.246127,0.143877,0.10224959254264832,0.220801,1.46549,0.282789,0.723452,,,4.40849,0.00523689,-0.0413067,999,,,,,,,16.400000000000002,5.466666666666668,17,5.666666666666667,,,,,,,,,,,,,,,,,,,"Ronan Kopp","sa3017751",691947
"Simeon Woods Richardson","TOR",0.176003,0.140708,0,4.66488,5,0,0,0.3166,,3.39558,14.8168,3.19684,1.89,1.76,0.451373,1.51663,0.0786592,0.109023,2.86384,7.59062,4.01983,1.88829,1.19636,0.193284,0.102359,0.09092479199171066,0.242348,1.38812,0.277997,0.691765,,,4.58321,0.00514493,-0.0413067,664.0399780273438,,,,,,,14.400000000000002,4.800000000000001,15,5,,,,,,,,,,,,,,,,,,,"Simeon Woods Richardson","24494",680573
"Beau Brieske","DET",0.466599,0.407361,0,4.67682,12,0,0,0.2944,,7.73603,33.9292,7.3366,4.33,4.02,1.04522,3.59584,0.188275,0.216557,6.42084,7.46993,4.18336,1.78563,1.21599,0.189242,0.105981,0.08326166123151779,0.243605,1.41319,0.277756,0.697259,,,4.68055,0.00513573,0.0243444,999,,,,,,,28.700000000000006,3.587500000000001,27,3.375,,,,,,,,,,,,,,,,,,,"Beau Brieske","26079",689225
"Luis Curvelo","TEX",0.448318,0.373531,0,4.57412,13,0,0,0.3019,,7.55554,32.6562,7.07333,4.14,3.84,1.10261,2.91498,0.186162,0.332486,6.12227,7.29272,3.47226,2.10028,1.3134,0.187477,0.0892628,0.09821395576000214,0.240518,1.32198,0.269147,0.692546,,,4.67164,0.00492656,0.0243443,999,,,,,,,31.700000000000006,3.962500000000001,30,3.75,,,,,,,,,,,,,,,,,,,"Luis Curvelo","24710",681168
"McCade Brown","COL",0.13391,0.136954,0,5.12511,4,0,0,0.28,,3.14335,13.9478,3.16494,1.93,1.79,0.507347,1.31403,0.0842394,0.18225,3.27405,9.37423,3.76231,2.49162,1.45263,0.234736,0.0942104,0.1405256986618042,0.254181,1.4249,0.306524,0.676355,,,4.54879,0.00459556,-0.0412194,999,,,,,,,5.100000000000002,1.7000000000000008,5,1.6666666666666667,,,,,,,,,,,,,,,,,,,"McCade Brown","30004",685326
"Bryan Hudson","CHW",0.882459,1.20977,0,4.70045,30,0,1.456,5.1425,,21.9426,96.8689,20.4533,12.36,11.46,2.82055,9.85301,0.467738,2.18095,19.6206,8.04761,4.04133,1.99133,1.15688,0.202548,0.101715,0.10083292424678802,0.241095,1.38116,0.282603,0.680879,,,4.63366,0.00423972,-0.0344495,999,,,,,,,102.9,4.677272727272728,100,4.545454545454546,,,,,,,,,,,,,,,,,,,"Bryan Hudson","19924",663542
"Geoff Hartlieb","ATH",0.928152,0.837933,0,5.06907,26,0,0,4.7313,,18.1808,81.2124,18.4192,11,10.24,2.62755,8.41673,0.468605,0.951005,16.9055,8.36867,4.16651,2.00856,1.30071,0.208164,0.103639,0.10452538728713989,0.256375,1.47605,0.301876,0.68384,,,4.67053,0.00422242,-0.147341,999,,,,,,,76.50000000000001,4.250000000000001,78,4.333333333333333,,,,,,,,,,,,,,,,,,,"Geoff Hartlieb","19558",664129
"Cam Sanders","PIT",0.444959,0.445991,0,4.67932,14,0,0,0.2984,,8.28966,37.3881,7.14946,4.61,4.31,1.01912,5.44096,0.308381,0.501287,9.00358,9.7751,5.9072,1.65478,1.10644,0.240814,0.145527,0.09528763592243195,0.227358,1.51881,0.286156,0.714857,,,4.68211,0.003823,-0.0767428,999,,,,,,,28.700000000000006,3.587500000000001,27,3.375,,,,,,,,,,,,,,,,,,,"Cam Sanders","23479",676742
"Keegan Akin","BAL",0.729956,0.541243,0,4.69704,19,0,0,0.3122,,12.1289,52.4646,11.9562,6.83,6.33,1.98586,4.15981,0.23159,0.402954,9.97341,7.40056,3.0867,2.39756,1.47357,0.190098,0.079288,0.11080976575613022,0.249598,1.32873,0.277396,0.696322,,,4.71816,0.00380927,-0.0647212,999,,,,,,,41.000000000000014,3.416666666666668,42,3.5,,,,,,,,,,,,,,,,,,,"Keegan Akin","19362",669211
"Jared Shuster","STL",0.2432,0.337367,0,4.92124,9,0,0,0.3495,,6.87631,30.3205,7.14888,4.05,3.76,0.855616,2.60276,0.163987,0.342281,4.85121,6.34946,3.40659,1.86387,1.11987,0.159998,0.0858414,0.07415619492530823,0.261142,1.41815,0.290432,0.666564,,,4.59712,0.00364779,-0.0293138,999,,,,,,,22.3,3.185714285714286,23,3.2857142857142856,,,,,,,,,,,,,,,,,,,"Jared Shuster","27472",694363
"Taylor Rashi","MIN",0.388748,0.392565,0,4.86038,12,0,0,0.3127,,7.11056,31.3826,6.64983,4.13,3.84,1.08407,3.52999,0.214307,0.216128,7.05805,8.93353,4.46799,1.99945,1.37214,0.224903,0.112482,0.11242068558931351,0.240618,1.43165,0.285506,0.698423,,,4.68293,0.00345762,-0.0293572,999,,,,,,,23.300000000000015,3.3285714285714305,24,3.4285714285714284,,,,,,,,,,,,,,,,,,,"Taylor Rashi","26344",688497
"Rafael Montero","NYY",0.119171,0.081159,0,4.43495,3,0,0,0.3213,,2.11051,9.15231,1.89787,1.12,1.04,0.272673,1.0183,0.033207,0.0493158,1.98179,8.4511,4.34242,1.94618,1.16278,0.216534,0.111262,0.10527288913726807,0.234749,1.38174,0.278754,0.708708,,,4.42479,0.00285628,0.00608611,999,,,,,,,10.600000000000001,5.300000000000001,11,5.5,,,,,,,,,,,,,,,,,,,"Rafael Montero","12760",606160
"Derek Law","ARI",0.240629,0.238756,0,5.14446,7,0,0,0.3264,,5.23087,23.3835,5.76389,3.22,2.99,0.647579,2.06856,0.110229,0.258821,3.93018,6.76209,3.55907,1.89996,1.11419,0.168075,0.0884625,0.07961282134056091,0.27374,1.49735,0.310488,0.665977,,,4.54717,0.00223822,-0.0353358,999,,,,,,,11.1,2.2199999999999998,14,2.8,,,,,,,,,,,,,,,,,,,"Derek Law","13133",571882
"Thomas Harrington","PIT",0.271884,0.31114,0,5.32554,9,0,0,0.2984,,6.20218,27.6566,6.6951,3.94,3.67,0.967492,2.358,0.178545,0.281502,4.88145,7.08348,3.42171,2.07016,1.40393,0.176502,0.0852601,0.09124201536178589,0.267621,1.45967,0.298809,0.664159,,,4.83619,0.00197479,-0.0825357,999,,,,,,,17.90000000000001,2.9833333333333347,21,3.5,,,,,,,,,,,,,,,,,,,"Thomas Harrington","31989",802419
"Shane Murphy","CHW",0.122169,0.151662,0,4.32438,4,0,0,0,,3.03859,12.9073,2.92724,1.58,1.46,0.465237,0.87638,0.113108,0.095661,2.29379,6.79398,2.59575,2.61735,1.37799,0.177713,0.0678982,0.10981497168540955,0.245261,1.25177,0.268304,0.705399,,,4.54602,0.00189449,-0.0412194,999,,,,,,,15.400000000000002,5.133333333333334,16,5.333333333333333,,,,,,,,,,,,,,,,,,,"Shane Murphy","sa3020389",690294
"Landon Knack","LAD",0.133595,0.0568116,0,4.68806,3,0,0,0.3346,,2.05416,8.8994,1.89336,1.15,1.07,0.340092,0.848641,0.0453553,0.074615,1.9395,8.49764,3.7182,2.28542,1.49007,0.217936,0.0953593,0.12257630378007889,0.237378,1.33486,0.272668,0.7026,,,4.718,0.00143941,0.00608611,999,,,,,,,10.600000000000001,5.300000000000001,11,5.5,,,,,,,,,,,,,,,,,,,"Landon Knack","27487",689017
"Hayden Juenger","ATH",0.322598,0.292246,0,5.10704,9,0,0,0.3186,,6.73189,29.894,6.86124,4.12,3.82,1.04917,2.78409,0.16765,0.395604,6.08939,8.14104,3.72211,2.18721,1.40266,0.2037,0.0931321,0.11056755483150482,0.256838,1.43278,0.296902,0.675758,,,4.73962,0.00124747,-0.0293138,999,,,,,,,24.3,3.4714285714285715,25,3.5714285714285716,,,,,,,,,,,,,,,,,,,"Hayden Juenger","29640",696522
