Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Jung Hoo Lee,FREEAGENT,54.38,40.09,SF,CF,"CF,OF,UTIL,BE,IL,RF",ACTIVE
Nick Pivetta,FREEAGENT,53.86,25.22,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Emilio Pagan,FREEAGENT,49.7,41.06,Cin,RP,"P,RP,BE,IL",ACTIVE
Cole Ragans,FREEAGENT,48.36,31.81,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Trevor Rogers,FREEAGENT,47.39,26.59,Bal,SP,"P,SP,BE,IL",ACTIVE
Brandon Woodruff,FREEAGENT,46.95,25.88,Mil,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Gleyber Torres,FREEAGENT,46.13,31.22,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Luke Keaschall,FREEAGENT,44.1,35.13,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF,CF",ACTIVE
Brent Rooker,FREEAGENT,43.91,26.04,Oak,DH,"RF,OF,DH,UTIL,BE,IL",SIXTY_DAY_DL
Vinnie Pasquantino,FREEAGENT,42.41,22.94,KC,1B,"1B,1B/3B,IF,DH,UTIL,BE,IL",TEN_DAY_DL
Nick Lodolo,FREEAGENT,41.39,19.33,Cin,SP,"P,SP,BE,IL",FIFTEEN_DAY_DL
Brooks Lee,FREEAGENT,41.19,34.15,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Bryce Elder,FREEAGENT,41.07,34.6,Atl,SP,"P,SP,BE,IL",ACTIVE
Robert Suarez,FREEAGENT,40.38,15.5,Atl,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Yainer Diaz,FREEAGENT,40.22,28.77,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Bryson Stott,FREEAGENT,39.07,26.73,Phi,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Pete Fairbanks,FREEAGENT,39.04,31.43,Mia,RP,"P,RP,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,38.94,33.51,Tor,RP,"P,RP,BE,IL",ACTIVE
