Player,Status,Owned %,Started %,MLB Team,Primary Position,Eligible Positions,Injury
Steven Kwan,FREEAGENT,56.65,45.76,Cle,LF,"LF,OF,UTIL,BE,IL,CF",ACTIVE
Nick Pivetta,FREEAGENT,55.61,25.84,SD,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Cole Ragans,FREEAGENT,54.03,32.96,KC,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Willy Adames,FREEAGENT,51.12,38.54,SF,SS,"SS,2B/SS,IF,UTIL,BE,IL",ACTIVE
Gleyber Torres,FREEAGENT,47.6,24.83,Det,2B,"2B,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Emilio Pagan,FREEAGENT,47.48,36.29,Cin,RP,"P,RP,BE,IL",ACTIVE
Trevor Rogers,FREEAGENT,47.04,37.57,Bal,SP,"P,SP,BE,IL",ACTIVE
Luke Keaschall,FREEAGENT,46.16,38.43,Min,2B,"2B,2B/SS,IF,UTIL,BE,IL,RF,OF",ACTIVE
Brooks Lee,FREEAGENT,44.27,39.84,Min,SS,"2B,3B,SS,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Pete Fairbanks,FREEAGENT,41.08,33.54,Mia,RP,"P,RP,BE,IL",ACTIVE
Yainer Diaz,FREEAGENT,40.71,27.1,Hou,C,"C,DH,UTIL,BE,IL",ACTIVE
Bryson Stott,FREEAGENT,40.58,29.35,Phi,2B,"2B,2B/SS,IF,UTIL,BE,IL",ACTIVE
Jeff Hoffman,FREEAGENT,40.5,32.86,Tor,RP,"P,RP,BE,IL",ACTIVE
Brendan Donovan,FREEAGENT,39.83,12.13,Sea,2B,"2B,2B/SS,IF,UTIL,BE,IL,3B,1B/3B",TEN_DAY_DL
Isaac Paredes,FREEAGENT,38.4,26.97,Hou,3B,"3B,1B/3B,IF,UTIL,BE,IL,1B",ACTIVE
Marcus Semien,FREEAGENT,37.16,21.05,NYM,2B,"2B,2B/SS,IF,UTIL,BE,IL",TEN_DAY_DL
Kenley Jansen,FREEAGENT,36.92,30.13,Det,RP,"P,RP,BE,IL",ACTIVE
Jack Flaherty,FREEAGENT,35.26,21.46,Det,SP,"P,SP,BE,IL",ACTIVE
Jo Adell,FREEAGENT,34.66,24.97,LAA,CF,"CF,RF,OF,UTIL,BE,IL",ACTIVE
Agustin Ramirez,FREEAGENT,34.11,26.77,Mia,C,"C,DH,UTIL,BE,IL",ACTIVE
Caleb Durbin,FREEAGENT,33.49,25.62,Bos,3B,"3B,1B/3B,IF,UTIL,BE,IL",ACTIVE
Alejandro Kirk,FREEAGENT,33.24,15.04,Tor,C,"C,UTIL,BE,IL",ACTIVE
Daniel Palencia,FREEAGENT,32.85,14.65,ChC,RP,"P,RP,BE,IL",FIFTEEN_DAY_DL
Ryan Pepiot,FREEAGENT,32.6,19.31,TB,SP,"P,SP,BE,IL",SIXTY_DAY_DL
Ildemaro Vargas,FREEAGENT,31.85,24.64,Ari,2B,"1B,2B,2B/SS,1B/3B,IF,UTIL,BE,IL",ACTIVE
Bryan Abreu,FREEAGENT,31.03,25.14,Hou,RP,"P,RP,BE,IL",ACTIVE
Ben Brown,FREEAGENT,30.22,3.05,ChC,SP,"P,SP,RP,BE,IL",FIFTEEN_DAY_DL
Jakob Marsee,FREEAGENT,29.21,16.08,Mia,CF,"CF,OF,UTIL,BE,IL",ACTIVE
