Team,Wins,Losses,Ties
Jazz Hands,8,6,0
Shitty Mike,8,4,2
Jobu's Rum Runners,6,7,1
Mookie Monstahs,10,3,1
Master Bader,6,7,1
Houck Tuah,7,7,0
George Clooneys,6,7,1
Team Quinn,3,9,2
Mayor of Titty-City,5,8,1
yahtzee BEEZNUTZ,6,7,1
